SITEID,COUNTYID,DATACREATIONDATE,PSI
261,64000,05-9 -16,34.0
207,64000,05-9 -16,38.0
262,64000,05-9 -16,24.0
263,64000,05-9 -16,28.0
264,64000,05-9 -16,36.0
265,64000,05-9 -16,36.0
266,64000,05-9 -16,
209,64000,05-9 -16,23.0
267,64000,05-9 -16,35.0
268,10013,05-9 -16,33.0
269,10013,05-9 -16,24.0
270,10013,05-9 -16,29.0
271,10014,05-9 -16,26.0
204,10007,03-9 -16,38.0
249,10007,03-9 -16,22.0
250,10008,03-9 -16,35.0
251,10009,03-9 -16,31.0
252,10009,03-9 -16,27.0
253,10010,03-9 -16,26.0
254,10010,03-9 -16,35.0
264,64000,03-9 -16,32.0
265,64000,03-9 -16,25.0
266,64000,03-9 -16,25.0
209,64000,03-9 -16,18.0
267,64000,03-9 -16,27.0
268,10013,03-9 -16,19.0
269,10013,03-9 -16,26.0
270,10013,03-9 -16,22.0
271,10014,03-9 -16,29.0
272,10015,03-9 -16,32.0
210,63000,03-9 -16,40.0
273,10002,03-9 -16,37.0
274,10002,03-9 -16,42.0
211,65000,03-9 -16,43.0
212,68000,03-9 -16,40.0
275,10008,03-9 -16,27.0
213,65000,03-9 -16,29.0
214,64000,03-9 -16,14.0
215,10008,03-9 -16,25.0
218,9007,03-9 -16,54.0
220,9020,03-9 -16,62.0
221,10016,03-9 -16,34.0
223,10014,03-9 -16,21.0
367625,10009,03-9 -16,39.0
276,10017,03-9 -16,20.0
277,65000,03-9 -16,22.0
278,65000,03-9 -16,40.0
279,65000,03-9 -16,29.0
280,65000,03-9 -16,35.0
281,65000,03-9 -16,33.0
282,65000,03-9 -16,30.0
296,10004,03-9 -16,43.0
297,10018,03-9 -16,38.0
203,10005,03-9 -16,40.0
241,10005,03-9 -16,33.0
242,10005,03-9 -16,9.0
243,66000,03-9 -16,10.0
244,66000,03-9 -16,18.0
245,66000,03-9 -16,16.0
246,66000,03-9 -16,7.0
247,66000,03-9 -16,18.0
248,10007,03-9 -16,16.0
205,10009,03-9 -16,11.0
255,10020,03-9 -16,21.0
256,67000,03-9 -16,16.0
257,67000,03-9 -16,12.0
258,67000,03-9 -16,21.0
259,67000,03-9 -16,9.0
260,64000,03-9 -16,7.0
206,64000,03-9 -16,18.0
261,64000,03-9 -16,19.0
207,64000,03-9 -16,19.0
262,64000,03-9 -16,
263,64000,03-9 -16,13.0
264,64000,02-9 -16,
254,10010,08-9 -16,32.0
205,10009,08-9 -16,18.0
255,10020,08-9 -16,20.0
256,67000,08-9 -16,32.0
257,67000,08-9 -16,16.0
258,67000,08-9 -16,32.0
259,67000,08-9 -16,23.0
260,64000,08-9 -16,23.0
206,64000,08-9 -16,36.0
261,64000,08-9 -16,43.0
207,64000,08-9 -16,38.0
262,64000,08-9 -16,28.0
263,64000,08-9 -16,24.0
264,64000,08-9 -16,33.0
265,64000,08-9 -16,38.0
266,64000,08-9 -16,37.0
209,64000,08-9 -16,28.0
267,64000,08-9 -16,39.0
268,10013,08-9 -16,22.0
269,10013,08-9 -16,35.0
270,10013,08-9 -16,17.0
271,10014,08-9 -16,25.0
272,10015,08-9 -16,31.0
210,63000,08-9 -16,32.0
273,10002,08-9 -16,27.0
274,10002,08-9 -16,30.0
211,65000,08-9 -16,37.0
212,68000,08-9 -16,54.0
275,10008,08-9 -16,24.0
213,65000,08-9 -16,34.0
214,64000,08-9 -16,24.0
215,10008,08-9 -16,20.0
218,9007,08-9 -16,46.0
220,9020,08-9 -16,46.0
221,10016,08-9 -16,17.0
223,10014,08-9 -16,20.0
367625,10009,08-9 -16,25.0
276,10017,08-9 -16,33.0
277,65000,08-9 -16,22.0
278,65000,08-9 -16,27.0
279,65000,08-9 -16,18.0
280,65000,08-9 -16,21.0
281,65000,08-9 -16,28.0
282,65000,08-9 -16,19.0
283,65000,08-9 -16,21.0
284,65000,08-9 -16,21.0
285,65000,08-9 -16,26.0
286,63000,08-9 -16,20.0
287,63000,08-9 -16,26.0
288,63000,08-9 -16,21.0
289,63000,08-9 -16,21.0
290,63000,08-9 -16,24.0
201,63000,08-9 -16,38.0
291,68000,08-9 -16,21.0
292,68000,08-9 -16,22.0
202,68000,08-9 -16,20.0
293,68000,08-9 -16,18.0
294,68000,08-9 -16,22.0
295,10004,08-9 -16,21.0
296,10004,08-9 -16,19.0
297,10018,08-9 -16,17.0
203,10005,08-9 -16,21.0
241,10005,08-9 -16,
242,10005,08-9 -16,19.0
243,66000,08-9 -16,13.0
244,66000,08-9 -16,17.0
245,66000,08-9 -16,15.0
246,66000,08-9 -16,13.0
247,66000,08-9 -16,15.0
248,10007,08-9 -16,14.0
296,10004,05-9 -16,25.0
297,10018,05-9 -16,27.0
203,10005,05-9 -16,31.0
241,10005,05-9 -16,39.0
242,10005,05-9 -16,44.0
243,66000,05-9 -16,42.0
244,66000,05-9 -16,43.0
245,66000,05-9 -16,47.0
246,66000,05-9 -16,43.0
247,66000,05-9 -16,44.0
248,10007,05-9 -16,44.0
204,10007,05-9 -16,49.0
249,10007,05-9 -16,40.0
250,10008,05-9 -16,36.0
251,10009,05-9 -16,34.0
252,10009,05-9 -16,38.0
253,10010,05-9 -16,34.0
254,10010,05-9 -16,48.0
205,10009,05-9 -16,43.0
255,10020,05-9 -16,39.0
256,67000,05-9 -16,40.0
257,67000,05-9 -16,35.0
258,67000,05-9 -16,39.0
259,67000,05-9 -16,32.0
260,64000,05-9 -16,
206,64000,05-9 -16,35.0
367625,10009,05-9 -16,46.0
276,10017,05-9 -16,21.0
277,65000,05-9 -16,15.0
278,65000,05-9 -16,34.0
285,65000,05-9 -16,28.0
286,63000,05-9 -16,25.0
287,63000,05-9 -16,20.0
288,63000,05-9 -16,18.0
289,63000,05-9 -16,20.0
290,63000,05-9 -16,21.0
291,68000,03-9 -16,43.0
292,68000,03-9 -16,44.0
202,68000,03-9 -16,48.0
293,68000,03-9 -16,45.0
294,68000,03-9 -16,43.0
295,10004,03-9 -16,48.0
263,64000,13-9 -16,33.0
264,64000,13-9 -16,61.0
265,64000,13-9 -16,64.0
267,64000,13-9 -16,48.0
268,10013,13-9 -16,31.0
269,10013,13-9 -16,33.0
270,10013,13-9 -16,27.0
271,10014,13-9 -16,24.0
272,10015,13-9 -16,30.0
210,63000,13-9 -16,42.0
273,10002,13-9 -16,33.0
274,10002,13-9 -16,23.0
211,65000,13-9 -16,37.0
212,68000,13-9 -16,39.0
275,10008,13-9 -16,42.0
213,65000,13-9 -16,33.0
214,64000,13-9 -16,47.0
215,10008,13-9 -16,41.0
218,9007,13-9 -16,46.0
220,9020,13-9 -16,39.0
221,10016,13-9 -16,45.0
223,10014,13-9 -16,18.0
367625,10009,13-9 -16,55.0
276,10017,13-9 -16,41.0
277,65000,13-9 -16,30.0
278,65000,13-9 -16,48.0
279,65000,13-9 -16,31.0
280,65000,13-9 -16,36.0
281,65000,13-9 -16,34.0
282,65000,13-9 -16,40.0
283,65000,13-9 -16,34.0
284,65000,13-9 -16,44.0
285,65000,13-9 -16,41.0
286,63000,13-9 -16,32.0
287,63000,13-9 -16,35.0
288,63000,13-9 -16,27.0
289,63000,13-9 -16,35.0
290,63000,13-9 -16,35.0
283,65000,05-9 -16,26.0
284,65000,05-9 -16,34.0
201,63000,05-9 -16,41.0
291,68000,05-9 -16,28.0
292,68000,05-9 -16,31.0
202,68000,05-9 -16,40.0
293,68000,05-9 -16,33.0
294,68000,05-9 -16,34.0
295,10004,05-9 -16,28.0
272,10015,05-9 -16,31.0
210,63000,05-9 -16,18.0
273,10002,05-9 -16,22.0
274,10002,05-9 -16,29.0
211,65000,05-9 -16,30.0
212,68000,05-9 -16,33.0
275,10008,05-9 -16,26.0
213,65000,05-9 -16,17.0
214,64000,05-9 -16,13.0
215,10008,05-9 -16,31.0
218,9007,05-9 -16,44.0
220,9020,05-9 -16,65.0
221,10016,05-9 -16,36.0
223,10014,05-9 -16,29.0
279,65000,05-9 -16,16.0
280,65000,05-9 -16,12.0
281,65000,05-9 -16,19.0
282,65000,05-9 -16,15.0
204,10007,08-9 -16,17.0
249,10007,08-9 -16,15.0
250,10008,08-9 -16,14.0
283,65000,03-9 -16,29.0
284,65000,03-9 -16,37.0
285,65000,03-9 -16,32.0
286,63000,03-9 -16,38.0
287,63000,03-9 -16,23.0
