SITEID,COUNTYID,DATACREATIONDATE,PSI
211,65000,17-11-16,49.0
212,68000,17-11-16,56.0
275,10008,17-11-16,84.0
213,65000,17-11-16,35.0
214,64000,17-11-16,73.0
215,10008,17-11-16,109.0
218,9007,17-11-16,49.0
220,9020,17-11-16,68.0
221,10016,17-11-16,38.0
223,10014,17-11-16,31.0
367625,10009,17-11-16,64.0
276,10017,17-11-16,31.0
277,65000,17-11-16,33.0
278,65000,17-11-16,46.0
279,65000,17-11-16,33.0
280,65000,17-11-16,36.0
281,65000,17-11-16,43.0
283,65000,14-11-16,68.0
284,65000,14-11-16,78.0
285,65000,14-11-16,62.0
286,63000,14-11-16,64.0
287,63000,14-11-16,63.0
203,10005,16-11-16,54.0
241,10005,16-11-16,58.0
242,10005,16-11-16,56.0
243,66000,16-11-16,60.0
244,66000,16-11-16,60.0
245,66000,16-11-16,76.0
246,66000,16-11-16,59.0
247,66000,16-11-16,62.0
248,10007,16-11-16,62.0
204,10007,16-11-16,58.0
249,10007,16-11-16,62.0
250,10008,16-11-16,73.0
251,10009,16-11-16,72.0
252,10009,16-11-16,65.0
253,10010,16-11-16,76.0
254,10010,16-11-16,74.0
205,10009,16-11-16,56.0
255,10020,16-11-16,71.0
256,67000,16-11-16,85.0
257,67000,16-11-16,68.0
258,67000,16-11-16,
259,67000,16-11-16,64.0
260,64000,16-11-16,71.0
206,64000,16-11-16,70.0
261,64000,16-11-16,79.0
207,64000,16-11-16,94.0
262,64000,16-11-16,75.0
263,64000,16-11-16,82.0
264,64000,16-11-16,99.0
265,64000,16-11-16,71.0
266,64000,16-11-16,71.0
248,10007,12-11-16,66.0
204,10007,12-11-16,73.0
249,10007,12-11-16,73.0
250,10008,12-11-16,76.0
251,10009,12-11-16,72.0
252,10009,12-11-16,67.0
253,10010,12-11-16,80.0
254,10010,12-11-16,62.0
205,10009,12-11-16,52.0
255,10020,12-11-16,90.0
256,67000,12-11-16,83.0
257,67000,12-11-16,84.0
258,67000,12-11-16,74.0
259,67000,12-11-16,71.0
260,64000,12-11-16,52.0
206,64000,12-11-16,76.0
261,64000,12-11-16,80.0
207,64000,12-11-16,80.0
262,64000,12-11-16,68.0
263,64000,12-11-16,84.0
264,64000,12-11-16,88.0
265,64000,12-11-16,74.0
266,64000,12-11-16,82.0
209,64000,12-11-16,70.0
267,64000,12-11-16,78.0
268,10013,12-11-16,60.0
269,10013,12-11-16,58.0
270,10013,12-11-16,45.0
258,67000,07-11-16,62.0
259,67000,07-11-16,53.0
260,64000,07-11-16,59.0
206,64000,07-11-16,62.0
261,64000,07-11-16,76.0
207,64000,07-11-16,76.0
262,64000,07-11-16,70.0
277,65000,07-11-16,31.0
278,65000,07-11-16,37.0
279,65000,07-11-16,38.0
280,65000,07-11-16,26.0
281,65000,07-11-16,30.0
282,65000,07-11-16,35.0
283,65000,07-11-16,30.0
284,65000,07-11-16,41.0
285,65000,07-11-16,38.0
286,63000,07-11-16,33.0
287,63000,07-11-16,27.0
288,63000,07-11-16,28.0
289,63000,07-11-16,30.0
290,63000,07-11-16,
201,63000,07-11-16,30.0
291,68000,07-11-16,51.0
292,68000,07-11-16,60.0
202,68000,07-11-16,60.0
293,68000,07-11-16,64.0
294,68000,07-11-16,75.0
295,10004,07-11-16,75.0
296,10004,07-11-16,73.0
297,10018,07-11-16,72.0
203,10005,07-11-16,66.0
241,10005,07-11-16,64.0
242,10005,07-11-16,50.0
243,66000,07-11-16,50.0
244,66000,07-11-16,52.0
245,66000,07-11-16,47.0
246,66000,07-11-16,45.0
292,68000,18-11-16,54.0
202,68000,18-11-16,58.0
293,68000,18-11-16,59.0
294,68000,18-11-16,63.0
295,10004,18-11-16,65.0
296,10004,18-11-16,53.0
269,10013,17-11-16,83.0
270,10013,17-11-16,44.0
271,10014,17-11-16,38.0
272,10015,17-11-16,50.0
210,63000,17-11-16,32.0
273,10002,17-11-16,50.0
274,10002,17-11-16,50.0
282,65000,17-11-16,39.0
283,65000,17-11-16,41.0
284,65000,17-11-16,51.0
285,65000,17-11-16,39.0
286,63000,17-11-16,37.0
287,63000,17-11-16,43.0
288,63000,17-11-16,39.0
279,65000,06-11-16,29.0
280,65000,06-11-16,31.0
281,65000,06-11-16,32.0
282,65000,06-11-16,31.0
283,65000,06-11-16,25.0
284,65000,06-11-16,38.0
285,65000,06-11-16,31.0
286,63000,06-11-16,29.0
287,63000,06-11-16,25.0
288,63000,06-11-16,27.0
289,63000,06-11-16,26.0
290,63000,06-11-16,31.0
201,63000,06-11-16,47.0
291,68000,06-11-16,34.0
292,68000,06-11-16,40.0
202,68000,06-11-16,51.0
293,68000,06-11-16,41.0
294,68000,06-11-16,54.0
295,10004,06-11-16,52.0
296,10004,06-11-16,56.0
297,10018,06-11-16,52.0
203,10005,06-11-16,53.0
241,10005,06-11-16,58.0
242,10005,06-11-16,56.0
243,66000,06-11-16,47.0
244,66000,06-11-16,56.0
245,66000,06-11-16,60.0
246,66000,06-11-16,58.0
247,66000,06-11-16,56.0
248,10007,06-11-16,55.0
204,10007,06-11-16,54.0
249,10007,06-11-16,61.0
250,10008,06-11-16,54.0
251,10009,06-11-16,60.0
247,66000,07-11-16,66.0
248,10007,07-11-16,66.0
291,68000,02-11-16,32.0
292,68000,02-11-16,37.0
202,68000,02-11-16,43.0
293,68000,02-11-16,32.0
294,68000,02-11-16,35.0
295,10004,02-11-16,32.0
296,10004,02-11-16,35.0
297,10018,02-11-16,34.0
203,10005,02-11-16,34.0
241,10005,02-11-16,34.0
242,10005,02-11-16,33.0
243,66000,02-11-16,30.0
244,66000,02-11-16,33.0
245,66000,02-11-16,27.0
246,66000,02-11-16,30.0
247,66000,02-11-16,32.0
248,10007,02-11-16,29.0
204,10007,01-11-16,
249,10007,02-11-16,34.0
250,10008,02-11-16,27.0
251,10009,02-11-16,30.0
252,10009,02-11-16,32.0
253,10010,02-11-16,
254,10010,02-11-16,46.0
205,10009,02-11-16,52.0
255,10020,02-11-16,35.0
256,67000,02-11-16,34.0
257,67000,02-11-16,39.0
258,67000,02-11-16,41.0
259,67000,02-11-16,39.0
260,64000,02-11-16,52.0
206,64000,02-11-16,56.0
261,64000,02-11-16,62.0
207,64000,02-11-16,67.0
262,64000,02-11-16,58.0
263,64000,02-11-16,54.0
269,10013,02-11-16,67.0
275,10008,04-11-16,67.0
213,65000,04-11-16,22.0
214,64000,04-11-16,46.0
215,10008,04-11-16,58.0
218,9007,04-11-16,48.0
220,9020,04-11-16,58.0
221,10016,04-11-16,39.0
223,10014,04-11-16,22.0
367625,10009,04-11-16,64.0
276,10017,04-11-16,19.0
277,65000,04-11-16,23.0
278,65000,04-11-16,39.0
279,65000,04-11-16,28.0
280,65000,04-11-16,29.0
281,65000,04-11-16,30.0
282,65000,04-11-16,25.0
283,65000,04-11-16,27.0
284,65000,04-11-16,40.0
285,65000,04-11-16,28.0
286,63000,04-11-16,33.0
287,63000,04-11-16,19.0
288,63000,04-11-16,31.0
289,63000,04-11-16,28.0
290,63000,04-11-16,32.0
201,63000,04-11-16,43.0
291,68000,04-11-16,29.0
292,68000,04-11-16,40.0
202,68000,04-11-16,43.0
293,68000,04-11-16,35.0
294,68000,04-11-16,40.0
295,10004,04-11-16,28.0
296,10004,04-11-16,28.0
297,10018,04-11-16,29.0
203,10005,04-11-16,30.0
241,10005,04-11-16,41.0
242,10005,04-11-16,39.0
243,66000,04-11-16,48.0
288,63000,03-11-16,31.0
289,63000,03-11-16,34.0
290,63000,03-11-16,
201,63000,03-11-16,44.0
291,68000,03-11-16,33.0
292,68000,03-11-16,40.0
202,68000,03-11-16,49.0
293,68000,03-11-16,36.0
294,68000,03-11-16,36.0
295,10004,03-11-16,37.0
296,10004,03-11-16,37.0
297,10018,03-11-16,35.0
203,10005,03-11-16,35.0
241,10005,03-11-16,37.0
242,10005,03-11-16,34.0
243,66000,03-11-16,33.0
244,66000,03-11-16,32.0
245,66000,03-11-16,31.0
246,66000,03-11-16,33.0
247,66000,03-11-16,33.0
248,10007,03-11-16,33.0
204,10007,03-11-16,37.0
249,10007,03-11-16,78.0
250,10008,03-11-16,31.0
251,10009,03-11-16,36.0
252,10009,03-11-16,52.0
253,10010,03-11-16,49.0
254,10010,03-11-16,56.0
205,10009,03-11-16,78.0
255,10020,03-11-16,48.0
256,67000,03-11-16,50.0
257,67000,03-11-16,50.0
258,67000,03-11-16,52.0
259,67000,03-11-16,52.0
260,64000,03-11-16,53.0
206,64000,03-11-16,58.0
261,64000,03-11-16,66.0
260,64000,30-10-16,60.0
206,64000,30-10-16,57.0
266,64000,30-10-16,51.0
209,64000,30-10-16,54.0
267,64000,30-10-16,56.0
268,10013,30-10-16,
269,10013,30-10-16,66.0
270,10013,30-10-16,40.0
271,10014,30-10-16,26.0
272,10015,30-10-16,35.0
210,63000,30-10-16,35.0
273,10002,30-10-16,32.0
274,10002,30-10-16,
211,65000,30-10-16,33.0
212,68000,30-10-16,39.0
275,10008,30-10-16,22.0
213,65000,30-10-16,30.0
214,64000,30-10-16,46.0
215,10008,30-10-16,35.0
218,9007,30-10-16,39.0
220,9020,30-10-16,30.0
221,10016,30-10-16,34.0
223,10014,30-10-16,27.0
367625,10009,30-10-16,56.0
276,10017,30-10-16,34.0
277,65000,30-10-16,29.0
278,65000,30-10-16,54.0
279,65000,30-10-16,32.0
280,65000,30-10-16,31.0
281,65000,30-10-16,30.0
282,65000,30-10-16,25.0
283,65000,30-10-16,27.0
284,65000,30-10-16,33.0
285,65000,30-10-16,32.0
286,63000,30-10-16,33.0
287,63000,30-10-16,24.0
288,63000,30-10-16,24.0
264,64000,18-11-16,90.0
265,64000,18-11-16,74.0
266,64000,18-11-16,70.0
259,67000,18-11-16,61.0
260,64000,18-11-16,66.0
206,64000,18-11-16,67.0
261,64000,18-11-16,74.0
207,64000,18-11-16,82.0
262,64000,18-11-16,80.0
263,64000,18-11-16,54.0
209,64000,18-11-16,70.0
267,64000,18-11-16,73.0
268,10013,18-11-16,80.0
269,10013,18-11-16,73.0
270,10013,18-11-16,37.0
271,10014,18-11-16,32.0
272,10015,18-11-16,22.0
210,63000,18-11-16,34.0
273,10002,18-11-16,39.0
274,10002,18-11-16,41.0
211,65000,18-11-16,41.0
212,68000,18-11-16,43.0
275,10008,18-11-16,66.0
213,65000,18-11-16,25.0
214,64000,18-11-16,66.0
215,10008,18-11-16,62.0
218,9007,18-11-16,36.0
220,9020,18-11-16,88.0
221,10016,18-11-16,44.0
223,10014,18-11-16,32.0
367625,10009,18-11-16,60.0
276,10017,18-11-16,22.0
277,65000,18-11-16,25.0
264,64000,17-11-16,90.0
265,64000,17-11-16,78.0
266,64000,17-11-16,82.0
209,64000,17-11-16,73.0
267,64000,17-11-16,71.0
268,10013,17-11-16,63.0
295,10004,14-11-16,66.0
296,10004,14-11-16,63.0
297,10018,14-11-16,63.0
203,10005,14-11-16,65.0
241,10005,14-11-16,70.0
242,10005,14-11-16,66.0
243,66000,14-11-16,84.0
244,66000,14-11-16,74.0
245,66000,14-11-16,88.0
246,66000,14-11-16,80.0
247,66000,14-11-16,76.0
248,10007,14-11-16,65.0
204,10007,14-11-16,66.0
249,10007,14-11-16,68.0
250,10008,14-11-16,66.0
251,10009,14-11-16,68.0
252,10009,14-11-16,66.0
253,10010,14-11-16,73.0
254,10010,14-11-16,68.0
205,10009,14-11-16,52.0
255,10020,14-11-16,67.0
256,67000,14-11-16,72.0
257,67000,14-11-16,68.0
258,67000,14-11-16,70.0
259,67000,14-11-16,66.0
260,64000,14-11-16,58.0
206,64000,14-11-16,68.0
261,64000,14-11-16,74.0
207,64000,14-11-16,84.0
262,64000,14-11-16,80.0
263,64000,14-11-16,69.0
264,64000,14-11-16,95.0
265,64000,14-11-16,72.0
271,10014,12-11-16,29.0
272,10015,12-11-16,28.0
210,63000,12-11-16,37.0
273,10002,12-11-16,38.0
274,10002,12-11-16,36.0
211,65000,12-11-16,48.0
212,68000,12-11-16,46.0
275,10008,12-11-16,70.0
213,65000,12-11-16,35.0
214,64000,12-11-16,59.0
215,10008,12-11-16,41.0
218,9007,12-11-16,38.0
220,9020,12-11-16,51.0
221,10016,12-11-16,37.0
223,10014,12-11-16,29.0
265,64000,07-11-16,70.0
266,64000,07-11-16,68.0
209,64000,07-11-16,68.0
267,64000,07-11-16,67.0
268,10013,07-11-16,62.0
269,10013,07-11-16,60.0
270,10013,07-11-16,33.0
271,10014,07-11-16,22.0
272,10015,07-11-16,31.0
210,63000,07-11-16,30.0
273,10002,07-11-16,30.0
274,10002,07-11-16,24.0
211,65000,07-11-16,31.0
212,68000,07-11-16,43.0
275,10008,07-11-16,56.0
213,65000,07-11-16,21.0
214,64000,07-11-16,64.0
215,10008,07-11-16,49.0
218,9007,07-11-16,41.0
220,9020,07-11-16,59.0
221,10016,07-11-16,38.0
223,10014,07-11-16,33.0
367625,10009,07-11-16,67.0
