SITEID,COUNTYID,DATACREATIONDATE,PSI
249,10007,09-12-16,34.0
250,10008,09-12-16,50.0
251,10009,09-12-16,50.0
252,10009,09-12-16,34.0
210,63000,09-12-16,37.0
273,10002,09-12-16,23.0
274,10002,09-12-16,22.0
211,65000,09-12-16,44.0
212,68000,09-12-16,22.0
275,10008,09-12-16,50.0
213,65000,09-12-16,20.0
243,66000,19-9 -14,66.0
262,64000,19-9 -14,56.0
255,10020,22-9 -14,46.0
266,64000,22-9 -14,44.0
273,10002,22-9 -14,40.0
268,10013,23-9 -14,44.0
256,67000,23-9 -14,43.0
271,10014,23-9 -14,32.0
264,64000,09-12-16,74.0
265,64000,09-12-16,68.0
266,64000,09-12-16,64.0
209,64000,09-12-16,66.0
267,64000,09-12-16,70.0
268,10013,09-12-16,68.0
269,10013,09-12-16,88.0
270,10013,09-12-16,37.0
271,10014,09-12-16,26.0
272,10015,09-12-16,23.0
214,64000,09-12-16,62.0
215,10008,09-12-16,50.0
218,9007,09-12-16,52.0
220,9020,09-12-16,73.0
221,10016,09-12-16,53.0
223,10014,09-12-16,19.0
367625,10009,09-12-16,58.0
276,10017,09-12-16,35.0
277,65000,09-12-16,20.0
278,65000,09-12-16,49.0
279,65000,09-12-16,17.0
280,65000,09-12-16,26.0
281,65000,09-12-16,26.0
256,67000,13-12-16,67.0
257,67000,13-12-16,56.0
258,67000,13-12-16,66.0
259,67000,13-12-16,62.0
271,10014,04-9 -14,8.0
201,63000,04-9 -14,43.0
210,63000,04-9 -14,22.0
260,64000,04-9 -14,27.0
249,10007,04-9 -14,33.0
209,64000,04-9 -14,31.0
270,10013,04-9 -14,17.0
205,10009,04-9 -14,29.0
241,10005,04-9 -14,35.0
213,65000,04-9 -14,26.0
288,63000,04-9 -14,33.0
278,65000,03-9 -14,91.0
282,65000,03-9 -14,37.0
272,10015,03-9 -14,19.0
274,10002,03-9 -14,38.0
275,10008,03-9 -14,32.0
258,67000,03-9 -14,29.0
264,64000,03-9 -14,29.0
262,64000,04-9 -14,39.0
246,66000,03-9 -14,25.0
252,10009,03-9 -14,29.0
252,10009,04-9 -14,21.0
296,10004,03-9 -14,31.0
277,65000,03-9 -14,93.0
286,63000,04-9 -14,35.0
210,63000,03-9 -14,37.0
273,10002,03-9 -14,41.0
271,10014,03-9 -14,14.0
207,64000,03-9 -14,36.0
267,64000,04-9 -14,33.0
247,66000,03-9 -14,36.0
204,10007,03-9 -14,18.0
259,67000,02-9 -14,42.0
207,64000,02-9 -14,43.0
262,64000,02-9 -14,31.0
263,64000,03-9 -14,23.0
254,10010,03-9 -14,20.0
294,68000,13-12-16,63.0
295,10004,13-12-16,59.0
296,10004,13-12-16,58.0
297,10018,13-12-16,70.0
203,10005,13-12-16,68.0
241,10005,13-12-16,66.0
242,10005,13-12-16,43.0
243,66000,13-12-16,24.0
244,66000,13-12-16,59.0
245,66000,13-12-16,59.0
246,66000,13-12-16,54.0
247,66000,13-12-16,58.0
248,10007,13-12-16,56.0
204,10007,13-12-16,64.0
249,10007,13-12-16,64.0
250,10008,13-12-16,51.0
251,10009,13-12-16,56.0
252,10009,13-12-16,63.0
253,10010,13-12-16,64.0
254,10010,13-12-16,64.0
205,10009,13-12-16,56.0
255,10020,13-12-16,62.0
260,64000,13-12-16,54.0
206,64000,13-12-16,64.0
261,64000,13-12-16,68.0
207,64000,13-12-16,72.0
262,64000,13-12-16,64.0
263,64000,13-12-16,54.0
264,64000,13-12-16,73.0
265,64000,13-12-16,63.0
266,64000,13-12-16,60.0
209,64000,13-12-16,70.0
267,64000,13-12-16,70.0
268,10013,13-12-16,57.0
269,10013,13-12-16,58.0
270,10013,11-12-16,
280,65000,12-12-16,62.0
281,65000,12-12-16,64.0
282,65000,12-12-16,58.0
283,65000,12-12-16,57.0
284,65000,12-12-16,67.0
285,65000,12-12-16,54.0
286,63000,12-12-16,53.0
287,63000,12-12-16,54.0
288,63000,12-12-16,54.0
289,63000,12-12-16,60.0
290,63000,12-12-16,55.0
201,63000,12-12-16,60.0
291,68000,12-12-16,55.0
292,68000,12-12-16,56.0
202,68000,12-12-16,56.0
293,68000,12-12-16,56.0
294,68000,12-12-16,62.0
295,10004,12-12-16,60.0
296,10004,12-12-16,64.0
297,10018,12-12-16,66.0
203,10005,12-12-16,62.0
241,10005,12-12-16,64.0
242,10005,12-12-16,52.0
243,66000,12-12-16,35.0
244,66000,12-12-16,58.0
245,66000,12-12-16,58.0
246,66000,12-12-16,52.0
247,66000,12-12-16,
248,10007,12-12-16,58.0
204,10007,12-12-16,64.0
249,10007,12-12-16,81.0
250,10008,12-12-16,58.0
251,10009,12-12-16,56.0
252,10009,12-12-16,63.0
253,10010,12-12-16,64.0
254,10010,12-12-16,73.0
256,67000,12-12-16,61.0
257,67000,12-12-16,56.0
258,67000,12-12-16,56.0
259,67000,12-12-16,56.0
260,64000,12-12-16,55.0
206,64000,12-12-16,67.0
261,64000,12-12-16,70.0
207,64000,12-12-16,68.0
262,64000,12-12-16,59.0
263,64000,12-12-16,50.0
264,64000,12-12-16,68.0
265,64000,12-12-16,68.0
266,64000,12-12-16,66.0
209,64000,12-12-16,64.0
267,64000,12-12-16,60.0
221,10016,12-12-16,42.0
223,10014,12-12-16,28.0
367625,10009,12-12-16,64.0
276,10017,12-12-16,36.0
277,65000,12-12-16,51.0
278,65000,12-12-16,62.0
279,65000,12-12-16,39.0
205,10009,12-12-16,47.0
268,10013,12-12-16,
269,10013,12-12-16,58.0
271,10014,12-12-16,29.0
255,10020,12-12-16,61.0
260,64000,11-12-16,62.0
206,64000,11-12-16,68.0
261,64000,11-12-16,73.0
207,64000,11-12-16,74.0
262,64000,11-12-16,60.0
263,64000,11-12-16,47.0
264,64000,11-12-16,76.0
265,64000,11-12-16,66.0
266,64000,11-12-16,53.0
209,64000,11-12-16,64.0
267,64000,11-12-16,59.0
268,10013,11-12-16,
269,10013,11-12-16,68.0
271,10014,11-12-16,29.0
272,10015,11-12-16,31.0
210,63000,11-12-16,38.0
273,10002,11-12-16,32.0
274,10002,11-12-16,27.0
211,65000,11-12-16,49.0
212,68000,11-12-16,21.0
275,10008,11-12-16,71.0
213,65000,11-12-16,33.0
214,64000,11-12-16,56.0
215,10008,11-12-16,58.0
218,9007,11-12-16,44.0
220,9020,11-12-16,58.0
221,10016,11-12-16,44.0
223,10014,11-12-16,27.0
367625,10009,11-12-16,66.0
244,66000,09-12-16,37.0
245,66000,09-12-16,43.0
246,66000,09-12-16,33.0
247,66000,09-12-16,38.0
248,10007,09-12-16,50.0
204,10007,09-12-16,47.0
253,10010,09-12-16,74.0
297,10018,11-12-16,36.0
203,10005,11-12-16,27.0
241,10005,11-12-16,31.0
242,10005,11-12-16,28.0
243,66000,11-12-16,44.0
244,66000,11-12-16,48.0
245,66000,11-12-16,60.0
246,66000,11-12-16,33.0
247,66000,11-12-16,45.0
248,10007,11-12-16,52.0
204,10007,11-12-16,54.0
249,10007,11-12-16,54.0
250,10008,11-12-16,66.0
251,10009,11-12-16,64.0
252,10009,11-12-16,54.0
253,10010,11-12-16,66.0
254,10010,11-12-16,71.0
205,10009,11-12-16,48.0
255,10020,11-12-16,72.0
256,67000,11-12-16,76.0
257,67000,11-12-16,63.0
258,67000,11-12-16,68.0
259,67000,11-12-16,67.0
282,65000,09-12-16,29.0
283,65000,09-12-16,32.0
284,65000,09-12-16,
285,65000,09-12-16,33.0
286,63000,09-12-16,38.0
287,63000,09-12-16,28.0
288,63000,09-12-16,24.0
289,63000,09-12-16,32.0
290,63000,09-12-16,27.0
201,63000,09-12-16,41.0
291,68000,09-12-16,35.0
292,68000,09-12-16,50.0
202,68000,09-12-16,51.0
293,68000,09-12-16,41.0
294,68000,09-12-16,40.0
295,10004,09-12-16,36.0
254,10010,09-12-16,70.0
205,10009,09-12-16,43.0
255,10020,09-12-16,64.0
256,67000,09-12-16,72.0
257,67000,09-12-16,68.0
