SITEID,COUNTYID,DATACREATIONDATE,PSI
247,66000,25-6 -16,25.0
248,10007,25-6 -16,24.0
204,10007,25-6 -16,25.0
249,10007,25-6 -16,37.0
250,10008,25-6 -16,26.0
251,10009,25-6 -16,28.0
252,10009,25-6 -16,27.0
253,10010,25-6 -16,35.0
254,10010,25-6 -16,48.0
205,10009,25-6 -16,23.0
255,10020,25-6 -16,25.0
256,67000,25-6 -16,24.0
257,67000,25-6 -16,20.0
258,67000,25-6 -16,25.0
259,67000,25-6 -16,24.0
260,64000,25-6 -16,16.0
206,64000,25-6 -16,21.0
261,64000,25-6 -16,24.0
210,63000,18-6 -16,25.0
273,10002,18-6 -16,24.0
274,10002,18-6 -16,19.0
211,65000,18-6 -16,43.0
212,68000,18-6 -16,37.0
275,10008,18-6 -16,23.0
213,65000,18-6 -16,13.0
214,64000,18-6 -16,26.0
206,64000,15-6 -16,28.0
261,64000,15-6 -16,44.0
207,64000,15-6 -16,47.0
262,64000,15-6 -16,28.0
263,64000,15-6 -16,28.0
264,64000,15-6 -16,51.0
265,64000,15-6 -16,41.0
266,64000,15-6 -16,38.0
209,64000,15-6 -16,38.0
267,64000,15-6 -16,41.0
268,10013,15-6 -16,35.0
269,10013,15-6 -16,33.0
270,10013,15-6 -16,37.0
271,10014,15-6 -16,20.0
272,10015,15-6 -16,29.0
210,63000,15-6 -16,20.0
273,10002,15-6 -16,26.0
274,10002,15-6 -16,23.0
211,65000,15-6 -16,40.0
212,68000,15-6 -16,38.0
275,10008,15-6 -16,24.0
213,65000,15-6 -16,18.0
214,64000,15-6 -16,40.0
215,10008,15-6 -16,22.0
218,9007,15-6 -16,11.0
220,9020,15-6 -16,43.0
221,10016,15-6 -16,21.0
223,10014,15-6 -16,14.0
367625,10009,15-6 -16,49.0
276,10017,15-6 -16,18.0
202,68000,17-6 -16,33.0
293,68000,17-6 -16,31.0
294,68000,17-6 -16,29.0
295,10004,17-6 -16,35.0
296,10004,17-6 -16,27.0
249,10007,17-6 -16,25.0
250,10008,17-6 -16,32.0
251,10009,17-6 -16,29.0
252,10009,17-6 -16,31.0
253,10010,17-6 -16,39.0
254,10010,17-6 -16,43.0
205,10009,17-6 -16,30.0
255,10020,17-6 -16,28.0
256,67000,17-6 -16,29.0
257,67000,17-6 -16,22.0
258,67000,17-6 -16,26.0
259,67000,17-6 -16,26.0
260,64000,17-6 -16,39.0
206,64000,17-6 -16,22.0
261,64000,17-6 -16,32.0
207,64000,17-6 -16,43.0
262,64000,17-6 -16,
263,64000,17-6 -16,21.0
264,64000,17-6 -16,52.0
265,64000,17-6 -16,28.0
266,64000,17-6 -16,
209,64000,17-6 -16,21.0
267,64000,17-6 -16,19.0
268,10013,17-6 -16,28.0
269,10013,17-6 -16,28.0
270,10013,17-6 -16,20.0
271,10014,17-6 -16,17.0
272,10015,17-6 -16,36.0
210,63000,17-6 -16,19.0
273,10002,17-6 -16,40.0
274,10002,17-6 -16,31.0
211,65000,17-6 -16,56.0
212,68000,17-6 -16,50.0
