SITEID,COUNTYID,DATACREATIONDATE,PSI
273,10002,18-12-16,
211,65000,18-12-16,
212,68000,18-12-16,
275,10008,18-12-16,
213,65000,18-12-16,
214,64000,18-12-16,
215,10008,18-12-16,
218,9007,18-12-16,
220,9020,18-12-16,
221,10016,18-12-16,
223,10014,18-12-16,
367625,10009,18-12-16,
276,10017,18-12-16,
277,65000,18-12-16,
278,65000,18-12-16,
279,65000,18-12-16,
280,65000,18-12-16,
281,65000,18-12-16,
282,65000,18-12-16,
283,65000,18-12-16,
284,65000,18-12-16,
285,65000,18-12-16,
286,63000,18-12-16,
288,63000,18-12-16,
289,63000,18-12-16,
290,63000,18-12-16,
277,65000,19-12-16,
287,63000,18-12-16,19.0
201,63000,18-12-16,29.0
246,66000,18-12-16,50.0
247,66000,18-12-16,56.0
248,10007,18-12-16,46.0
204,10007,18-12-16,63.0
249,10007,18-12-16,82.0
250,10008,18-12-16,56.0
251,10009,18-12-16,54.0
252,10009,18-12-16,65.0
253,10010,18-12-16,80.0
254,10010,18-12-16,66.0
205,10009,18-12-16,74.0
255,10020,18-12-16,62.0
256,67000,18-12-16,68.0
257,67000,18-12-16,54.0
258,67000,18-12-16,66.0
259,67000,18-12-16,67.0
260,64000,18-12-16,52.0
206,64000,18-12-16,74.0
261,64000,18-12-16,83.0
207,64000,18-12-16,80.0
262,64000,18-12-16,64.0
263,64000,18-12-16,56.0
264,64000,18-12-16,78.0
265,64000,18-12-16,74.0
266,64000,18-12-16,74.0
209,64000,18-12-16,72.0
267,64000,18-12-16,68.0
265,64000,17-12-16,
266,64000,17-12-16,
209,64000,17-12-16,
267,64000,17-12-16,
268,10013,17-12-16,
269,10013,17-12-16,
270,10013,17-12-16,
271,10014,17-12-16,
272,10015,17-12-16,
210,63000,17-12-16,
273,10002,17-12-16,
211,65000,17-12-16,
212,68000,17-12-16,
275,10008,17-12-16,
213,65000,17-12-16,
214,64000,17-12-16,
215,10008,17-12-16,
218,9007,17-12-16,
220,9020,17-12-16,
221,10016,17-12-16,
223,10014,17-12-16,
367625,10009,17-12-16,
276,10017,17-12-16,
277,65000,17-12-16,
278,65000,17-12-16,
279,65000,17-12-16,
280,65000,17-12-16,
281,65000,17-12-16,
282,65000,17-12-16,
283,65000,17-12-16,
284,65000,17-12-16,
285,65000,17-12-16,
286,63000,17-12-16,
287,63000,17-12-16,
288,63000,17-12-16,
289,63000,17-12-16,
290,63000,17-12-16,
268,10013,18-12-16,65.0
269,10013,18-12-16,70.0
270,10013,18-12-16,40.0
271,10014,18-12-16,32.0
272,10015,18-12-16,30.0
210,63000,18-12-16,36.0
274,10002,18-12-16,31.0
291,68000,18-12-16,
292,68000,18-12-16,
202,68000,18-12-16,
293,68000,18-12-16,
294,68000,18-12-16,
295,10004,18-12-16,
296,10004,18-12-16,
297,10018,18-12-16,
203,10005,18-12-16,
241,10005,18-12-16,
242,10005,18-12-16,
243,66000,18-12-16,
244,66000,18-12-16,
245,66000,18-12-16,
252,10009,19-12-16,57.0
253,10010,19-12-16,66.0
254,10010,19-12-16,67.0
205,10009,19-12-16,50.0
255,10020,19-12-16,74.0
256,67000,19-12-16,74.0
257,67000,19-12-16,64.0
258,67000,19-12-16,66.0
259,67000,19-12-16,58.0
260,64000,19-12-16,56.0
206,64000,19-12-16,80.0
261,64000,19-12-16,80.0
207,64000,19-12-16,88.0
262,64000,19-12-16,76.0
263,64000,19-12-16,62.0
264,64000,19-12-16,84.0
265,64000,19-12-16,72.0
266,64000,19-12-16,73.0
209,64000,19-12-16,77.0
267,64000,19-12-16,68.0
268,10013,19-12-16,76.0
269,10013,19-12-16,81.0
270,10013,19-12-16,40.0
271,10014,19-12-16,25.0
272,10015,19-12-16,26.0
210,63000,19-12-16,37.0
273,10002,19-12-16,36.0
274,10002,19-12-16,30.0
278,65000,19-12-16,21.0
279,65000,19-12-16,14.0
280,65000,19-12-16,26.0
281,65000,19-12-16,35.0
282,65000,19-12-16,34.0
283,65000,19-12-16,29.0
284,65000,19-12-16,30.0
285,65000,19-12-16,21.0
274,10002,17-12-16,
246,66000,19-12-16,
247,66000,19-12-16,
248,10007,19-12-16,
204,10007,19-12-16,
249,10007,19-12-16,
250,10008,19-12-16,
251,10009,19-12-16,
211,65000,19-12-16,
212,68000,19-12-16,
275,10008,19-12-16,
213,65000,19-12-16,
214,64000,19-12-16,
215,10008,19-12-16,
218,9007,19-12-16,
220,9020,19-12-16,
221,10016,19-12-16,
223,10014,19-12-16,
367625,10009,19-12-16,
286,63000,19-12-16,24.0
287,63000,19-12-16,18.0
288,63000,19-12-16,26.0
289,63000,19-12-16,19.0
290,63000,19-12-16,20.0
201,63000,19-12-16,34.0
291,68000,19-12-16,50.0
292,68000,19-12-16,57.0
202,68000,19-12-16,56.0
293,68000,19-12-16,66.0
294,68000,19-12-16,66.0
295,10004,19-12-16,62.0
296,10004,19-12-16,62.0
297,10018,19-12-16,60.0
203,10005,19-12-16,62.0
241,10005,19-12-16,66.0
242,10005,19-12-16,62.0
243,66000,19-12-16,56.0
244,66000,19-12-16,58.0
245,66000,19-12-16,67.0
247,66000,17-12-16,
248,10007,17-12-16,
204,10007,17-12-16,
249,10007,17-12-16,
250,10008,17-12-16,
251,10009,17-12-16,
252,10009,17-12-16,
253,10010,17-12-16,
254,10010,17-12-16,
205,10009,17-12-16,
255,10020,17-12-16,
256,67000,17-12-16,
257,67000,17-12-16,
258,67000,17-12-16,
259,67000,17-12-16,
260,64000,17-12-16,
206,64000,17-12-16,
261,64000,17-12-16,
207,64000,17-12-16,
262,64000,17-12-16,
263,64000,17-12-16,
264,64000,17-12-16,
201,63000,17-12-16,
291,68000,17-12-16,
292,68000,17-12-16,
202,68000,17-12-16,
293,68000,17-12-16,
294,68000,17-12-16,
295,10004,17-12-16,
296,10004,17-12-16,
297,10018,17-12-16,
203,10005,17-12-16,
241,10005,17-12-16,
242,10005,17-12-16,
243,66000,17-12-16,
244,66000,17-12-16,
245,66000,17-12-16,
246,66000,17-12-16,
254,10010,16-12-16,
205,10009,16-12-16,
255,10020,16-12-16,
256,67000,16-12-16,
257,67000,16-12-16,
258,67000,16-12-16,
259,67000,16-12-16,
260,64000,16-12-16,
206,64000,16-12-16,
261,64000,16-12-16,
207,64000,16-12-16,
262,64000,16-12-16,
263,64000,16-12-16,
264,64000,16-12-16,
265,64000,16-12-16,
266,64000,16-12-16,
209,64000,16-12-16,
