SITEID,COUNTYID,PSI,DATACREATIONDATE
283,65000,65.0,2016/3/05
284,65000,57.0,2016/3/05
285,65000,60.0,2016/3/05
286,63000,60.0,2016/3/05
275,10008,52.0,2016/3/06
213,65000,47.0,2016/3/06
214,64000,71.0,2016/3/06
215,10008,45.0,2016/3/06
218,9007,53.0,2016/3/06
220,9020,84.0,2016/3/06
221,10016,43.0,2016/3/06
223,10014,20.0,2016/3/06
367625,10009,70.0,2016/3/06
276,10017,27.0,2016/3/06
277,65000,42.0,2016/3/06
278,65000,32.0,2016/3/06
279,65000,46.0,2016/3/06
280,65000,54.0,2016/3/06
281,65000,59.0,2016/3/06
282,65000,34.0,2016/3/06
283,65000,29.0,2016/3/06
284,65000,40.0,2016/3/06
285,65000,38.0,2016/3/06
286,63000,48.0,2016/3/06
287,63000,35.0,2016/3/06
288,63000,36.0,2016/3/06
206,64000,48.0,2016/3/12
261,64000,52.0,2016/3/12
207,64000,54.0,2016/3/12
262,64000,47.0,2016/3/12
263,64000,62.0,2016/3/12
264,64000,56.0,2016/3/12
265,64000,55.0,2016/3/12
266,64000,51.0,2016/3/12
209,64000,50.0,2016/3/12
267,64000,50.0,2016/3/12
268,10013,42.0,2016/3/12
269,10013,47.0,2016/3/12
270,10013,41.0,2016/3/12
271,10014,28.0,2016/3/12
214,64000,56.0,2016/3/12
215,10008,28.0,2016/3/12
218,9007,60.0,2016/3/12
220,9020,69.0,2016/3/12
221,10016,52.0,2016/3/12
223,10014,30.0,2016/3/12
367625,10009,47.0,2016/3/12
276,10017,23.0,2016/3/12
277,65000,22.0,2016/3/12
278,65000,26.0,2016/3/12
279,65000,18.0,2016/3/12
280,65000,23.0,2016/3/12
281,65000,25.0,2016/3/12
282,65000,25.0,2016/3/12
283,65000,21.0,2016/3/12
284,65000,19.0,2016/3/12
285,65000,22.0,2016/3/12
286,63000,23.0,2016/3/12
287,63000,15.0,2016/3/12
288,63000,26.0,2016/3/12
289,63000,23.0,2016/3/12
290,63000,24.0,2016/3/12
201,63000,33.0,2016/3/12
273,10002,23.0,2016/3/13
274,10002,16.0,2016/3/13
211,65000,35.0,2016/3/13
212,68000,46.0,2016/3/13
275,10008,52.0,2016/3/13
213,65000,20.0,2016/3/13
214,64000,62.0,2016/3/13
215,10008,42.0,2016/3/13
218,9007,60.0,2016/3/13
220,9020,60.0,2016/3/13
221,10016,39.0,2016/3/13
223,10014,16.0,2016/3/13
297,10018,34.0,2016/3/12
203,10005,32.0,2016/3/12
241,10005,40.0,2016/3/12
242,10005,20.0,2016/3/12
243,66000,14.0,2016/3/12
244,66000,33.0,2016/3/12
245,66000,18.0,2016/3/12
246,66000,24.0,2016/3/12
247,66000,29.0,2016/3/12
248,10007,31.0,2016/3/12
204,10007,31.0,2016/3/12
249,10007,36.0,2016/3/12
250,10008,32.0,2016/3/12
251,10009,33.0,2016/3/12
252,10009,34.0,2016/3/12
253,10010,41.0,2016/3/12
254,10010,44.0,2016/3/12
205,10009,38.0,2016/3/12
255,10020,39.0,2016/3/12
256,67000,42.0,2016/3/12
257,67000,44.0,2016/3/12
258,67000,41.0,2016/3/12
259,67000,36.0,2016/3/12
260,64000,25.0,2016/3/12
275,10008,17.0,2016/3/11
213,65000,24.0,2016/3/11
214,64000,38.0,2016/3/11
215,10008,7.0,2016/3/11
218,9007,60.0,2016/3/11
220,9020,42.0,2016/3/11
221,10016,35.0,2016/3/11
223,10014,31.0,2016/3/11
367625,10009,41.0,2016/3/11
276,10017,37.0,2016/3/11
277,65000,28.0,2016/3/11
278,65000,53.0,2016/3/11
291,68000,29.0,2016/3/11
292,68000,38.0,2016/3/11
202,68000,41.0,2016/3/11
293,68000,29.0,2016/3/11
294,68000,,2016/3/11
295,10004,35.0,2016/3/11
