SITEID,COUNTYID,DATACREATIONDATE,PSI
214,64000,17-7 -16,27.0
215,10008,17-7 -16,24.0
218,9007,17-7 -16,34.0
220,9020,17-7 -16,36.0
221,10016,17-7 -16,22.0
223,10014,17-7 -16,32.0
367625,10009,17-7 -16,51.0
276,10017,17-7 -16,36.0
277,65000,17-7 -16,36.0
278,65000,17-7 -16,37.0
279,65000,17-7 -16,38.0
280,65000,17-7 -16,40.0
281,65000,17-7 -16,41.0
282,65000,17-7 -16,41.0
283,65000,17-7 -16,40.0
284,65000,17-7 -16,35.0
285,65000,17-7 -16,32.0
286,63000,17-7 -16,39.0
287,63000,17-7 -16,42.0
288,63000,17-7 -16,44.0
289,63000,17-7 -16,41.0
290,63000,17-7 -16,41.0
201,63000,17-7 -16,52.0
291,68000,17-7 -16,38.0
292,68000,17-7 -16,38.0
202,68000,17-7 -16,38.0
293,68000,17-7 -16,41.0
294,68000,17-7 -16,42.0
295,10004,17-7 -16,38.0
296,10004,17-7 -16,29.0
297,10018,17-7 -16,30.0
203,10005,17-7 -16,34.0
294,68000,14-7 -16,52.0
295,10004,14-7 -16,32.0
296,10004,14-7 -16,38.0
204,10007,14-7 -16,34.0
249,10007,14-7 -16,26.0
250,10008,14-7 -16,34.0
251,10009,14-7 -16,33.0
252,10009,14-7 -16,28.0
253,10010,14-7 -16,33.0
254,10010,14-7 -16,37.0
205,10009,14-7 -16,29.0
255,10020,14-7 -16,31.0
256,67000,14-7 -16,33.0
257,67000,14-7 -16,32.0
258,67000,14-7 -16,29.0
259,67000,14-7 -16,33.0
260,64000,14-7 -16,24.0
206,64000,14-7 -16,20.0
261,64000,14-7 -16,48.0
207,64000,14-7 -16,50.0
262,64000,14-7 -16,32.0
263,64000,14-7 -16,25.0
264,64000,14-7 -16,50.0
265,64000,14-7 -16,29.0
266,64000,14-7 -16,40.0
209,64000,14-7 -16,28.0
267,64000,14-7 -16,35.0
268,10013,14-7 -16,36.0
269,10013,14-7 -16,34.0
270,10013,14-7 -16,25.0
271,10014,14-7 -16,28.0
272,10015,14-7 -16,33.0
210,63000,14-7 -16,19.0
273,10002,14-7 -16,40.0
274,10002,14-7 -16,37.0
211,65000,14-7 -16,56.0
