SITEID,COUNTYID,PSI,DATACREATIONDATE
209,64000,66.0,2016/1/05
267,64000,54.0,2016/1/05
268,10013,,2016/1/05
269,10013,,2016/1/05
270,10013,28.0,2016/1/05
271,10014,28.0,2016/1/05
272,10015,23.0,2016/1/05
210,63000,21.0,2016/1/05
273,10002,29.0,2016/1/05
274,10002,29.0,2016/1/05
211,65000,58.0,2016/1/05
212,68000,63.0,2016/1/05
275,10008,,2016/1/05
213,65000,53.0,2016/1/05
214,64000,59.0,2016/1/05
215,10008,36.0,2016/1/05
218,9007,50.0,2016/1/05
220,9020,77.0,2016/1/05
221,10016,35.0,2016/1/05
223,10014,18.0,2016/1/05
367625,10009,74.0,2016/1/05
276,10017,21.0,2016/1/05
281,65000,54.0,2016/1/05
282,65000,52.0,2016/1/05
283,65000,49.0,2016/1/05
284,65000,50.0,2016/1/05
285,65000,52.0,2016/1/05
286,63000,42.0,2016/1/05
287,63000,54.0,2016/1/05
288,63000,48.0,2016/1/05
289,63000,50.0,2016/1/05
290,63000,43.0,2016/1/05
201,63000,61.0,2016/1/05
291,68000,52.0,2016/1/05
292,68000,,2016/1/05
202,68000,64.0,2016/1/05
293,68000,52.0,2016/1/05
294,68000,38.0,2016/1/05
295,10004,56.0,2016/1/05
296,10004,26.0,2016/1/05
297,10018,57.0,2016/1/05
203,10005,60.0,2016/1/05
241,10005,62.0,2016/1/05
242,10005,40.0,2016/1/05
243,66000,36.0,2016/1/05
244,66000,55.0,2016/1/05
245,66000,72.0,2016/1/05
207,64000,44.0,2016/1/03
262,64000,38.0,2016/1/03
263,64000,17.0,2016/1/03
264,64000,48.0,2016/1/03
265,64000,47.0,2016/1/03
266,64000,45.0,2016/1/03
209,64000,42.0,2016/1/03
267,64000,43.0,2016/1/03
268,10013,40.0,2016/1/03
269,10013,36.0,2016/1/03
270,10013,29.0,2016/1/03
271,10014,19.0,2016/1/03
272,10015,16.0,2016/1/03
210,63000,26.0,2016/1/03
273,10002,36.0,2016/1/03
274,10002,31.0,2016/1/03
211,65000,66.0,2016/1/03
220,9020,72.0,2016/1/03
221,10016,,2016/1/03
223,10014,14.0,2016/1/03
367625,10009,47.0,2016/1/03
276,10017,25.0,2016/1/03
277,65000,43.0,2016/1/03
278,65000,39.0,2016/1/03
279,65000,52.0,2016/1/03
280,65000,50.0,2016/1/03
281,65000,56.0,2016/1/03
282,65000,54.0,2016/1/03
283,65000,41.0,2016/1/03
284,65000,33.0,2016/1/03
285,65000,41.0,2016/1/03
286,63000,29.0,2016/1/03
287,63000,45.0,2016/1/03
288,63000,47.0,2016/1/03
289,63000,52.0,2016/1/03
290,63000,46.0,2016/1/03
201,63000,48.0,2016/1/03
291,68000,48.0,2016/1/03
284,65000,52.0,2016/12/29
285,65000,42.0,2016/12/29
286,63000,49.0,2016/12/29
287,63000,54.0,2016/12/29
288,63000,50.0,2016/12/29
289,63000,57.0,2016/12/29
290,63000,53.0,2016/12/29
201,63000,60.0,2016/12/29
291,68000,53.0,2016/12/29
292,68000,58.0,2016/12/29
202,68000,61.0,2016/12/29
293,68000,56.0,2016/12/29
294,68000,52.0,2016/12/29
295,10004,50.0,2016/12/29
296,10004,44.0,2016/12/29
297,10018,52.0,2016/12/29
203,10005,53.0,2016/12/29
241,10005,56.0,2016/12/29
242,10005,48.0,2016/12/29
260,64000,57.0,2016/1/03
206,64000,78.0,2016/1/03
261,64000,78.0,2016/1/03
243,66000,20.0,2016/12/29
244,66000,31.0,2016/12/29
245,66000,31.0,2016/12/29
246,66000,23.0,2016/12/29
247,66000,34.0,2016/12/29
248,10007,32.0,2016/12/29
204,10007,,2016/12/29
249,10007,42.0,2016/12/29
250,10008,50.0,2016/12/29
251,10009,44.0,2016/12/29
252,10009,38.0,2016/12/29
253,10010,52.0,2016/12/29
254,10010,50.0,2016/12/29
205,10009,54.0,2016/12/29
255,10020,50.0,2016/12/29
256,67000,52.0,2016/12/29
257,67000,52.0,2016/12/29
258,67000,59.0,2016/12/29
259,67000,51.0,2016/12/29
260,64000,,2016/12/29
206,64000,59.0,2016/12/29
261,64000,65.0,2016/12/29
207,64000,68.0,2016/12/29
262,64000,62.0,2016/12/29
263,64000,58.0,2016/12/29
264,64000,68.0,2016/12/29
265,64000,59.0,2016/12/29
266,64000,64.0,2016/12/29
209,64000,60.0,2016/12/29
264,64000,60.0,2016/12/28
265,64000,50.0,2016/12/28
266,64000,55.0,2016/12/28
209,64000,50.0,2016/12/28
267,64000,56.0,2016/12/28
268,10013,59.0,2016/12/28
269,10013,60.0,2016/12/28
270,10013,46.0,2016/12/28
271,10014,39.0,2016/12/28
272,10015,37.0,2016/12/28
210,63000,39.0,2016/12/28
273,10002,45.0,2016/12/28
274,10002,,2016/12/28
211,65000,60.0,2016/12/28
212,68000,56.0,2016/12/28
275,10008,49.0,2016/12/28
213,65000,,2016/12/28
214,64000,54.0,2016/12/28
215,10008,34.0,2016/12/28
218,9007,64.0,2016/12/28
220,9020,59.0,2016/12/28
221,10016,40.0,2016/12/28
223,10014,35.0,2016/12/28
367625,10009,127.0,2016/12/28
276,10017,40.0,2016/12/28
277,65000,51.0,2016/12/28
278,65000,72.0,2016/12/28
279,65000,48.0,2016/12/28
280,65000,50.0,2016/12/28
281,65000,54.0,2016/12/28
282,65000,48.0,2016/12/28
283,65000,48.0,2016/12/28
284,65000,52.0,2016/12/28
285,65000,47.0,2016/12/28
286,63000,43.0,2016/12/28
287,63000,52.0,2016/12/28
288,63000,50.0,2016/12/28
211,65000,54.0,2016/1/09
212,68000,54.0,2016/1/09
275,10008,56.0,2016/1/09
213,65000,44.0,2016/1/09
214,64000,67.0,2016/1/09
215,10008,48.0,2016/1/09
218,9007,54.0,2016/1/09
220,9020,58.0,2016/1/09
221,10016,43.0,2016/1/09
223,10014,30.0,2016/1/09
367625,10009,69.0,2016/1/09
276,10017,44.0,2016/1/09
277,65000,44.0,2016/1/09
278,65000,58.0,2016/1/09
279,65000,48.0,2016/1/09
280,65000,42.0,2016/1/09
281,65000,52.0,2016/1/09
282,65000,43.0,2016/1/09
283,65000,47.0,2016/1/09
284,65000,52.0,2016/1/09
285,65000,36.0,2016/1/09
286,63000,40.0,2016/1/09
284,65000,60.0,2016/1/02
285,65000,64.0,2016/1/02
286,63000,52.0,2016/1/02
287,63000,56.0,2016/1/02
288,63000,50.0,2016/1/02
289,63000,53.0,2016/1/02
290,63000,54.0,2016/1/02
201,63000,62.0,2016/1/02
291,68000,54.0,2016/1/02
292,68000,63.0,2016/1/02
202,68000,58.0,2016/1/02
293,68000,61.0,2016/1/02
294,68000,66.0,2016/1/02
295,10004,60.0,2016/1/02
296,10004,58.0,2016/1/02
297,10018,63.0,2016/1/02
203,10005,62.0,2016/1/02
241,10005,68.0,2016/1/02
242,10005,48.0,2016/1/02
243,66000,39.0,2016/1/02
277,65000,64.0,2016/1/02
278,65000,64.0,2016/1/02
279,65000,70.0,2016/1/02
280,65000,72.0,2016/1/02
281,65000,74.0,2016/1/02
282,65000,67.0,2016/1/02
283,65000,69.0,2016/1/02
264,64000,79.0,2016/1/02
265,64000,73.0,2016/1/02
266,64000,78.0,2016/1/02
209,64000,70.0,2016/1/02
267,64000,76.0,2016/1/02
268,10013,72.0,2016/1/02
269,10013,82.0,2016/1/02
270,10013,39.0,2016/1/02
271,10014,26.0,2016/1/02
272,10015,26.0,2016/1/02
210,63000,38.0,2016/1/02
273,10002,36.0,2016/1/02
274,10002,32.0,2016/1/02
211,65000,60.0,2016/1/02
212,68000,68.0,2016/1/02
275,10008,68.0,2016/1/02
213,65000,31.0,2016/1/02
213,65000,52.0,2016/1/01
214,64000,91.0,2016/1/01
215,10008,42.0,2016/1/01
218,9007,76.0,2016/1/01
220,9020,71.0,2016/1/01
221,10016,62.0,2016/1/01
223,10014,27.0,2016/1/01
367625,10009,70.0,2016/1/01
276,10017,52.0,2016/1/01
277,65000,58.0,2016/1/01
278,65000,68.0,2016/1/01
279,65000,55.0,2016/1/01
280,65000,54.0,2016/1/01
281,65000,60.0,2016/1/01
282,65000,56.0,2016/1/01
283,65000,58.0,2016/1/01
284,65000,59.0,2016/1/01
285,65000,52.0,2016/1/01
273,10002,44.0,2016/1/01
274,10002,26.0,2016/1/01
211,65000,63.0,2016/1/01
212,68000,48.0,2016/1/01
