SITEID,COUNTYID,PSI,DATACREATIONDATE
284,65000,54.0,2014/8/31
285,65000,47.0,2014/8/31
286,63000,55.0,2014/8/31
287,63000,50.0,2014/8/31
288,63000,51.0,2014/8/31
289,63000,47.0,2014/8/31
290,63000,57.0,2014/8/31
201,63000,54.0,2014/8/31
295,10004,36.0,2014/8/31
296,10004,40.0,2014/8/31
297,10018,31.0,2014/8/31
203,10005,39.0,2014/8/31
241,10005,37.0,2014/8/31
242,10005,41.0,2014/8/31
243,66000,42.0,2014/8/31
244,66000,46.0,2014/8/31
245,66000,41.0,2014/8/31
246,66000,45.0,2014/8/31
247,66000,41.0,2014/8/31
248,10007,35.0,2014/8/31
204,10007,41.0,2014/8/31
249,10007,33.0,2014/8/31
250,10008,36.0,2014/8/31
251,10009,40.0,2014/8/31
252,10009,40.0,2014/8/31
253,10010,47.0,2014/8/31
254,10010,53.0,2014/8/31
205,10009,36.0,2014/8/31
255,10020,45.0,2014/8/31
256,67000,44.0,2014/8/31
257,67000,46.0,2014/8/31
258,67000,51.0,2014/8/31
259,67000,47.0,2014/8/31
260,64000,39.0,2014/8/31
206,64000,65.0,2014/8/31
261,64000,60.0,2014/8/31
207,64000,49.0,2014/8/31
262,64000,38.0,2014/8/31
263,64000,32.0,2014/8/31
264,64000,62.0,2014/8/31
265,64000,51.0,2014/8/31
266,64000,66.0,2014/8/31
209,64000,43.0,2014/8/31
267,64000,53.0,2014/8/31
268,10013,,2014/8/30
270,10013,15.0,2014/8/31
271,10014,15.0,2014/8/31
272,10015,16.0,2014/8/31
210,63000,44.0,2014/8/31
273,10002,37.0,2014/8/31
274,10002,31.0,2014/8/31
211,65000,45.0,2014/8/31
275,10008,39.0,2014/8/31
213,65000,44.0,2014/8/31
214,64000,44.0,2014/8/31
215,10008,25.0,2014/8/31
218,9007,38.0,2014/8/31
220,9020,56.0,2014/8/31
221,10016,38.0,2014/8/31
223,10014,13.0,2014/8/31
367625,10009,27.0,2014/8/31
276,10017,35.0,2014/10/01
277,65000,28.0,2014/10/01
278,65000,70.0,2014/10/01
279,65000,24.0,2014/10/01
280,65000,38.0,2014/10/01
281,65000,35.0,2014/10/01
282,65000,32.0,2014/10/01
283,65000,30.0,2014/10/01
284,65000,25.0,2014/10/01
285,65000,32.0,2014/10/01
286,63000,28.0,2014/10/01
287,63000,50.0,2014/10/01
288,63000,32.0,2014/10/01
289,63000,34.0,2014/10/01
290,63000,31.0,2014/10/01
201,63000,46.0,2014/10/01
295,10004,39.0,2014/10/01
296,10004,32.0,2014/10/01
297,10018,31.0,2014/10/01
203,10005,40.0,2014/10/01
241,10005,37.0,2014/10/01
242,10005,36.0,2014/10/01
243,66000,55.0,2014/10/01
244,66000,41.0,2014/10/01
245,66000,58.0,2014/10/01
246,66000,47.0,2014/10/01
247,66000,46.0,2014/10/01
248,10007,46.0,2014/10/01
204,10007,43.0,2014/10/01
249,10007,54.0,2014/10/01
250,10008,68.0,2014/10/01
251,10009,48.0,2014/10/01
252,10009,56.0,2014/10/01
253,10010,60.0,2014/10/01
254,10010,62.0,2014/10/01
205,10009,56.0,2014/10/01
255,10020,58.0,2014/10/01
256,67000,60.0,2014/10/01
257,67000,49.0,2014/10/01
258,67000,56.0,2014/10/01
259,67000,52.0,2014/10/01
260,64000,49.0,2014/10/01
206,64000,49.0,2014/10/01
261,64000,56.0,2014/10/01
207,64000,56.0,2014/10/01
262,64000,57.0,2014/10/01
263,64000,,2014/9/30
264,64000,54.0,2014/10/01
265,64000,56.0,2014/10/01
266,64000,50.0,2014/10/01
209,64000,52.0,2014/10/01
267,64000,54.0,2014/10/01
268,10013,58.0,2014/10/01
269,10013,53.0,2014/10/01
270,10013,46.0,2014/10/01
271,10014,43.0,2014/10/01
272,10015,41.0,2014/10/01
210,63000,38.0,2014/10/01
273,10002,45.0,2014/10/01
274,10002,43.0,2014/10/01
211,65000,52.0,2014/10/01
275,10008,61.0,2014/10/01
213,65000,28.0,2014/10/01
214,64000,51.0,2014/10/01
215,10008,50.0,2014/10/01
218,9007,39.0,2014/10/01
220,9020,41.0,2014/10/01
221,10016,47.0,2014/10/01
223,10014,36.0,2014/10/01
367625,10009,68.0,2014/10/01
