序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),臭氧8小時最大值 O3_Max_8_HR (ppb),懸浮微粒 PM 10  (μg/m 3 ),細懸浮微粒 PM 2.5  (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppmC),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),大氣溫度 AMB_TEMP (℃),相對濕度 RH (percent)
1.0,臺北市,2013/03/31,松山,1.0,0.42,412.98,39.1,43.0,23.0,11.0,22.95,2.61,20.34,2.027,0.103,1.92,18.6,89.28
2.0,臺北市,2013/03/31,古亭,1.7,0.48,418.8484239130434,37.3,46.0,29.0,17.0,24.01,3.44,20.58,2.062,0.113,1.95,19.04,93.12
3.0,臺北市,2013/03/31,中山,1.3,0.57,418.8484239130434,32.2,39.0,34.0,25.0,30.89,5.69,25.21,2.185,0.167,2.02,19.46,88.6
4.0,臺北市,2013/03/31,大同,2.0,1.53,418.8484239130434,34.8793602103418,52.55161719096145,39.0,24.0,83.32,40.99,42.33,2.568,0.478,2.09,20.817092819614714,74.09355078809108
5.0,臺北市,2013/03/31,萬華,1.6,0.57,418.8484239130434,27.5,34.0,25.0,21.0,31.29,3.32,27.95,2.2102226179875335,0.24102493321460378,1.9698308103294746,19.25,89.31
6.0,臺北市,2013/03/31,陽明,1.1,0.23,400.33,57.5,63.0,5.0,4.0,2.45,1.52,0.92,2.2102226179875335,0.24102493321460378,1.9698308103294746,13.78,100.0
7.0,臺北市,2013/03/31,士林,0.7,0.39,418.8484239130434,40.6,55.0,15.0,16.0,16.44,2.54,13.9,2.2102226179875335,0.24102493321460378,1.9698308103294746,18.69,88.74
8.0,臺北市,2013/03/30,松山,1.9,0.45,411.55,40.5,49.0,40.0,17.0,21.52,2.55,18.97,2.008,0.113,1.9,18.12,86.83
9.0,臺北市,2013/03/30,古亭,2.5,0.45,418.8484239130434,42.4,52.0,44.0,26.0,19.84,3.06,16.77,1.994,0.091,1.9,19.01,85.97
10.0,臺北市,2013/03/30,中山,1.0,0.6,418.8484239130434,34.4,44.0,50.0,31.0,28.89,5.25,23.64,2.146,0.166,1.98,19.54,82.86
11.0,臺北市,2013/03/30,大同,1.7,1.42,418.8484239130434,34.8793602103418,52.55161719096145,44.0,28.0,68.99,32.25,36.74,2.487,0.46,2.03,20.817092819614714,74.09355078809108
12.0,臺北市,2013/03/30,萬華,1.6,0.52,418.8484239130434,31.7,42.0,41.0,25.0,26.92,3.15,23.76,2.2102226179875335,0.24102493321460378,1.9698308103294746,19.27,83.7
13.0,臺北市,2013/03/30,陽明,0.5,0.24,399.37,55.2,59.0,5.0,5.0,3.33,2.46,0.87,2.2102226179875335,0.24102493321460378,1.9698308103294746,13.96,99.42
