﻿序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),臭氧 O3 (ppb),懸浮微粒 PM 10 (μg/m 3 ),細懸浮微粒 PM 2.5 (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),風速 WIND_SPEED (m/sec),溫度 AMB_TEMP (℃),相對濕度 RH (percent) 
16.0,臺北市,2015/01/30,松山,0.7,0.35,25.5,16.0,34.07998289136014,19.51,3.75,15.76,2.34,16.25,77.46
17.0,臺北市,2015/01/30,古亭,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,7.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
18.0,臺北市,2015/01/30,古亭,1.1,0.43,20.1,30.0,34.07998289136014,23.5,4.83,18.67,2.56,16.98,79.64
19.0,臺北市,2015/01/30,中山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,5.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
20.0,臺北市,2015/01/30,中山,1.7,0.56,19.8,37.0,34.07998289136014,31.16,10.82,20.35,1.87,17.49,75.37
21.0,臺北市,2015/01/30,大同,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,4.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
22.0,臺北市,2015/01/30,大同,2.8,0.98,31.225284339457566,26.0,34.07998289136014,65.46,39.36,26.1,2.6251324651998202,17.116743780008733,69.75121397379911
23.0,臺北市,2015/01/30,萬華,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,5.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
24.0,臺北市,2015/01/30,萬華,1.4,0.47,17.7,18.0,34.07998289136014,30.11,7.99,22.13,1.94,17.21,73.39
25.0,臺北市,2015/01/30,陽明,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,1.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
26.0,臺北市,2015/01/30,陽明,0.5,0.18,37.8,5.0,34.07998289136014,2.45,1.31,1.14,2.6251324651998202,9.45,100.0
27.0,臺北市,2015/01/30,士林,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,5.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
28.0,臺北市,2015/01/30,士林,0.6,0.29,29.2,16.0,34.07998289136014,14.63,3.87,10.76,1.69,16.94,71.03
29.0,臺北市,2015/01/29,松山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,7.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
30.0,臺北市,2015/01/29,松山,3.4,0.49,21.1,27.0,34.07998289136014,33.08,10.13,22.95,1.71,17.67,82.33
31.0,臺北市,2015/01/29,古亭,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,10.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
32.0,臺北市,2015/01/29,古亭,3.2,0.5,20.0,34.0,34.07998289136014,30.05,8.21,21.84,2.4,18.51,83.51
33.0,臺北市,2015/01/29,中山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,9.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
34.0,臺北市,2015/01/29,中山,3.8,0.66,18.6,42.0,34.07998289136014,40.87,14.93,25.94,2.1,18.81,80.8
35.0,臺北市,2015/01/29,大同,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,8.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
36.0,臺北市,2015/01/29,大同,5.0,1.28,31.225284339457566,41.0,34.07998289136014,81.09,49.48,31.61,2.6251324651998202,17.116743780008733,69.75121397379911
37.0,臺北市,2015/01/29,萬華,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,10.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
38.0,臺北市,2015/01/29,萬華,4.3,0.53,18.1,26.0,34.07998289136014,36.91,11.32,25.58,2.46,18.56,79.15
39.0,臺北市,2015/01/29,陽明,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,3.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
40.0,臺北市,2015/01/29,陽明,0.6,0.16,42.4,6.0,34.07998289136014,1.84,1.09,0.73,2.6251324651998202,11.8,99.99
41.0,臺北市,2015/01/29,士林,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,7.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
42.0,臺北市,2015/01/29,士林,2.1,0.35,30.5,24.0,34.07998289136014,14.86,1.87,12.98,1.86,18.64,73.64
43.0,臺北市,2015/01/28,松山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,13.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
44.0,臺北市,2015/01/28,松山,2.4,0.46,24.3,20.0,34.07998289136014,28.2,6.18,22.02,2.04,14.61,86.29
45.0,臺北市,2015/01/28,古亭,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,15.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
46.0,臺北市,2015/01/28,古亭,2.1,0.43,26.2,34.0,34.07998289136014,19.69,3.69,16.0,3.0,15.21,88.44
47.0,臺北市,2015/01/28,中山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,11.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
48.0,臺北市,2015/01/28,中山,1.9,0.6,22.5,40.0,34.07998289136014,31.17,9.13,22.04,2.66,15.68,84.71
49.0,臺北市,2015/01/28,大同,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,12.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
50.0,臺北市,2015/01/28,大同,3.1,1.34,31.225284339457566,40.0,34.07998289136014,78.69,47.33,31.36,2.6251324651998202,17.116743780008733,69.75121397379911
51.0,臺北市,2015/01/28,萬華,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,14.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
52.0,臺北市,2015/01/28,萬華,2.6,0.47,23.6,29.0,34.07998289136014,27.1,6.03,21.08,3.27,15.44,82.34
