序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),臭氧8小時最大值 O3_Max_8_HR (ppb),懸浮微粒 PM 10  (μg/m 3 ),細懸浮微粒 PM 2.5  (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppmC),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),大氣溫度 AMB_TEMP (℃),相對濕度 RH (percent)
1.0,臺北市,2013/01/31,松山,2.8,1.0,430.53,23.5,47.0,54.0,33.0,60.9,26.88,34.01,2.433,0.396,2.04,18.9,59.36
2.0,臺北市,2013/01/31,古亭,3.0,0.84,416.26462365591397,23.5,45.0,56.0,34.0,47.95,15.48,32.47,2.26,0.301,1.96,19.5,60.6
3.0,臺北市,2013/01/31,中山,3.4,1.26,416.26462365591397,16.1,31.0,53.0,38.0,81.81,38.48,43.33,2.679,0.478,2.2,19.94,59.53
4.0,臺北市,2013/01/31,大同,4.9,2.05,416.26462365591397,26.989703932832523,41.177326863696514,66.0,45.0,119.99,70.71,49.28,3.141,0.839,2.3,17.002178173719376,76.33367156208278
5.0,臺北市,2013/01/31,萬華,6.6,1.13,416.26462365591397,15.9,28.0,55.0,39.0,63.23,21.03,42.18,2.221241472172352,0.26390664272890485,1.9578096947935368,19.84,59.85
6.0,臺北市,2013/01/31,陽明,1.6,0.22,406.44,48.8,52.0,23.0,18.0,4.25,1.25,3.0,2.221241472172352,0.26390664272890485,1.9578096947935368,13.58,76.29
7.0,臺北市,2013/01/31,士林,3.2,0.76,416.26462365591397,28.1,51.0,70.0,42.0,45.55,17.15,28.39,2.221241472172352,0.26390664272890485,1.9578096947935368,19.12,68.87
8.0,臺北市,2013/01/30,松山,3.1,0.63,423.6,18.7,45.0,49.0,25.0,40.07,9.58,30.49,2.222,0.238,1.99,16.63,66.54
9.0,臺北市,2013/01/30,古亭,2.7,0.62,416.26462365591397,27.9,44.0,55.0,36.0,33.73,10.15,23.59,2.109,0.175,1.93,17.43,65.37
10.0,臺北市,2013/01/30,中山,3.3,0.85,416.26462365591397,15.7,31.0,53.0,36.0,54.33,17.56,36.77,2.451,0.317,2.13,18.04,64.01
11.0,臺北市,2013/01/30,大同,4.0,1.49,416.26462365591397,26.989703932832523,41.177326863696514,60.0,44.0,92.89,52.2,40.69,2.739,0.567,2.17,17.002178173719376,76.33367156208278
12.0,臺北市,2013/01/30,萬華,3.8,0.67,416.26462365591397,18.8,34.0,49.0,36.0,40.9,8.69,32.21,2.221241472172352,0.26390664272890485,1.9578096947935368,17.87,64.05
13.0,臺北市,2013/01/30,陽明,1.5,0.26,407.27,53.4,57.0,32.0,27.0,2.95,1.13,1.82,2.221241472172352,0.26390664272890485,1.9578096947935368,10.87,85.84
14.0,臺北市,2013/01/30,士林,2.7,0.67,416.26462365591397,29.9,49.0,55.0,35.0,34.35,15.55,18.8,2.221241472172352,0.26390664272890485,1.9578096947935368,17.28,68.99
15.0,臺北市,2013/01/29,松山,4.2,0.78,430.21,14.1,22.0,50.0,25.0,56.25,21.89,34.36,2.377,0.346,2.03,16.38,72.42
16.0,臺北市,2013/01/29,古亭,5.2,0.8,416.26462365591397,15.7,25.0,65.0,32.0,52.55,19.69,32.86,2.368,0.365,2.0,16.85,72.7
17.0,臺北市,2013/01/29,中山,4.9,1.07,416.26462365591397,10.4,15.0,55.0,29.0,73.67,33.13,40.53,2.582,0.45,2.13,17.28,72.06
18.0,臺北市,2013/01/29,大同,5.5,1.63,416.26462365591397,26.989703932832523,41.177326863696514,52.0,32.0,94.2,55.93,38.27,2.869,0.678,2.19,17.002178173719376,76.33367156208278
19.0,臺北市,2013/01/29,萬華,6.1,0.95,416.26462365591397,10.9,17.0,53.0,29.0,57.64,21.66,35.99,2.221241472172352,0.26390664272890485,1.9578096947935368,17.2,72.4
20.0,臺北市,2013/01/29,陽明,1.6,0.28,409.61,48.0,56.0,26.0,23.0,4.64,1.43,3.2,2.221241472172352,0.26390664272890485,1.9578096947935368,10.89,83.21
