﻿序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),懸浮微粒 PM 10 (μg/m 3 ),細懸浮微粒 PM 2.5 (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),風速 WIND_SPEED (m/sec),溫度 AMB_TEMP (℃),相對濕度 RH (percent) 
1.0,臺北市,2014/11/30,松山,3.3553191489361702,0.4989395973154362,417.64223463687154,32.96630434782608,59.763169544046036,27.0,21.621507336594043,5.152289906625167,16.46593597154291,2.4130475302889094,22.873508612873984,74.91131674208145
2.0,臺北市,2014/11/30,松山,3.1,0.79,436.51,16.8,44.0,28.525386313465784,35.3,12.02,23.27,1.52,25.45,74.96
3.0,臺北市,2014/11/30,古亭,3.3553191489361702,0.4989395973154362,417.64223463687154,32.96630434782608,59.763169544046036,28.0,21.621507336594043,5.152289906625167,16.46593597154291,2.4130475302889094,22.873508612873984,74.91131674208145
4.0,臺北市,2014/11/30,古亭,3.0,0.72,417.64223463687154,14.7,53.0,28.525386313465784,27.7,6.53,21.17,1.15,25.78,80.04
5.0,臺北市,2014/11/30,中山,3.3553191489361702,0.4989395973154362,417.64223463687154,32.96630434782608,59.763169544046036,23.0,21.621507336594043,5.152289906625167,16.46593597154291,2.4130475302889094,22.873508612873984,74.91131674208145
6.0,臺北市,2014/11/30,中山,1.9,1.01,417.64223463687154,12.8,72.0,28.525386313465784,45.55,20.1,25.44,1.51,25.96,76.56
7.0,臺北市,2014/11/30,大同,3.3553191489361702,0.4989395973154362,417.64223463687154,32.96630434782608,59.763169544046036,17.0,21.621507336594043,5.152289906625167,16.46593597154291,2.4130475302889094,22.873508612873984,74.91131674208145
8.0,臺北市,2014/11/30,大同,3.6,1.25,417.64223463687154,32.96630434782608,60.0,28.525386313465784,46.58,20.02,26.56,2.4130475302889094,22.873508612873984,74.91131674208145
9.0,臺北市,2014/11/30,萬華,3.3553191489361702,0.4989395973154362,417.64223463687154,32.96630434782608,59.763169544046036,27.0,21.621507336594043,5.152289906625167,16.46593597154291,2.4130475302889094,22.873508612873984,74.91131674208145
10.0,臺北市,2014/11/30,萬華,3.7,0.9,417.64223463687154,12.6,48.0,28.525386313465784,37.52,12.4,25.12,1.11,25.85,77.17
11.0,臺北市,2014/11/30,陽明,3.3553191489361702,0.4989395973154362,417.64223463687154,32.96630434782608,59.763169544046036,11.0,21.621507336594043,5.152289906625167,16.46593597154291,2.4130475302889094,22.873508612873984,74.91131674208145
12.0,臺北市,2014/11/30,陽明,1.5,0.2,405.17,31.1,14.0,28.525386313465784,4.68,0.88,3.79,2.4130475302889094,19.29,89.69
13.0,臺北市,2014/11/30,士林,3.3553191489361702,0.4989395973154362,417.64223463687154,32.96630434782608,59.763169544046036,25.0,21.621507336594043,5.152289906625167,16.46593597154291,2.4130475302889094,22.873508612873984,74.91131674208145
14.0,臺北市,2014/11/30,士林,2.9,0.6,417.64223463687154,17.8,37.0,28.525386313465784,26.52,7.05,19.47,1.55,24.97,77.75
15.0,臺北市,2014/11/29,松山,3.3553191489361702,0.4989395973154362,417.64223463687154,32.96630434782608,59.763169544046036,19.0,21.621507336594043,5.152289906625167,16.46593597154291,2.4130475302889094,22.873508612873984,74.91131674208145
16.0,臺北市,2014/11/29,松山,4.9,0.65,425.64,22.1,36.0,28.525386313465784,32.71,9.51,23.2,1.28,25.91,75.69
17.0,臺北市,2014/11/29,古亭,3.3553191489361702,0.4989395973154362,417.64223463687154,32.96630434782608,59.763169544046036,22.0,21.621507336594043,5.152289906625167,16.46593597154291,2.4130475302889094,22.873508612873984,74.91131674208145
18.0,臺北市,2014/11/29,古亭,3.8,0.64,417.64223463687154,19.4,49.0,28.525386313465784,30.09,7.8,22.28,1.24,26.33,79.16
19.0,臺北市,2014/11/29,中山,3.3553191489361702,0.4989395973154362,417.64223463687154,32.96630434782608,59.763169544046036,21.0,21.621507336594043,5.152289906625167,16.46593597154291,2.4130475302889094,22.873508612873984,74.91131674208145
20.0,臺北市,2014/11/29,中山,6.0,0.92,417.64223463687154,20.9,64.0,28.525386313465784,44.69,15.78,28.91,1.42,26.76,74.8
21.0,臺北市,2014/11/29,大同,3.3553191489361702,0.4989395973154362,417.64223463687154,32.96630434782608,59.763169544046036,15.0,21.621507336594043,5.152289906625167,16.46593597154291,2.4130475302889094,22.873508612873984,74.91131674208145
22.0,臺北市,2014/11/29,大同,5.5,1.63,417.64223463687154,32.96630434782608,59.0,28.525386313465784,63.13,29.88,33.25,2.4130475302889094,22.873508612873984,74.91131674208145
23.0,臺北市,2014/11/29,萬華,3.3553191489361702,0.4989395973154362,417.64223463687154,32.96630434782608,59.763169544046036,21.0,21.621507336594043,5.152289906625167,16.46593597154291,2.4130475302889094,22.873508612873984,74.91131674208145
24.0,臺北市,2014/11/29,萬華,5.4,0.74,417.64223463687154,22.9,37.0,28.525386313465784,32.48,7.22,25.26,1.46,26.44,76.24
