序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),臭氧8小時最大值 O3_Max_8_HR (ppb),懸浮微粒 PM 10  (μg/m 3 ),細懸浮微粒 PM 2.5  (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppmC),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),大氣溫度 AMB_TEMP (℃),相對濕度 RH (percent)
1.0,臺北市,2013/11/30,松山,3.7,0.54,428.0,19.3,40.0,38.0,27.0,36.54,9.08,27.44,2.171,0.217,1.96,1.75,15.74,57.54
2.0,臺北市,2013/11/30,古亭,2.9,0.49,418.5032584269663,27.3,39.0,48.0,22.0,29.96,9.66,20.31,2.067,0.138,1.93,2.24,16.96,55.63
3.0,臺北市,2013/11/30,中山,2.7,0.64,418.5032584269663,18.3,30.0,71.0,33.0,42.15,13.0,29.15,2.188,0.22,1.97,2.02,17.65,54.89
4.0,臺北市,2013/11/30,大同,4.8,1.11,418.5032584269663,31.9011748757343,49.4518018018018,65.0,31.0,80.24,44.15,36.08,2.402,0.41,1.99,2.5826942355889724,21.828047898779936,73.93651898734177
5.0,臺北市,2013/11/30,萬華,3.7,0.53,418.5032584269663,19.6,34.0,36.0,26.0,39.53,8.97,30.56,2.1844153005464477,0.24773406193078323,1.9372586520947173,1.9,17.53,51.96
6.0,臺北市,2013/11/30,陽明,5.2,0.22,397.82,43.3,50.0,24.0,14.0,4.67,0.93,3.72,2.1844153005464477,0.24773406193078323,1.9372586520947173,2.5826942355889724,10.56,83.19
7.0,臺北市,2013/11/30,士林,3.7,0.31,418.5032584269663,38.0,45.0,45.0,22.0,12.69,1.6,11.08,2.1844153005464477,0.24773406193078323,1.9372586520947173,2.11,17.59,52.93
8.0,臺北市,2013/11/29,松山,4.4,0.43,424.04,26.0,43.0,44.0,26.0,25.22,3.32,21.89,2.081,0.149,1.93,2.13,13.4,51.82
9.0,臺北市,2013/11/29,古亭,3.9,0.45,418.5032584269663,25.2,38.0,53.0,23.0,27.42,9.22,18.2,2.018,0.132,1.89,2.57,13.48,58.53
10.0,臺北市,2013/11/29,中山,4.5,0.66,418.5032584269663,18.6,30.0,79.0,33.0,43.82,15.44,28.38,2.194,0.227,1.97,1.7,14.47,53.55
11.0,臺北市,2013/11/29,大同,5.1,1.1,418.5032584269663,31.9011748757343,49.4518018018018,70.0,35.0,80.6,45.68,34.92,2.483,0.406,2.08,2.5826942355889724,21.828047898779936,73.93651898734177
12.0,臺北市,2013/11/29,萬華,4.4,0.51,418.5032584269663,20.7,36.0,47.0,24.0,33.9,8.41,25.49,2.1844153005464477,0.24773406193078323,1.9372586520947173,2.12,14.2,52.3
13.0,臺北市,2013/11/29,陽明,4.9,0.24,399.84,42.9,50.0,33.0,18.0,4.68,1.28,3.38,2.1844153005464477,0.24773406193078323,1.9372586520947173,2.5826942355889724,6.7,82.71
14.0,臺北市,2013/11/29,士林,3.9,0.38,418.5032584269663,31.4,44.0,50.0,27.0,17.76,3.09,14.67,2.1844153005464477,0.24773406193078323,1.9372586520947173,2.01,13.65,53.63
15.0,臺北市,2013/11/28,松山,4.9,0.43,419.89,24.2,31.0,50.0,31.0,24.49,3.29,21.18,2.01,0.123,1.89,1.95,13.89,63.83
16.0,臺北市,2013/11/28,古亭,4.0,0.51,418.5032584269663,19.7,26.0,57.0,26.0,29.63,6.71,22.91,2.034,0.137,1.9,2.25,14.02,70.07
17.0,臺北市,2013/11/28,中山,3.9,0.59,418.5032584269663,17.8,26.0,78.0,36.0,36.73,12.06,24.67,2.076,0.187,1.89,1.58,14.73,66.97
18.0,臺北市,2013/11/28,大同,4.4,1.15,418.5032584269663,31.9011748757343,49.4518018018018,79.0,34.0,76.81,45.92,30.89,2.306,0.397,1.91,2.5826942355889724,21.828047898779936,73.93651898734177
19.0,臺北市,2013/11/28,萬華,4.2,0.51,418.5032584269663,19.4,27.0,53.0,25.0,31.96,7.24,24.72,2.1844153005464477,0.24773406193078323,1.9372586520947173,1.73,14.58,64.04
20.0,臺北市,2013/11/28,陽明,3.6,0.26,416.62,37.6,43.0,25.0,13.0,5.45,0.72,4.73,2.1844153005464477,0.24773406193078323,1.9372586520947173,2.5826942355889724,7.02,93.45
21.0,臺北市,2013/11/28,士林,3.7,0.36,418.5032584269663,29.1,34.0,54.0,26.0,15.4,2.07,13.33,2.1844153005464477,0.24773406193078323,1.9372586520947173,1.71,14.04,64.97
22.0,臺北市,2013/11/27,松山,2.6,0.54,427.46,24.8,37.0,77.0,32.0,32.51,8.81,23.7,2.215,0.212,2.0,1.87,19.51,68.05
23.0,臺北市,2013/11/27,古亭,2.8,0.57,418.5032584269663,23.4,34.0,81.0,28.0,30.91,8.14,22.77,2.096,0.193,1.9,2.05,19.64,70.66
24.0,臺北市,2013/11/27,中山,2.7,0.68,418.5032584269663,20.7,27.0,106.0,36.0,37.56,10.29,27.27,2.228,0.259,1.97,1.64,20.62,67.18
25.0,臺北市,2013/11/27,大同,3.9,1.82,418.5032584269663,31.9011748757343,49.4518018018018,107.0,40.0,88.86,54.92,33.94,2.622,0.638,1.98,2.5826942355889724,21.828047898779936,73.93651898734177
26.0,臺北市,2013/11/27,萬華,3.1,0.58,418.5032584269663,24.0,34.0,77.0,31.0,29.67,5.12,24.55,2.1844153005464477,0.24773406193078323,1.9372586520947173,1.49,20.27,66.4
27.0,臺北市,2013/11/27,陽明,1.5,0.25,422.27,45.4,54.0,42.0,20.0,5.74,2.32,3.42,2.1844153005464477,0.24773406193078323,1.9372586520947173,2.5826942355889724,13.8,94.5
28.0,臺北市,2013/11/27,士林,3.3,0.38,418.5032584269663,34.5,48.0,92.0,30.0,19.69,4.15,15.53,2.1844153005464477,0.24773406193078323,1.9372586520947173,2.18,20.38,65.9
29.0,臺北市,2013/11/26,松山,3.2,0.41,417.0,25.7,32.0,127.0,37.0,25.11,4.82,20.27,2.024,0.137,1.89,2.32,19.23,56.86
30.0,臺北市,2013/11/26,古亭,2.4,0.4,418.5032584269663,28.2,32.0,132.0,31.0,18.35,3.77,14.58,1.9,0.073,1.83,3.34,19.52,59.54
31.0,臺北市,2013/11/26,中山,2.4,0.6,418.5032584269663,18.6,24.0,166.0,41.0,36.9,10.65,26.25,2.139,0.216,1.92,2.48,20.11,59.4
32.0,臺北市,2013/11/26,大同,3.3,1.12,418.5032584269663,31.9011748757343,49.4518018018018,151.0,44.0,74.25,43.67,30.58,2.333,0.389,1.94,2.5826942355889724,21.828047898779936,73.93651898734177
33.0,臺北市,2013/11/26,萬華,2.6,0.45,418.5032584269663,21.9,29.0,127.0,41.0,30.09,7.14,22.95,2.1844153005464477,0.24773406193078323,1.9372586520947173,3.48,19.94,57.16
34.0,臺北市,2013/11/26,陽明,3.0,0.2,423.7,40.5,42.0,83.0,28.0,4.05,1.7,2.34,2.1844153005464477,0.24773406193078323,1.9372586520947173,2.5826942355889724,12.27,89.41
35.0,臺北市,2013/11/26,士林,2.5,0.29,418.5032584269663,35.7,37.0,144.0,32.0,11.0,2.16,8.83,2.1844153005464477,0.24773406193078323,1.9372586520947173,2.94,19.7,58.01
36.0,臺北市,2013/11/25,松山,3.0,0.49,422.66,27.9,34.0,73.0,26.0,21.5,3.27,18.22,2.061,0.13,1.93,2.14,17.75,72.68
37.0,臺北市,2013/11/25,古亭,3.0,0.56,418.5032584269663,24.0,30.0,82.0,25.0,23.97,5.39,18.58,2.06,0.144,1.92,2.65,17.78,80.1
38.0,臺北市,2013/11/25,中山,2.5,0.71,418.5032584269663,18.9,22.0,101.0,33.0,36.46,10.15,26.3,2.196,0.228,1.97,1.96,18.65,75.41
39.0,臺北市,2013/11/25,大同,4.0,1.59,418.5032584269663,31.9011748757343,49.4518018018018,99.0,36.0,83.76,51.07,32.69,2.536,0.537,2.0,2.5826942355889724,21.828047898779936,73.93651898734177
40.0,臺北市,2013/11/25,萬華,2.9,0.59,418.5032584269663,22.3,27.0,77.0,25.0,29.85,6.29,23.56,2.1844153005464477,0.24773406193078323,1.9372586520947173,2.17,18.47,73.38
41.0,臺北市,2013/11/25,陽明,2.2,0.34,421.07,41.8,49.0,52.0,17.0,3.81,0.84,2.96,2.1844153005464477,0.24773406193078323,1.9372586520947173,2.5826942355889724,11.82,96.44
42.0,臺北市,2013/11/25,士林,2.5,0.45,418.5032584269663,31.8,41.0,84.0,22.0,15.97,3.23,12.75,2.1844153005464477,0.24773406193078323,1.9372586520947173,2.32,18.02,72.99
43.0,臺北市,2013/11/24,松山,3.5,0.69,433.35,30.4,57.0,51.0,41.0,39.38,8.71,30.67,2.361,0.285,2.08,1.32,23.01,65.15
44.0,臺北市,2013/11/24,古亭,3.2,0.63,418.5032584269663,29.8,51.0,58.0,38.0,30.73,6.32,24.42,2.123,0.214,1.91,1.36,23.02,68.7
45.0,臺北市,2013/11/24,中山,3.9,1.02,418.5032584269663,20.4,40.0,82.0,48.0,56.85,19.45,37.4,2.537,0.382,2.16,1.16,23.66,68.44
46.0,臺北市,2013/11/24,大同,5.3,1.61,418.5032584269663,31.9011748757343,49.4518018018018,75.0,43.0,75.89,38.59,37.3,2.773,0.568,2.21,2.5826942355889724,21.828047898779936,73.93651898734177
47.0,臺北市,2013/11/24,萬華,5.3,0.87,418.5032584269663,25.5,47.0,53.0,36.0,46.99,14.34,32.65,2.1844153005464477,0.24773406193078323,1.9372586520947173,0.96,23.25,68.85
48.0,臺北市,2013/11/24,陽明,3.0,0.28,404.73,54.6,75.0,30.0,25.0,7.61,1.5,6.12,2.1844153005464477,0.24773406193078323,1.9372586520947173,2.5826942355889724,17.68,84.73
49.0,臺北市,2013/11/24,士林,2.5,0.48,418.5032584269663,37.1,63.0,61.0,37.0,24.46,5.83,18.63,2.1844153005464477,0.24773406193078323,1.9372586520947173,1.54,22.72,71.26
50.0,臺北市,2013/11/23,松山,1.7,0.3,408.66,37.9,45.0,33.0,21.0,14.83,1.83,12.99,1.908,0.078,1.83,2.5,23.12,61.81
51.0,臺北市,2013/11/23,古亭,1.7,0.3,418.5032584269663,34.6,39.0,42.0,23.0,14.61,2.88,11.74,1.896,0.071,1.83,3.14,23.72,62.34
52.0,臺北市,2013/11/23,中山,1.8,0.52,418.5032584269663,26.1,31.0,69.0,32.0,29.93,6.26,23.68,2.057,0.178,1.88,2.54,24.21,62.17
53.0,臺北市,2013/11/23,大同,3.0,1.16,418.5032584269663,31.9011748757343,49.4518018018018,62.0,29.0,68.05,35.06,32.99,2.334,0.389,1.94,2.5826942355889724,21.828047898779936,73.93651898734177
54.0,臺北市,2013/11/23,萬華,1.8,0.42,418.5032584269663,26.7,32.0,36.0,23.0,29.22,6.19,23.04,2.1844153005464477,0.24773406193078323,1.9372586520947173,2.55,24.1,61.13
55.0,臺北市,2013/11/23,陽明,2.0,0.16,392.84,45.3,47.0,19.0,15.0,2.13,0.53,1.62,2.1844153005464477,0.24773406193078323,1.9372586520947173,2.5826942355889724,17.34,88.34
56.0,臺北市,2013/11/23,士林,0.6,0.23,418.5032584269663,42.3,47.0,51.0,24.0,10.2,2.09,8.11,2.1844153005464477,0.24773406193078323,1.9372586520947173,3.18,24.07,60.93
57.0,臺北市,2013/11/22,松山,3.0,0.48,416.65,20.8,33.0,28.0,23.0,35.7,9.51,26.17,2.067,0.194,1.87,2.22,19.7,77.7
