序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),臭氧8小時最大值 O3_Max_8_HR (ppb),懸浮微粒 PM 10  (μg/m 3 ),細懸浮微粒 PM 2.5  (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppmC),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),大氣溫度 AMB_TEMP (℃),相對濕度 RH (percent)
1.0,臺北市,2013/10/31,松山,2.1,0.36,411.67,29.2,30.0,39.0,26.0,22.33,3.16,19.16,1.927,0.143,1.78,2.28,22.59,76.85
2.0,臺北市,2013/10/31,古亭,1.8,0.32,413.8526344086021,33.1,39.0,46.0,26.0,18.23,3.69,14.55,1.933,0.077,1.86,3.09,23.22,77.47
3.0,臺北市,2013/10/31,中山,3.0,0.53,413.8526344086021,23.8,27.0,61.0,35.0,31.41,6.61,24.79,2.043,0.184,1.86,2.4,23.64,76.35
4.0,臺北市,2013/10/31,大同,3.6,1.19,413.8526344086021,40.209438103599645,58.41641204714099,64.70025728987993,42.0,69.19,35.98,33.2,2.616,0.691,1.93,2.878558394160584,24.782473684210522,71.9112149122807
5.0,臺北市,2013/10/31,萬華,2.5,0.38,413.8526344086021,26.4,30.0,43.0,26.0,26.63,4.72,21.91,2.0836513274336284,0.18992743362831857,1.8942654867256636,3.29,23.57,75.28
6.0,臺北市,2013/10/31,陽明,1.1,0.14,402.49,49.2,53.0,14.0,10.0,2.42,1.42,1.01,2.0836513274336284,0.18992743362831857,1.8942654867256636,2.878558394160584,17.3,99.59
7.0,臺北市,2013/10/31,士林,2.6,0.22,413.8526344086021,42.5,47.0,37.0,22.0,9.97,2.38,7.59,2.0836513274336284,0.18992743362831857,1.8942654867256636,3.3,23.64,72.54
8.0,臺北市,2013/10/30,松山,2.2,0.37,411.91,27.0,30.0,27.0,16.0,21.65,3.92,17.73,1.953,0.131,1.82,2.14,24.06,68.09
9.0,臺北市,2013/10/30,古亭,1.6,0.31,413.8526344086021,31.2,32.0,35.0,14.0,15.57,3.64,11.92,1.927,0.07,1.86,3.2,24.53,68.98
10.0,臺北市,2013/10/30,中山,2.3,0.57,413.8526344086021,20.8,26.0,46.0,24.0,33.14,9.65,23.48,2.061,0.197,1.86,2.3,24.94,69.07
11.0,臺北市,2013/10/30,大同,2.9,1.12,413.8526344086021,40.209438103599645,58.41641204714099,45.0,28.0,65.31,35.17,30.14,2.378,0.458,1.92,2.878558394160584,24.782473684210522,71.9112149122807
12.0,臺北市,2013/10/30,萬華,1.7,0.4,413.8526344086021,23.2,29.0,30.0,16.0,27.19,5.92,21.28,2.0836513274336284,0.18992743362831857,1.8942654867256636,3.19,24.92,67.79
13.0,臺北市,2013/10/30,陽明,1.3,0.12,396.37,42.2,43.0,12.0,10.0,2.54,1.39,1.16,2.0836513274336284,0.18992743362831857,1.8942654867256636,2.878558394160584,17.48,99.52
14.0,臺北市,2013/10/30,士林,1.9,0.21,413.8526344086021,38.6,42.0,24.0,17.0,8.0,1.75,6.25,2.0836513274336284,0.18992743362831857,1.8942654867256636,3.22,24.7,67.45
15.0,臺北市,2013/10/29,松山,3.0,0.44,418.36,25.6,41.0,32.0,20.0,26.81,4.68,22.13,2.035,0.171,1.87,1.97,23.18,67.13
16.0,臺北市,2013/10/29,古亭,1.4,0.35,413.8526344086021,33.4,36.0,37.0,18.0,16.69,2.93,13.76,1.963,0.093,1.87,2.69,24.22,66.01
17.0,臺北市,2013/10/29,中山,2.0,0.6,413.8526344086021,22.1,32.0,52.0,26.0,36.42,10.49,25.94,2.123,0.219,1.9,2.04,24.57,66.25
