序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),臭氧8小時最大值 O3_Max_8_HR (ppb),懸浮微粒 PM 10  (μg/m 3 ),細懸浮微粒 PM 2.5  (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppmC),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),大氣溫度 AMB_TEMP (℃),相對濕度 RH (percent)
1.0,臺北市,2011/01/31,松山,2.1,0.45,404.24,21.5,33.0,42.0,29.0,33.47,8.24,25.23,2.04,0.139,1.9,10.94,71.85
2.0,臺北市,2011/01/31,古亭,1.9,0.45,406.72078212290495,26.6,34.0,50.0,22.0,25.92,6.61,19.31,2.018,0.113,1.91,11.12,76.31
3.0,臺北市,2011/01/31,中山,2.8,0.62,406.72078212290495,18.7,31.0,48.0,35.0,39.33,11.67,27.66,2.141,0.205,1.94,11.3,69.95
4.0,臺北市,2011/01/31,大同,4.6,1.4,406.72078212290495,22.909830960854094,32.8448275862069,55.0,31.0,95.9,58.61,37.3,2.585,0.579,2.01,14.705244661921707,76.97407111111112
5.0,臺北市,2011/01/31,萬華,2.4,0.51,406.72078212290495,19.3,31.0,43.0,35.0,35.65,8.21,27.43,2.194511332728921,0.2639601087941977,1.931160471441523,11.15,71.33
6.0,臺北市,2011/01/31,陽明,1.6,0.18,394.66,42.0,43.0,15.0,11.0,2.54,0.61,1.89,2.194511332728921,0.2639601087941977,1.931160471441523,3.77,95.06
7.0,臺北市,2011/01/31,士林,1.5,0.31,406.72078212290495,37.1,43.0,31.0,20.0,12.13,2.45,9.67,2.194511332728921,0.2639601087941977,1.931160471441523,11.55,65.76
8.0,臺北市,2011/01/30,松山,6.3,0.66,410.31,25.5,35.0,76.0,62.0,28.24,5.51,22.73,2.087,0.117,1.97,10.96,76.66
9.0,臺北市,2011/01/30,古亭,6.1,0.7,406.72078212290495,26.4,34.0,82.0,58.0,26.43,5.0,21.43,2.09,0.125,1.97,11.1,81.81
10.0,臺北市,2011/01/30,中山,6.4,0.78,406.72078212290495,22.4,32.0,85.0,65.0,32.68,7.58,25.11,2.169,0.169,2.0,11.4,73.54
11.0,臺北市,2011/01/30,大同,6.9,1.22,406.72078212290495,22.909830960854094,32.8448275862069,85.0,60.0,69.43,36.12,33.3,2.423,0.366,2.06,14.705244661921707,76.97407111111112
12.0,臺北市,2011/01/30,萬華,6.5,0.69,406.72078212290495,22.5,30.0,73.0,54.0,29.87,5.66,24.21,2.194511332728921,0.2639601087941977,1.931160471441523,11.23,75.12
13.0,臺北市,2011/01/30,陽明,5.6,0.46,401.23,41.4,45.0,32.0,27.0,5.32,1.51,3.81,2.194511332728921,0.2639601087941977,1.931160471441523,4.12,95.25
14.0,臺北市,2011/01/30,士林,6.4,0.57,406.72078212290495,39.0,44.0,47.0,46.0,11.2,1.31,9.88,2.194511332728921,0.2639601087941977,1.931160471441523,11.73,67.59
15.0,臺北市,2011/01/29,松山,2.3,0.48,405.18,23.6,31.0,32.0,27.0,29.22,7.37,21.85,2.041,0.123,1.92,11.64,78.36
16.0,臺北市,2011/01/29,古亭,1.8,0.54,406.72078212290495,22.2,28.0,38.0,23.0,28.73,6.27,22.47,2.061,0.123,1.94,11.97,81.93
17.0,臺北市,2011/01/29,中山,1.7,0.62,406.72078212290495,20.2,27.0,37.0,30.0,32.23,9.52,22.71,2.112,0.17,1.94,12.37,73.13
18.0,臺北市,2011/01/29,大同,2.7,1.23,406.72078212290495,22.909830960854094,32.8448275862069,40.0,27.0,73.48,42.39,31.09,2.427,0.425,2.0,14.705244661921707,76.97407111111112
19.0,臺北市,2011/01/29,萬華,1.9,0.54,406.72078212290495,17.8,23.0,30.0,25.0,32.89,7.16,25.72,2.194511332728921,0.2639601087941977,1.931160471441523,12.17,75.43
20.0,臺北市,2011/01/29,陽明,2.2,0.29,395.83,39.5,43.0,12.0,10.0,3.41,1.59,1.82,2.194511332728921,0.2639601087941977,1.931160471441523,5.04,95.78
21.0,臺北市,2011/01/29,士林,1.8,0.4,406.72078212290495,35.8,37.0,18.0,20.0,10.33,1.36,8.97,2.194511332728921,0.2639601087941977,1.931160471441523,12.4,73.08
22.0,臺北市,2011/01/28,松山,1.6,0.5,405.88,15.9,20.0,18.0,17.0,32.61,7.04,25.57,2.145,0.195,1.95,15.6,83.62
23.0,臺北市,2011/01/28,古亭,0.9,0.72,406.72078212290495,12.3,17.0,26.0,8.0,46.91,15.54,31.37,2.242,0.264,1.98,15.96,86.76
24.0,臺北市,2011/01/28,中山,2.3,0.83,406.72078212290495,8.0,10.0,20.0,21.0,53.46,19.34,34.11,2.371,0.342,2.03,16.34,80.14
25.0,臺北市,2011/01/28,大同,3.3,1.8,406.72078212290495,22.909830960854094,32.8448275862069,30.0,18.0,100.92,61.57,39.34,2.892,0.779,2.11,14.705244661921707,76.97407111111112
26.0,臺北市,2011/01/28,萬華,1.3,0.76,406.72078212290495,9.0,11.0,21.0,13.0,48.33,13.52,34.81,2.194511332728921,0.2639601087941977,1.931160471441523,16.1,82.59
27.0,臺北市,2011/01/28,陽明,1.1,0.13,389.17,39.6,40.0,5.0,2.0,1.96,0.84,1.12,2.194511332728921,0.2639601087941977,1.931160471441523,9.92,96.73
28.0,臺北市,2011/01/28,士林,0.8,0.34,406.72078212290495,25.5,34.0,13.0,9.0,22.08,6.0,16.08,2.194511332728921,0.2639601087941977,1.931160471441523,16.36,96.0
29.0,臺北市,2011/01/27,松山,2.3,0.52,404.76,18.0,30.0,19.0,17.0,40.61,12.42,28.16,2.144,0.175,1.97,16.14,87.67
30.0,臺北市,2011/01/27,古亭,1.7,0.65,406.72078212290495,19.1,30.0,27.0,12.0,38.92,12.54,26.38,2.132,0.197,1.94,16.41,91.3
31.0,臺北市,2011/01/27,中山,2.2,0.77,406.72078212290495,16.3,27.0,20.0,21.0,43.47,15.81,27.66,2.23,0.268,1.96,16.91,82.81
32.0,臺北市,2011/01/27,大同,3.8,2.27,406.72078212290495,22.909830960854094,32.8448275862069,32.0,21.0,121.46,82.44,39.02,2.978,0.904,2.07,14.705244661921707,76.97407111111112
33.0,臺北市,2011/01/27,萬華,2.4,0.66,406.72078212290495,17.4,27.0,18.0,15.0,38.47,11.8,26.67,2.194511332728921,0.2639601087941977,1.931160471441523,16.71,84.95
