序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),臭氧8小時最大值 O3_Max_8_HR (ppb),懸浮微粒 PM 10  (μg/m 3 ),細懸浮微粒 PM 2.5  (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppmC),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),大氣溫度 AMB_TEMP (℃),相對濕度 RH (percent)
1.0,臺北市,2012/10/31,松山,1.4,0.44,411.18,35.1,43.0,22.0,20.0,21.82,3.18,18.64,2.029,0.14,1.89,19.59,85.85
2.0,臺北市,2012/10/31,古亭,1.9,0.54,407.9491935483871,28.5,36.0,28.0,19.0,30.06,6.78,23.28,2.05,0.161,1.89,19.87,90.87
3.0,臺北市,2012/10/31,中山,1.0,0.75,407.9491935483871,23.6,35.0,37.0,25.0,41.25,12.1,29.15,2.25,0.233,2.02,20.56,86.22
4.0,臺北市,2012/10/31,大同,3.2,1.87,407.9491935483871,41.71091954022989,61.686784140969166,37.0,24.0,93.33,52.93,40.4,2.765,0.674,2.09,24.55439186200796,70.16941618752764
5.0,臺北市,2012/10/31,萬華,4.7,0.59,407.9491935483871,26.9,35.0,28.0,20.0,28.48,4.12,24.36,2.1447292418772563,0.21067057761732852,1.934476534296029,20.51,85.79
6.0,臺北市,2012/10/31,陽明,0.9,0.24,405.86,49.3,53.0,8.0,7.0,2.86,1.16,1.7,2.1447292418772563,0.21067057761732852,1.934476534296029,14.01,100.0
7.0,臺北市,2012/10/31,士林,1.3,0.48,407.9491935483871,30.3,45.0,22.0,16.0,24.29,4.16,20.14,2.1447292418772563,0.21067057761732852,1.934476534296029,20.05,79.67
8.0,臺北市,2012/10/30,松山,2.5,0.5,410.28,33.0,37.0,51.0,30.0,23.84,3.48,20.36,2.045,0.15,1.9,22.7,78.89
9.0,臺北市,2012/10/30,古亭,2.0,0.51,407.9491935483871,32.9,43.0,55.0,31.0,22.56,3.51,19.04,1.98,0.128,1.85,23.25,81.5
10.0,臺北市,2012/10/30,中山,2.4,0.75,407.9491935483871,26.0,35.0,67.0,40.0,39.0,10.2,28.81,2.165,0.196,1.97,23.81,78.17
11.0,臺北市,2012/10/30,大同,3.3,1.67,407.9491935483871,41.71091954022989,61.686784140969166,58.0,38.0,77.27,41.19,36.08,2.592,0.565,2.03,24.55439186200796,70.16941618752764
12.0,臺北市,2012/10/30,萬華,2.5,0.52,407.9491935483871,28.7,36.0,48.0,34.0,28.83,5.1,23.72,2.1447292418772563,0.21067057761732852,1.934476534296029,23.63,78.3
13.0,臺北市,2012/10/30,陽明,1.0,0.23,401.81,47.9,49.0,14.0,12.0,1.76,1.3,0.43,2.1447292418772563,0.21067057761732852,1.934476534296029,16.41,100.0
14.0,臺北市,2012/10/30,士林,2.3,0.4,407.9491935483871,38.0,47.0,48.0,31.0,12.9,1.12,11.77,2.1447292418772563,0.21067057761732852,1.934476534296029,23.44,71.39
15.0,臺北市,2012/10/29,松山,2.1,0.51,408.76,43.7,59.0,77.0,47.0,19.94,2.81,17.12,2.031,0.144,1.89,23.5,76.82
16.0,臺北市,2012/10/29,古亭,1.9,0.5,407.9491935483871,44.3,59.0,77.0,46.0,16.73,2.42,14.31,1.967,0.111,1.86,24.1,79.0
17.0,臺北市,2012/10/29,中山,2.8,0.71,407.9491935483871,37.1,53.0,82.0,56.0,30.62,5.12,25.5,2.125,0.183,1.94,24.57,75.91
18.0,臺北市,2012/10/29,大同,3.6,1.28,407.9491935483871,41.71091954022989,61.686784140969166,88.0,55.0,61.46,27.63,33.83,2.434,0.421,2.01,24.55439186200796,70.16941618752764
19.0,臺北市,2012/10/29,萬華,2.0,0.51,407.9491935483871,40.1,55.0,72.0,51.0,22.92,2.95,19.96,2.1447292418772563,0.21067057761732852,1.934476534296029,24.41,76.12
20.0,臺北市,2012/10/29,陽明,1.7,0.29,404.9,55.9,66.0,14.0,10.0,3.01,0.51,2.51,2.1447292418772563,0.21067057761732852,1.934476534296029,16.81,100.0
21.0,臺北市,2012/10/29,士林,2.7,0.35,407.9491935483871,51.9,65.0,62.36860215053763,47.0,8.29,0.82,7.47,2.1447292418772563,0.21067057761732852,1.934476534296029,24.54,67.13
22.0,臺北市,2012/10/28,松山,1.4,0.36,401.83,26.0,41.0,37.0,21.0,15.98,2.99,12.99,1.949,0.079,1.87,24.55,81.85
23.0,臺北市,2012/10/28,古亭,1.3,0.37,407.9491935483871,24.2,37.0,46.0,18.0,15.64,3.24,12.4,1.916,0.086,1.83,25.27,83.09
24.0,臺北市,2012/10/28,中山,2.0,0.51,407.9491935483871,20.7,32.0,46.0,30.0,23.54,6.44,17.1,2.1447292418772563,0.21067057761732852,1.934476534296029,25.64,81.1
25.0,臺北市,2012/10/28,大同,2.6,0.86,407.9491935483871,41.71091954022989,61.686784140969166,42.0,25.0,43.95,20.83,23.12,2.229,0.247,1.98,24.55439186200796,70.16941618752764
26.0,臺北市,2012/10/28,萬華,2.0,0.38,407.9491935483871,20.6,31.0,35.0,24.0,21.6,4.55,17.06,2.1447292418772563,0.21067057761732852,1.934476534296029,25.5,81.0
27.0,臺北市,2012/10/28,陽明,1.5,0.22,401.65,36.8,55.0,7.0,5.0,2.68,1.32,1.36,2.1447292418772563,0.21067057761732852,1.934476534296029,18.62,99.92
28.0,臺北市,2012/10/28,士林,1.2,0.24,407.9491935483871,31.8,49.0,62.36860215053763,19.0,6.16,1.14,5.01,2.1447292418772563,0.21067057761732852,1.934476534296029,25.68,71.13
29.0,臺北市,2012/10/27,松山,1.7,0.43,405.76,15.5,27.0,32.0,17.0,23.6,6.69,16.9,2.052,0.164,1.89,26.7,68.75
30.0,臺北市,2012/10/27,古亭,1.8,0.48,407.9491935483871,17.4,29.0,42.0,17.0,25.6,7.22,18.37,2.071,0.167,1.91,27.45,69.63
31.0,臺北市,2012/10/27,中山,1.8,0.63,407.9491935483871,15.1,28.0,42.0,26.0,33.28,9.93,23.35,2.1447292418772563,0.21067057761732852,1.934476534296029,28.01,67.11
32.0,臺北市,2012/10/27,大同,3.2,1.54,407.9491935483871,41.71091954022989,61.686784140969166,43.0,26.0,79.05,46.85,32.2,2.656,0.558,2.1,24.55439186200796,70.16941618752764
33.0,臺北市,2012/10/27,萬華,2.0,0.59,407.9491935483871,16.1,35.0,33.0,22.0,35.06,9.82,25.24,2.1447292418772563,0.21067057761732852,1.934476534296029,28.03,65.94
34.0,臺北市,2012/10/27,陽明,2.5,0.25,403.98,50.3,65.0,25.0,22.0,4.77,1.03,3.75,2.1447292418772563,0.21067057761732852,1.934476534296029,20.56,91.64
35.0,臺北市,2012/10/27,士林,1.6,0.31,407.9491935483871,25.8,43.0,31.0,16.0,15.56,2.86,12.7,2.1447292418772563,0.21067057761732852,1.934476534296029,27.56,62.97
36.0,臺北市,2012/10/26,松山,1.1,0.33,398.54,30.6,38.0,25.0,13.0,14.63,3.27,11.37,1.907,0.085,1.82,26.33,65.64
37.0,臺北市,2012/10/26,古亭,1.8,0.35,407.9491935483871,28.8,35.0,35.0,14.0,15.9,3.92,11.98,1.903,0.083,1.82,26.96,68.55
38.0,臺北市,2012/10/26,中山,2.2,0.6,407.9491935483871,22.5,33.0,41.0,24.0,28.89,9.72,19.16,2.092,0.152,1.94,27.43,66.12
39.0,臺北市,2012/10/26,大同,2.0,1.25,407.9491935483871,41.71091954022989,61.686784140969166,40.0,22.0,64.24,37.79,26.45,2.415,0.429,1.99,24.55439186200796,70.16941618752764
40.0,臺北市,2012/10/26,萬華,1.5,0.44,407.9491935483871,23.2,34.0,31.0,16.0,25.65,7.88,17.78,2.1447292418772563,0.21067057761732852,1.934476534296029,27.3,66.19
41.0,臺北市,2012/10/26,陽明,1.9,0.17,398.67,33.9,38.0,8.0,7.0,18.483438045375216,3.920017452006981,14.560475567190228,2.1447292418772563,0.21067057761732852,1.934476534296029,18.7,98.22
42.0,臺北市,2012/10/26,士林,1.6,0.25,407.9491935483871,32.3,40.0,27.0,13.0,10.89,3.05,7.84,2.1447292418772563,0.21067057761732852,1.934476534296029,27.0,61.72
43.0,臺北市,2012/10/25,松山,1.0,0.44,403.41,35.7,43.0,32.0,19.0,17.93,2.98,14.93,2.0,0.124,1.88,25.52,65.95
44.0,臺北市,2012/10/25,古亭,1.3,0.41,407.9491935483871,36.3,42.0,39.0,17.0,16.55,3.45,13.1,1.936,0.093,1.84,25.94,69.73
45.0,臺北市,2012/10/25,中山,0.8,0.6,407.9491935483871,31.2,37.0,43.0,27.0,26.74,5.48,21.25,2.108,0.159,1.95,26.54,66.2
46.0,臺北市,2012/10/25,大同,2.0,1.36,407.9491935483871,41.71091954022989,61.686784140969166,43.0,22.0,63.64,31.76,31.88,2.483,0.467,2.02,24.55439186200796,70.16941618752764
47.0,臺北市,2012/10/25,萬華,1.1,0.45,407.9491935483871,31.2,37.0,33.0,19.0,23.97,4.41,19.56,2.1447292418772563,0.21067057761732852,1.934476534296029,26.32,66.75
48.0,臺北市,2012/10/25,陽明,1.4,0.22,400.45,44.3,47.0,16.0,12.0,2.53,1.06,1.47,2.1447292418772563,0.21067057761732852,1.934476534296029,18.05,97.28
49.0,臺北市,2012/10/25,士林,0.5,0.28,407.9491935483871,44.3,46.0,31.0,16.0,8.71,2.37,6.32,2.1447292418772563,0.21067057761732852,1.934476534296029,26.25,61.02
50.0,臺北市,2012/10/24,松山,2.5,0.51,408.8,34.4,41.0,46.0,21.0,21.66,3.39,18.26,2.061,0.164,1.9,23.6,70.09
51.0,臺北市,2012/10/24,古亭,1.6,0.49,407.9491935483871,36.6,40.0,55.0,22.0,19.44,3.77,15.68,1.973,0.119,1.85,24.39,72.4
52.0,臺北市,2012/10/24,中山,0.9,0.69,407.9491935483871,30.9,35.0,49.0,34.0,30.74,6.96,23.77,2.176,0.19,1.99,24.92,68.49
53.0,臺北市,2012/10/24,大同,2.1,1.23,407.9491935483871,41.71091954022989,61.686784140969166,56.0,29.0,56.69,25.6,31.09,2.45,0.416,2.03,24.55439186200796,70.16941618752764
54.0,臺北市,2012/10/24,萬華,2.1,0.49,407.9491935483871,33.3,38.0,46.0,26.0,24.5,4.09,20.41,2.1447292418772563,0.21067057761732852,1.934476534296029,24.6,69.43
55.0,臺北市,2012/10/24,陽明,2.6,0.27,403.84,48.1,51.0,20.0,15.0,3.35,1.24,2.12,2.1447292418772563,0.21067057761732852,1.934476534296029,16.17,99.98
56.0,臺北市,2012/10/24,士林,2.5,0.33,407.9491935483871,45.6,47.0,50.0,21.0,8.94,1.2,7.74,2.1447292418772563,0.21067057761732852,1.934476534296029,24.57,63.12
57.0,臺北市,2012/10/23,松山,2.2,0.56,420.96,21.2,31.0,38.0,23.0,28.52,5.61,22.91,2.174,0.208,1.97,21.73,82.18
58.0,臺北市,2012/10/23,古亭,1.9,0.56,407.9491935483871,24.0,35.0,42.0,22.0,24.32,6.57,17.75,2.04,0.153,1.89,22.32,84.25
59.0,臺北市,2012/10/23,中山,2.3,0.85,407.9491935483871,17.1,28.0,46.0,36.0,41.25,12.43,28.82,2.365,0.267,2.1,23.3,78.58
60.0,臺北市,2012/10/23,大同,2.8,1.53,407.9491935483871,41.71091954022989,61.686784140969166,49.0,32.0,68.67,34.87,33.8,2.723,0.589,2.13,24.55439186200796,70.16941618752764
61.0,臺北市,2012/10/23,萬華,1.9,0.58,407.9491935483871,20.5,32.0,42.0,28.0,28.77,5.94,22.82,2.1447292418772563,0.21067057761732852,1.934476534296029,22.97,79.17
62.0,臺北市,2012/10/23,陽明,1.0,0.25,402.39,44.8,50.0,13.0,8.0,2.05,0.65,1.38,2.1447292418772563,0.21067057761732852,1.934476534296029,15.99,99.33
63.0,臺北市,2012/10/23,士林,1.9,0.47,407.9491935483871,29.3,45.0,52.0,23.0,17.04,4.01,13.03,2.1447292418772563,0.21067057761732852,1.934476534296029,22.78,71.65
64.0,臺北市,2012/10/22,松山,3.4,0.68,427.12,44.4,94.0,61.0,37.0,33.74,5.21,28.52,2.309,0.285,2.02,24.9,67.22
65.0,臺北市,2012/10/22,古亭,4.4,0.79,407.9491935483871,38.4,83.0,72.0,43.0,38.16,7.85,30.31,2.275,0.306,1.97,25.14,69.7
66.0,臺北市,2012/10/22,中山,3.4,1.04,407.9491935483871,32.9,68.0,61.0,53.0,52.22,10.49,41.73,2.546,0.383,2.16,25.98,65.66
67.0,臺北市,2012/10/22,大同,3.9,1.77,407.9491935483871,41.71091954022989,61.686784140969166,71.0,47.0,80.2,33.11,47.09,2.843,0.628,2.22,24.55439186200796,70.16941618752764
68.0,臺北市,2012/10/22,萬華,3.9,0.82,407.9491935483871,38.5,77.0,64.0,50.0,39.17,5.05,34.12,2.1447292418772563,0.21067057761732852,1.934476534296029,25.78,64.44
69.0,臺北市,2012/10/22,陽明,1.9,0.24,406.48,55.5,90.0,29.0,24.0,4.94,0.95,3.99,2.1447292418772563,0.21067057761732852,1.934476534296029,18.79,91.36
70.0,臺北市,2012/10/22,士林,2.4,0.63,407.9491935483871,31.4,72.0,66.0,41.0,27.66,4.45,23.2,2.1447292418772563,0.21067057761732852,1.934476534296029,25.12,66.55
71.0,臺北市,2012/10/21,松山,1.1,0.31,403.0,28.1,44.0,26.0,13.0,16.24,2.85,13.39,1.982,0.098,1.88,24.42,59.76
72.0,臺北市,2012/10/21,古亭,1.5,0.32,407.9491935483871,28.3,39.0,37.0,13.0,18.31,4.17,14.14,1.95,0.099,1.85,25.53,60.62
73.0,臺北市,2012/10/21,中山,1.0,0.4,407.9491935483871,25.6,38.0,25.0,21.0,23.17,6.1,17.07,2.088,0.129,1.96,25.93,58.1
74.0,臺北市,2012/10/21,大同,2.2,1.12,407.9491935483871,41.71091954022989,61.686784140969166,38.0,18.0,63.36,34.05,29.31,2.404,0.383,2.02,24.55439186200796,70.16941618752764
75.0,臺北市,2012/10/21,萬華,1.6,0.37,407.9491935483871,23.0,36.0,31.0,17.0,24.67,5.32,19.35,2.1447292418772563,0.21067057761732852,1.934476534296029,25.84,57.96
76.0,臺北市,2012/10/21,陽明,1.6,0.11,396.19,37.8,41.0,15.0,9.0,1.54,0.89,0.66,2.1447292418772563,0.21067057761732852,1.934476534296029,18.09,81.92
77.0,臺北市,2012/10/21,士林,0.5,0.17,407.9491935483871,33.8,38.0,27.0,13.0,10.23,2.06,8.17,2.1447292418772563,0.21067057761732852,1.934476534296029,25.59,53.9
78.0,臺北市,2012/10/20,松山,1.6,0.35,404.94,28.5,44.0,30.0,18.0,19.71,3.51,16.21,1.993,0.125,1.87,23.32,57.68
79.0,臺北市,2012/10/20,古亭,1.8,0.34,407.9491935483871,31.9,43.0,38.0,15.0,19.1,4.32,14.79,1.954,0.098,1.86,24.63,57.87
80.0,臺北市,2012/10/20,中山,1.8,0.48,407.9491935483871,25.6,37.0,33.0,25.0,28.73,6.63,22.1,2.124,0.156,1.97,24.94,55.57
81.0,臺北市,2012/10/20,大同,2.3,1.2,407.9491935483871,41.71091954022989,61.686784140969166,40.0,21.0,66.46,33.26,33.2,2.452,0.418,2.03,24.55439186200796,70.16941618752764
82.0,臺北市,2012/10/20,萬華,2.2,0.37,407.9491935483871,25.3,38.0,32.0,19.0,26.98,5.35,21.63,2.1447292418772563,0.21067057761732852,1.934476534296029,24.72,55.44
83.0,臺北市,2012/10/20,陽明,1.8,0.13,396.94,41.2,43.0,15.0,10.0,2.71,1.33,1.38,2.1447292418772563,0.21067057761732852,1.934476534296029,16.83,80.95
84.0,臺北市,2012/10/20,士林,0.5,0.2,407.9491935483871,38.2,43.0,30.0,14.0,8.56,2.16,6.38,2.1447292418772563,0.21067057761732852,1.934476534296029,24.73,51.21
85.0,臺北市,2012/10/19,松山,1.3,0.41,406.69,27.3,39.0,37.0,19.0,24.26,5.18,19.08,2.036,0.167,1.87,22.34,58.23
86.0,臺北市,2012/10/19,古亭,1.6,0.34,407.9491935483871,33.2,40.0,43.0,20.0,19.54,4.79,14.75,1.947,0.097,1.85,23.45,60.15
87.0,臺北市,2012/10/19,中山,2.4,0.62,407.9491935483871,21.1,29.0,42.0,25.0,37.55,11.2,26.35,2.189,0.209,1.98,23.6,57.64
88.0,臺北市,2012/10/19,大同,3.0,1.07,407.9491935483871,41.71091954022989,61.686784140969166,49.0,22.0,65.78,35.35,30.43,2.433,0.404,2.03,24.55439186200796,70.16941618752764
89.0,臺北市,2012/10/19,萬華,2.1,0.42,407.9491935483871,24.6,34.0,40.0,19.0,29.89,7.59,22.3,2.1447292418772563,0.21067057761732852,1.934476534296029,23.39,57.1
90.0,臺北市,2012/10/19,陽明,2.0,0.15,398.11,41.9,44.0,18.0,10.0,1.73,0.64,1.06,2.1447292418772563,0.21067057761732852,1.934476534296029,14.67,88.83
91.0,臺北市,2012/10/19,士林,1.1,0.22,407.9491935483871,36.9,40.0,37.0,16.0,9.67,1.92,7.74,2.1447292418772563,0.21067057761732852,1.934476534296029,23.08,53.87
