序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),臭氧8小時最大值 O3_Max_8_HR (ppb),懸浮微粒 PM 10  (μg/m 3 ),細懸浮微粒 PM 2.5  (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppmC),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),大氣溫度 AMB_TEMP (℃),相對濕度 RH (percent)
1.0,臺北市,2012/04/30,松山,1.1,0.75,424.59,12.3,28.0,40.0,19.0,44.64,18.66,25.97,2.396,0.364,2.03,27.82,67.32
2.0,臺北市,2012/04/30,古亭,2.3,0.7,417.6573033707865,12.5,26.0,30.0,16.0,37.59,14.4,23.19,2.217,0.309,1.91,28.38,70.38
3.0,臺北市,2012/04/30,中山,4.1,1.21,417.6573033707865,8.8,20.0,29.0,24.0,66.91,35.79,31.11,2.546,0.481,2.07,28.95,66.48
4.0,臺北市,2012/04/30,大同,4.7,2.33,417.6573033707865,30.45006890215893,46.518400726942296,40.0,25.0,91.26,59.94,31.32,3.196,0.902,2.29,24.212208982584787,77.11041704857928
5.0,臺北市,2012/04/30,萬華,2.5,0.81,417.6573033707865,11.5,28.0,25.0,17.0,41.65,16.5,25.14,2.213425589836661,0.26472323049001817,1.9492105263157893,28.53,67.91
6.0,臺北市,2012/04/30,陽明,2.3,0.12,394.47,20.7,26.0,9.0,6.0,4.64,0.97,3.66,2.213425589836661,0.26472323049001817,1.9492105263157893,22.4,85.3
7.0,臺北市,2012/04/30,士林,1.9,0.59,417.6573033707865,13.0,26.0,40.0,13.0,31.13,16.04,15.08,2.213425589836661,0.26472323049001817,1.9492105263157893,28.29,64.35
8.0,臺北市,2012/04/29,松山,5.0,0.84,436.47,12.5,24.0,27.0,20.0,47.33,17.67,29.66,2.597,0.387,2.21,24.75,75.55
9.0,臺北市,2012/04/29,古亭,4.2,0.71,417.6573033707865,13.3,24.0,28.0,17.0,38.43,11.11,27.32,2.226,0.258,1.97,25.27,78.34
10.0,臺北市,2012/04/29,中山,4.5,1.0,417.6573033707865,10.3,18.0,35.0,26.0,57.82,24.59,33.23,2.428,0.363,2.07,25.57,74.26
11.0,臺北市,2012/04/29,大同,4.9,1.88,417.6573033707865,30.45006890215893,46.518400726942296,45.0,26.0,90.3,54.37,35.94,2.927,0.662,2.27,24.212208982584787,77.11041704857928
12.0,臺北市,2012/04/29,萬華,3.5374551971326165,0.5148368087035358,417.6573033707865,30.45006890215893,16.0,53.460679177837356,29.41629364368845,23.171028545536927,6.233167195287722,16.935917535115543,2.213425589836661,0.26472323049001817,1.9492105263157893,24.212208982584787,77.11041704857928
13.0,臺北市,2012/04/29,陽明,0.9,0.13,395.12,38.6,43.0,9.0,5.0,3.69,0.93,2.76,2.213425589836661,0.26472323049001817,1.9492105263157893,20.36,85.37
14.0,臺北市,2012/04/29,士林,2.9,0.65,417.6573033707865,15.6,28.0,43.0,14.0,31.11,7.29,23.82,2.213425589836661,0.26472323049001817,1.9492105263157893,24.43,73.3
15.0,臺北市,2012/04/28,松山,3.8,0.96,436.96,14.4,38.0,39.0,29.0,53.96,16.43,37.53,2.547,0.382,2.17,22.96,83.55
16.0,臺北市,2012/04/28,古亭,2.5,1.07,417.6573033707865,17.4,41.0,41.0,29.0,56.15,17.98,38.17,2.527,0.412,2.12,23.83,86.7
17.0,臺北市,2012/04/28,中山,3.1,1.28,417.6573033707865,13.5,33.0,35.0,35.0,76.79,31.42,45.38,2.639,0.478,2.16,24.04,82.41
18.0,臺北市,2012/04/28,大同,3.5,2.15,417.6573033707865,30.45006890215893,46.518400726942296,54.0,35.0,108.68,60.35,48.33,3.154,0.809,2.35,24.212208982584787,77.11041704857928
19.0,臺北市,2012/04/28,萬華,3.5374551971326165,0.5148368087035358,417.6573033707865,30.45006890215893,7.0,53.460679177837356,29.41629364368845,23.171028545536927,6.233167195287722,16.935917535115543,2.213425589836661,0.26472323049001817,1.9492105263157893,24.212208982584787,77.11041704857928
20.0,臺北市,2012/04/28,陽明,1.2,0.21,396.64,53.5,62.0,11.0,8.0,3.68,0.87,2.81,2.213425589836661,0.26472323049001817,1.9492105263157893,18.5,92.53
21.0,臺北市,2012/04/28,士林,2.3,0.73,417.6573033707865,19.4,41.0,42.0,19.0,35.86,6.15,29.71,2.213425589836661,0.26472323049001817,1.9492105263157893,23.25,78.9
22.0,臺北市,2012/04/27,松山,3.1,1.17,435.91,17.7,42.0,57.0,33.0,75.16,33.44,41.71,2.61,0.516,2.1,20.54,83.98
23.0,臺北市,2012/04/27,古亭,3.2,1.44,417.6573033707865,15.7,37.0,53.0,36.0,85.08,38.57,46.5,2.78,0.665,2.12,21.04,88.48
24.0,臺北市,2012/04/27,中山,3.4,1.45,417.6573033707865,17.3,43.0,52.0,39.0,92.98,47.34,45.64,2.697,0.589,2.11,21.17,84.08
25.0,臺北市,2012/04/27,大同,4.8,2.68,417.6573033707865,30.45006890215893,46.518400726942296,60.0,42.0,136.36,86.59,49.77,3.46,1.097,2.36,24.212208982584787,77.11041704857928
26.0,臺北市,2012/04/27,萬華,3.7,1.42,417.6573033707865,15.4,38.0,44.0,34.0,84.93,37.71,47.19,2.213425589836661,0.26472323049001817,1.9492105263157893,21.02,84.68
27.0,臺北市,2012/04/27,陽明,1.3,0.23,402.26,53.7,63.0,12.0,10.0,4.04,1.95,2.07,2.213425589836661,0.26472323049001817,1.9492105263157893,16.29,98.92
28.0,臺北市,2012/04/27,士林,2.1,0.85,417.6573033707865,22.2,43.0,60.0,24.0,47.0,14.72,32.28,2.213425589836661,0.26472323049001817,1.9492105263157893,20.61,79.48
29.0,臺北市,2012/04/26,松山,0.4,0.56,412.14,38.1,44.0,38.0,26.0,24.34,2.86,21.47,2.041,0.134,1.91,19.17,82.26
30.0,臺北市,2012/04/26,古亭,1.3,0.58,417.6573033707865,36.8,43.0,41.0,26.0,22.8,3.32,19.48,1.985,0.114,1.87,19.55,87.63
31.0,臺北市,2012/04/26,中山,1.8,0.76,417.6573033707865,27.9,35.0,47.0,35.0,38.23,7.36,30.86,2.096,0.197,1.9,19.94,83.44
32.0,臺北市,2012/04/26,大同,2.6,1.47,417.6573033707865,30.45006890215893,46.518400726942296,51.0,32.0,79.73,39.04,40.69,2.515,0.508,2.01,24.212208982584787,77.11041704857928
33.0,臺北市,2012/04/26,萬華,0.8,0.63,417.6573033707865,29.1,37.0,34.0,27.0,33.13,4.45,28.69,2.213425589836661,0.26472323049001817,1.9492105263157893,19.9,82.31
34.0,臺北市,2012/04/26,陽明,1.4,0.34,393.06,55.5,63.0,25.0,16.0,3.14,1.43,1.71,2.213425589836661,0.26472323049001817,1.9492105263157893,13.68,99.99
35.0,臺北市,2012/04/26,士林,2.3,0.44,417.6573033707865,43.3,54.0,52.0,22.0,13.81,1.47,12.34,2.213425589836661,0.26472323049001817,1.9492105263157893,19.41,77.81
36.0,臺北市,2012/04/25,松山,2.2,0.74,428.54,11.8,27.0,37.0,22.0,41.22,16.46,24.76,2.453,0.41,2.04,27.0,73.73
37.0,臺北市,2012/04/25,古亭,2.4,0.67,417.6573033707865,13.1,26.0,34.0,20.0,35.39,14.15,21.24,2.199,0.316,1.88,27.48,77.05
38.0,臺北市,2012/04/25,中山,2.4,1.13,417.6573033707865,9.0,19.0,33.0,27.0,58.78,31.92,26.86,2.409,0.458,1.95,27.9,72.74
39.0,臺北市,2012/04/25,大同,3.3,1.74,417.6573033707865,30.45006890215893,46.518400726942296,43.0,26.0,68.48,40.36,28.12,2.703,0.656,2.05,24.212208982584787,77.11041704857928
40.0,臺北市,2012/04/25,萬華,2.7,0.65,417.6573033707865,12.6,26.0,31.0,18.0,30.18,9.75,20.42,2.213425589836661,0.26472323049001817,1.9492105263157893,27.59,73.57
41.0,臺北市,2012/04/25,陽明,1.5,0.11,378.79,24.4,29.0,12.0,9.0,5.84,1.54,4.3,2.213425589836661,0.26472323049001817,1.9492105263157893,21.49,90.95
42.0,臺北市,2012/04/25,士林,2.2,0.47,417.6573033707865,13.8,27.0,49.0,16.0,24.68,7.39,17.28,2.213425589836661,0.26472323049001817,1.9492105263157893,27.02,71.31
43.0,臺北市,2012/04/24,松山,3.6,1.0,447.95,17.4,43.0,44.0,33.0,54.07,16.38,37.69,2.651,0.434,2.22,25.57,76.6
44.0,臺北市,2012/04/24,古亭,2.8,0.94,417.6573033707865,23.8,51.0,43.0,30.0,43.68,11.56,32.12,2.329,0.341,1.99,26.12,79.3
