序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),臭氧8小時最大值 O3_Max_8_HR (ppb),懸浮微粒 PM 10  (μg/m 3 ),細懸浮微粒 PM 2.5  (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppmC),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),大氣溫度 AMB_TEMP (℃),相對濕度 RH (percent)
1.0,臺北市,2012/07/31,松山,0.5,0.14,391.85,12.3,14.0,27.0,11.0,8.84,3.97,4.87,1.753,0.035,1.72,27.66,83.59
2.0,臺北市,2012/07/31,古亭,1.6,0.22,404.30928961748634,10.1,11.0,32.0,10.0,14.03,5.8,8.23,1.754,0.058,1.7,28.13,90.55
3.0,臺北市,2012/07/31,中山,0.8,0.28,404.30928961748634,10.4,11.0,28.0,20.0,15.52,9.09,6.43,1.824,0.086,1.74,28.76,81.83
4.0,臺北市,2012/07/31,大同,1.6,0.52,404.30928961748634,21.590255731922397,37.580263157894734,35.0,12.0,26.75,17.55,9.19,1.984,0.161,1.82,29.512343336275375,74.47417107583773
5.0,臺北市,2012/07/31,萬華,0.9,0.24,404.30928961748634,8.9,10.0,26.0,10.0,17.42,8.69,8.74,1.982820746132848,0.18748862602365787,1.7957142857142858,28.67,81.76
6.0,臺北市,2012/07/31,陽明,0.6,0.05,384.07,14.4,17.0,5.0,3.0,2.23,1.58,0.62,1.982820746132848,0.18748862602365787,1.7957142857142858,21.78,100.0
7.0,臺北市,2012/07/31,士林,1.3,0.08,404.30928961748634,14.5,16.0,22.0,7.0,4.07,1.83,2.24,1.982820746132848,0.18748862602365787,1.7957142857142858,28.26,75.25
8.0,臺北市,2012/07/30,松山,1.2,0.22,397.91,6.8,9.0,21.0,9.0,15.7,7.8,7.9,1.856,0.099,1.76,28.17,81.01
9.0,臺北市,2012/07/30,古亭,2.1,0.25,404.30928961748634,6.9,8.0,34.48769574944072,11.0,16.77,8.02,8.75,1.801,0.095,1.71,28.74,86.47
10.0,臺北市,2012/07/30,中山,2.1,0.44,404.30928961748634,5.8,8.0,32.0,21.0,23.33,14.19,9.14,1.923,0.144,1.78,29.09,81.01
11.0,臺北市,2012/07/30,大同,2.3,0.92,404.30928961748634,21.590255731922397,37.580263157894734,38.0,13.0,44.93,33.93,11.0,2.213,0.355,1.86,29.512343336275375,74.47417107583773
12.0,臺北市,2012/07/30,萬華,2.3,0.28,404.30928961748634,5.0,7.0,22.0,9.0,23.49,12.7,10.79,1.982820746132848,0.18748862602365787,1.7957142857142858,28.98,80.35
13.0,臺北市,2012/07/30,陽明,0.9,0.05,385.66,10.5,12.0,5.0,3.0,1.05,0.37,0.68,1.982820746132848,0.18748862602365787,1.7957142857142858,21.38,100.0
14.0,臺北市,2012/07/30,士林,1.1,0.11,404.30928961748634,10.0,12.0,22.0,9.0,6.52,2.55,3.97,1.982820746132848,0.18748862602365787,1.7957142857142858,29.03,69.58
15.0,臺北市,2012/07/29,松山,3.6,0.18,396.62,9.0,10.0,17.0,9.0,10.54,4.14,6.4,1.982820746132848,0.18748862602365787,1.7957142857142858,29.92,65.27
16.0,臺北市,2012/07/29,古亭,1.4,0.14,404.30928961748634,10.7,13.0,29.0,9.0,9.44,4.51,4.93,1.755,0.052,1.7,31.32,66.35
17.0,臺北市,2012/07/29,中山,1.3,0.31,404.30928961748634,8.2,12.0,19.0,20.0,18.39,9.04,9.35,1.892,0.11,1.78,31.27,64.41
18.0,臺北市,2012/07/29,大同,1.5,0.71,404.30928961748634,21.590255731922397,37.580263157894734,32.0,13.0,38.11,27.44,10.67,2.109,0.252,1.86,29.512343336275375,74.47417107583773
19.0,臺北市,2012/07/29,萬華,1.6,0.21,404.30928961748634,7.4,11.0,21.0,10.0,18.4,8.07,10.32,1.982820746132848,0.18748862602365787,1.7957142857142858,31.09,63.56
20.0,臺北市,2012/07/29,陽明,1.9,0.05,384.85,11.3,13.0,6.0,5.0,2.25,1.19,1.03,1.982820746132848,0.18748862602365787,1.7957142857142858,22.26,92.85
21.0,臺北市,2012/07/29,士林,0.8,0.1,404.30928961748634,12.8,16.0,26.0,10.0,5.07,2.08,2.99,1.982820746132848,0.18748862602365787,1.7957142857142858,30.67,61.18
22.0,臺北市,2012/07/28,松山,0.9,0.18,396.01,11.4,18.0,18.0,11.0,8.22,3.02,5.2,1.982820746132848,0.18748862602365787,1.7957142857142858,30.66,61.15
23.0,臺北市,2012/07/28,古亭,1.2,0.17,404.30928961748634,11.2,15.0,29.0,10.0,10.46,5.18,5.28,1.749,0.054,1.7,31.51,65.78
24.0,臺北市,2012/07/28,中山,0.9,0.31,404.30928961748634,9.1,16.0,25.0,17.0,18.64,9.31,9.34,1.893,0.11,1.78,31.69,61.61
25.0,臺北市,2012/07/28,大同,1.8,1.12,404.30928961748634,21.590255731922397,37.580263157894734,28.0,12.0,51.12,38.22,12.9,2.292,0.422,1.87,29.512343336275375,74.47417107583773
