﻿序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),懸浮微粒 PM 10 (μg/m 3 ),細懸浮微粒 PM 2.5 (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppm),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),小時風速值 WS_HR (m/sec),溫度 AMB_TEMP (℃),降雨強度 RAIN_INT (㎜),酸雨 PH_RAIN (pH),相對濕度 RH (percent),導電度 RAIN_COND (μmho/cm) 
1.0,臺北市,2016/11/29,松山,2.3,0.36,418.36,29.4,55.0,18.0,20.75,3.95,16.79,1.915,0.095,1.82,2.29,1.72,21.15,0.5271616541353383,1.4813345864661653,65.52,21.699718045112782
2.0,臺北市,2016/11/29,古亭,1.2,0.31,422.49656626506027,35.9,52.0,19.0,13.38,2.96,10.42,1.927,0.066,1.861,3.61,3.29,21.03,0.5271616541353383,1.4813345864661653,66.89,21.699718045112782
3.0,臺北市,2016/11/29,中山,1.5,0.51,422.49656626506027,26.1,61.0,21.0,27.49,7.32,20.17,2.02,0.133,1.887,3.2,2.87,21.7,0.5271616541353383,1.4813345864661653,69.75,21.699718045112782
4.0,臺北市,2016/11/29,大同,2.7,0.94,422.49656626506027,30.65803788246722,74.0,16.0,60.63,33.52,27.11,2.279,0.3,1.98,2.443997013439522,1.8012549800796813,23.39985465116279,0.5271616541353383,1.4813345864661653,76.83897286821704,21.699718045112782
5.0,臺北市,2016/11/29,萬華,1.5,0.41,422.49656626506027,26.9,67.0,17.0,25.03,5.07,19.96,2.1377900874635567,0.20723615160349854,1.9305772594752186,2.97,2.84,21.98,0.5271616541353383,1.4813345864661653,64.9,21.699718045112782
6.0,臺北市,2016/11/29,陽明,1.4,0.18,411.85,43.5,29.0,14.0,1.67,0.35,1.2,2.1377900874635567,0.20723615160349854,1.9305772594752186,2.443997013439522,1.8012549800796813,13.67,0.8,5.18,92.8,238.72
7.0,臺北市,2016/11/29,士林,3.7,0.24,422.49656626506027,39.1,58.0,19.0,10.61,2.22,8.39,2.1377900874635567,0.20723615160349854,1.9305772594752186,4.05,3.8,21.58,0.5271616541353383,1.4813345864661653,65.09,21.699718045112782
8.0,臺北市,2016/11/27,松山,1.6,0.46,430.5,23.2,22.0,9.0,16.56,2.69,13.87,1.954,0.091,1.863,1.75,1.32,19.26,0.5271616541353383,1.4813345864661653,83.5,21.699718045112782
9.0,臺北市,2016/11/27,古亭,1.7,0.54,422.49656626506027,19.1,21.0,12.0,22.3,4.01,18.3,2.094,0.134,1.96,1.74,1.57,18.97,0.5271616541353383,1.4813345864661653,86.95,21.699718045112782
10.0,臺北市,2016/11/27,中山,1.9,0.59,422.49656626506027,16.1,20.0,8.0,29.13,6.94,22.2,2.102,0.154,1.949,1.57,0.97,19.7,0.5271616541353383,1.4813345864661653,88.48,21.699718045112782
11.0,臺北市,2016/11/27,大同,2.6,0.94,422.49656626506027,30.65803788246722,27.0,9.0,59.66,34.49,25.17,2.3,0.256,2.045,2.443997013439522,1.8012549800796813,23.39985465116279,0.5271616541353383,1.4813345864661653,76.83897286821704,21.699718045112782
12.0,臺北市,2016/11/27,萬華,0.8,0.55,422.49656626506027,13.4,22.0,11.0,29.29,6.24,23.04,2.1377900874635567,0.20723615160349854,1.9305772594752186,1.58,1.29,20.08,0.5271616541353383,1.4813345864661653,83.16,21.699718045112782
13.0,臺北市,2016/11/27,陽明,1.4,0.32,423.96,33.7,8.0,5.0,5.29,0.45,4.77,2.1377900874635567,0.20723615160349854,1.9305772594752186,2.443997013439522,1.8012549800796813,13.08,2.17,5.45,99.37,147.77
14.0,臺北市,2016/11/27,士林,1.6,0.44,422.49656626506027,24.0,17.0,8.0,14.14,1.66,12.47,2.1377900874635567,0.20723615160349854,1.9305772594752186,1.64,1.14,19.13,0.5271616541353383,1.4813345864661653,82.18,21.699718045112782
15.0,臺北市,2016/11/26,松山,1.2,0.44,424.83,27.2,20.0,7.0,21.65,5.23,16.42,1.949,0.114,1.835,1.67,1.22,23.14,0.5271616541353383,1.4813345864661653,77.97,21.699718045112782
