序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),臭氧8小時最大值 O3_Max_8_HR (ppb),懸浮微粒 PM 10  (μg/m 3 ),細懸浮微粒 PM 2.5  (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppmC),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),大氣溫度 AMB_TEMP (℃),相對濕度 RH (percent)
1.0,臺北市,2012/01/31,松山,1.7,0.56,411.58,21.9,34.0,42.0,25.0,33.05,6.11,26.95,2.118,0.174,1.94,14.78,80.44
2.0,臺北市,2012/01/31,古亭,1.7,0.64,410.7318032786886,21.2,27.0,48.0,31.0,34.79,8.49,26.3,2.197,0.195,2.0,14.95,83.89
3.0,臺北市,2012/01/31,中山,2.1,0.78,410.7318032786886,17.9,30.0,27.0,31.0,44.21,14.19,30.02,2.198,0.25,1.95,15.21,78.63
4.0,臺北市,2012/01/31,大同,2.7,1.63,410.7318032786886,24.498456790123456,35.53755458515284,45.0,33.0,83.38,49.57,33.81,2.621,0.618,2.0,16.54536327608983,80.33939233817702
5.0,臺北市,2012/01/31,萬華,1.4,0.67,410.7318032786886,18.2,30.0,36.0,25.0,38.37,7.25,31.12,2.1872336860670196,0.24614814814814814,1.9417019400352737,15.05,81.62
6.0,臺北市,2012/01/31,陽明,0.5,0.23,398.65,44.9,46.0,6.0,5.0,2.1,0.93,1.18,2.1872336860670196,0.24614814814814814,1.9417019400352737,8.57,100.0
7.0,臺北市,2012/01/31,士林,1.8,0.46,410.7318032786886,27.4,41.0,39.0,23.0,21.98,3.06,18.92,2.1872336860670196,0.24614814814814814,1.9417019400352737,14.68,78.28
8.0,臺北市,2012/01/30,松山,1.1,0.65,414.6,23.0,35.0,49.0,31.0,30.03,5.14,24.89,2.206,0.206,2.0,16.89,76.12
9.0,臺北市,2012/01/30,古亭,1.8,0.76,410.7318032786886,17.6,22.0,59.0,35.0,39.22,8.34,30.87,2.31,0.265,2.05,17.18,78.82
10.0,臺北市,2012/01/30,中山,2.4,0.8,410.7318032786886,19.9,26.0,49.0,39.0,41.62,12.4,29.22,2.222,0.262,1.96,17.26,75.43
11.0,臺北市,2012/01/30,大同,2.5,1.51,410.7318032786886,24.498456790123456,35.53755458515284,60.0,33.0,52.35,23.48,28.87,2.568,0.576,1.99,16.54536327608983,80.33939233817702
12.0,臺北市,2012/01/30,萬華,1.4,0.75,410.7318032786886,19.2,22.0,49.0,30.0,36.3,5.52,30.78,2.1872336860670196,0.24614814814814814,1.9417019400352737,17.17,77.55
13.0,臺北市,2012/01/30,陽明,0.8,0.26,397.95,46.0,49.0,8.0,6.0,2.59,1.36,1.23,2.1872336860670196,0.24614814814814814,1.9417019400352737,10.31,100.0
14.0,臺北市,2012/01/30,士林,1.4,0.4,410.7318032786886,32.2,41.0,45.0,24.0,14.83,1.57,13.25,2.1872336860670196,0.24614814814814814,1.9417019400352737,17.0,74.16
15.0,臺北市,2012/01/29,松山,1.1,0.66,419.48,14.0,23.0,30.0,21.0,31.3,4.92,26.38,2.258,0.214,2.04,16.77,82.98
16.0,臺北市,2012/01/29,古亭,1.7,1.0,410.7318032786886,7.8,14.0,50.0,30.0,49.4,15.3,34.1,2.478,0.362,2.12,16.77,88.52
17.0,臺北市,2012/01/29,中山,1.9,0.85,410.7318032786886,8.9,15.0,32.0,27.0,45.16,11.39,33.77,2.403,0.319,2.08,16.98,84.83
18.0,臺北市,2012/01/29,大同,3.6,2.44,410.7318032786886,24.498456790123456,35.53755458515284,50.0,30.0,121.0,80.76,40.24,3.131,0.965,2.17,16.54536327608983,80.33939233817702
19.0,臺北市,2012/01/29,萬華,1.7,0.88,410.7318032786886,11.2,17.0,35.0,21.0,44.39,11.61,32.79,2.1872336860670196,0.24614814814814814,1.9417019400352737,17.02,86.02
20.0,臺北市,2012/01/29,陽明,0.5,0.21,396.68,41.6,43.0,5.0,4.0,2.35,1.08,1.28,2.1872336860670196,0.24614814814814814,1.9417019400352737,11.07,100.0
21.0,臺北市,2012/01/29,士林,1.5,0.61,410.7318032786886,15.2,21.0,38.0,19.0,29.34,3.96,25.38,2.1872336860670196,0.24614814814814814,1.9417019400352737,16.78,82.56
22.0,臺北市,2012/01/28,松山,1.7,0.64,417.55,14.6,25.0,46.0,30.0,30.16,6.22,23.94,2.178,0.183,2.0,16.67,78.66
23.0,臺北市,2012/01/28,古亭,1.8,0.71,410.7318032786886,13.5,24.0,46.0,30.0,31.86,9.31,22.55,2.246,0.222,2.02,16.9,81.41
24.0,臺北市,2012/01/28,中山,1.9,0.79,410.7318032786886,9.8,20.0,32.0,33.0,43.64,16.22,27.42,2.276,0.247,2.03,16.91,79.92
25.0,臺北市,2012/01/28,大同,2.3,1.41,410.7318032786886,24.498456790123456,35.53755458515284,47.0,35.0,68.26,41.17,27.08,2.673,0.554,2.12,16.54536327608983,80.33939233817702
26.0,臺北市,2012/01/28,萬華,1.6,0.78,410.7318032786886,10.9,21.0,42.0,29.0,38.71,11.19,27.53,2.1872336860670196,0.24614814814814814,1.9417019400352737,16.95,80.87
27.0,臺北市,2012/01/28,陽明,0.5,0.23,395.41,35.3,40.0,11.0,10.0,2.8,1.17,1.62,2.1872336860670196,0.24614814814814814,1.9417019400352737,12.63,91.44
28.0,臺北市,2012/01/28,士林,1.9,0.46,410.7318032786886,17.4,33.0,38.0,22.0,18.35,3.09,15.25,2.1872336860670196,0.24614814814814814,1.9417019400352737,16.65,80.37
29.0,臺北市,2012/01/27,松山,3.0,0.85,427.9,15.0,31.0,46.0,34.0,42.11,18.08,24.03,2.433,0.285,2.15,16.12,80.0
30.0,臺北市,2012/01/27,古亭,2.6,0.74,410.7318032786886,13.9,34.0,48.0,33.0,37.11,15.26,21.85,2.368,0.236,2.13,16.42,81.99
31.0,臺北市,2012/01/27,中山,2.9,1.0,410.7318032786886,10.5,27.0,44.0,39.0,57.19,31.51,25.68,2.494,0.328,2.17,16.31,81.21
32.0,臺北市,2012/01/27,大同,2.7,1.54,410.7318032786886,24.498456790123456,35.53755458515284,58.0,39.0,85.92,58.11,27.81,2.852,0.625,2.23,16.54536327608983,80.33939233817702
33.0,臺北市,2012/01/27,萬華,3.1,1.0,410.7318032786886,10.3,26.0,50.0,36.0,54.45,26.46,27.98,2.1872336860670196,0.24614814814814814,1.9417019400352737,16.33,83.1
34.0,臺北市,2012/01/27,陽明,1.6,0.3,396.67,36.6,38.0,14.0,13.0,2.79,0.8,1.96,2.1872336860670196,0.24614814814814814,1.9417019400352737,12.92,90.74
35.0,臺北市,2012/01/27,士林,1.8,0.88,410.7318032786886,14.0,38.0,52.0,31.0,47.99,28.32,19.67,2.1872336860670196,0.24614814814814814,1.9417019400352737,15.74,82.26
36.0,臺北市,2012/01/26,松山,2.7,0.54,413.31,24.5,38.0,41.0,32.0,26.55,8.87,17.68,2.12,0.154,1.97,13.44,84.22
37.0,臺北市,2012/01/26,古亭,2.9,0.58,410.7318032786886,22.4,36.0,52.0,36.0,31.46,11.48,19.98,2.141,0.139,2.0,13.97,85.06
38.0,臺北市,2012/01/26,中山,2.4,0.63,410.7318032786886,20.4,33.0,44.0,44.0,34.96,11.84,23.12,2.158,0.17,1.99,14.07,82.02
39.0,臺北市,2012/01/26,大同,3.5,1.34,410.7318032786886,24.498456790123456,35.53755458515284,55.0,41.0,85.16,54.4,30.76,2.526,0.468,2.06,16.54536327608983,80.33939233817702
40.0,臺北市,2012/01/26,萬華,2.7,0.55,410.7318032786886,19.3,32.0,42.0,36.0,32.22,8.44,23.78,2.1872336860670196,0.24614814814814814,1.9417019400352737,14.13,82.64
41.0,臺北市,2012/01/26,陽明,2.8,0.28,398.92,41.2,45.0,11.0,9.0,2.45,1.3,1.14,2.1872336860670196,0.24614814814814814,1.9417019400352737,8.07,98.43
42.0,臺北市,2012/01/26,士林,2.5,0.48,410.7318032786886,31.3,40.0,43.0,28.0,21.08,9.12,11.99,2.1872336860670196,0.24614814814814814,1.9417019400352737,14.27,76.45
43.0,臺北市,2012/01/25,松山,3.5,0.54,410.64,33.9,41.0,44.0,34.0,14.68,2.95,11.73,2.024,0.082,1.94,11.3,80.45
44.0,臺北市,2012/01/25,古亭,3.3,0.56,410.7318032786886,28.9,33.0,54.0,36.0,16.92,2.43,14.5,2.079,0.088,1.99,11.73,83.55
45.0,臺北市,2012/01/25,中山,3.1,0.62,410.7318032786886,26.2,33.0,35.0,33.0,23.31,4.44,18.87,2.067,0.115,1.95,12.12,76.18
46.0,臺北市,2012/01/25,大同,3.1,0.92,410.7318032786886,24.498456790123456,35.53755458515284,50.0,37.0,49.47,23.47,26.0,2.236,0.269,1.97,16.54536327608983,80.33939233817702
