序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),臭氧8小時最大值 O3_Max_8_HR (ppb),懸浮微粒 PM 10  (μg/m 3 ),細懸浮微粒 PM 2.5  (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppmC),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),大氣溫度 AMB_TEMP (℃),相對濕度 RH (percent)
1.0,臺北市,2013/05/31,松山,9.2,0.45,423.75,26.3,60.0,38.0,37.0,29.18,6.06,23.12,1.983,0.219,1.77,29.76,69.14
2.0,臺北市,2013/05/31,古亭,5.2,0.56,418.1217073170731,23.7,48.0,49.0,29.0,29.97,7.38,22.59,2.021,0.246,1.77,30.16,70.01
3.0,臺北市,2013/05/31,中山,6.7,0.65,418.1217073170731,17.4,37.0,48.0,21.746614242027086,36.1,11.68,24.42,2.092,0.255,1.84,30.72,67.84
4.0,臺北市,2013/05/31,大同,6.8,1.44,418.1217073170731,26.66757709251101,41.783618046430135,48.0,32.0,58.1,28.81,29.29,2.514,0.503,2.01,26.239995581087054,79.43960636886334
5.0,臺北市,2013/05/31,萬華,7.4,0.58,418.1217073170731,18.6,42.0,37.0,24.0,33.95,9.06,24.89,2.118188628158845,0.22698826714801446,1.8917148014440432,30.8,68.3
6.0,臺北市,2013/05/31,陽明,3.8,0.18,413.59,38.0,59.0,23.0,17.0,9.72,1.74,7.98,2.118188628158845,0.22698826714801446,1.8917148014440432,23.23,84.61
7.0,臺北市,2013/05/31,士林,4.3,0.35,418.1217073170731,21.7,44.0,35.0,22.0,22.07,5.65,16.43,2.118188628158845,0.22698826714801446,1.8917148014440432,29.69,75.23
8.0,臺北市,2013/05/30,松山,3.5,0.6,432.35,27.3,69.0,32.0,28.0,29.93,6.68,23.25,2.126,0.257,1.87,29.52,68.51
9.0,臺北市,2013/05/30,古亭,2.9,0.55,418.1217073170731,29.4,69.0,42.0,24.0,24.53,6.31,18.23,1.972,0.216,1.76,29.56,70.02
10.0,臺北市,2013/05/30,中山,3.6,0.73,418.1217073170731,23.4,59.0,48.0,21.746614242027086,35.77,12.65,23.12,2.187,0.289,1.9,30.39,66.99
