SITEID,COUNTYID,PSI,DATACREATIONDATE
254,10010,78.0,2015/3/30
205,10009,54.0,2015/3/30
250,10008,72.0,2015/3/30
251,10009,64.0,2015/3/30
252,10009,60.0,2015/3/30
253,10010,72.0,2015/3/30
278,65000,36.0,2015/4/22
279,65000,33.0,2015/4/22
280,65000,42.0,2015/4/22
281,65000,46.0,2015/4/22
282,65000,41.0,2015/4/22
283,65000,38.0,2015/4/22
284,65000,50.0,2015/4/22
285,65000,42.0,2015/4/22
286,63000,29.0,2015/4/22
287,63000,51.0,2015/4/22
288,63000,36.0,2015/4/22
289,63000,44.0,2015/4/22
290,63000,40.0,2015/4/22
201,63000,51.0,2015/4/22
291,68000,45.0,2015/4/22
292,68000,52.0,2015/4/22
202,68000,56.0,2015/4/22
293,68000,52.0,2015/4/22
294,68000,39.0,2015/4/22
295,10004,,2015/4/22
296,10004,37.0,2015/4/22
297,10018,49.0,2015/4/22
203,10005,44.0,2015/4/22
241,10005,54.0,2015/4/22
242,10005,32.0,2015/4/22
243,66000,25.0,2015/4/22
244,66000,38.0,2015/4/22
245,66000,38.0,2015/4/22
246,66000,34.0,2015/4/22
247,66000,33.0,2015/4/22
248,10007,32.0,2015/4/22
249,10007,32.0,2015/4/22
250,10008,52.0,2015/4/22
251,10009,46.0,2015/4/22
252,10009,35.0,2015/4/22
253,10010,52.0,2015/4/22
254,10010,54.0,2015/4/22
283,65000,39.0,2015/4/21
284,65000,47.0,2015/4/21
285,65000,41.0,2015/4/21
286,63000,45.0,2015/4/21
287,63000,58.0,2015/4/21
288,63000,40.0,2015/4/21
289,63000,50.0,2015/4/21
290,63000,50.0,2015/4/21
201,63000,52.0,2015/4/21
291,68000,39.0,2015/4/21
292,68000,52.0,2015/4/21
202,68000,48.0,2015/4/21
293,68000,50.0,2015/4/21
294,68000,48.0,2015/4/21
295,10004,45.0,2015/4/21
296,10004,43.0,2015/4/21
297,10018,52.0,2015/4/21
203,10005,54.0,2015/4/21
241,10005,62.0,2015/4/21
242,10005,41.0,2015/4/21
243,66000,48.0,2015/4/21
244,66000,52.0,2015/4/21
245,66000,54.0,2015/4/21
246,66000,32.0,2015/4/21
247,66000,50.0,2015/4/21
248,10007,47.0,2015/4/21
204,10007,56.0,2015/4/21
249,10007,51.0,2015/4/21
250,10008,58.0,2015/4/21
251,10009,44.0,2015/4/21
252,10009,60.0,2015/4/21
253,10010,63.0,2015/4/21
254,10010,70.0,2015/4/21
205,10009,50.0,2015/4/21
255,10020,62.0,2015/4/21
256,67000,62.0,2015/4/21
210,63000,43.0,2015/4/21
273,10002,40.0,2015/4/21
274,10002,44.0,2015/4/21
211,65000,33.0,2015/4/21
212,68000,36.0,2015/4/21
275,10008,37.0,2015/4/21
213,65000,41.0,2015/4/21
214,64000,24.0,2015/4/21
278,65000,54.0,2015/4/11
279,65000,33.0,2015/4/11
280,65000,40.0,2015/4/11
281,65000,40.0,2015/4/11
282,65000,36.0,2015/4/11
283,65000,30.0,2015/4/11
284,65000,35.0,2015/4/11
285,65000,,2015/4/11
286,63000,40.0,2015/4/11
287,63000,47.0,2015/4/11
288,63000,,2015/4/10
289,63000,44.0,2015/4/11
290,63000,33.0,2015/4/11
201,63000,45.0,2015/4/11
291,68000,38.0,2015/4/11
292,68000,40.0,2015/4/11
