SITEID,COUNTYID,PSI,DATACREATIONDATE
244,66000,59.0,2015/5/11
245,66000,54.0,2015/5/11
246,66000,46.0,2015/5/11
247,66000,50.0,2015/5/11
248,10007,58.0,2015/5/11
204,10007,48.0,2015/5/11
249,10007,54.0,2015/5/11
250,10008,48.0,2015/5/11
251,10009,60.0,2015/5/11
252,10009,56.0,2015/5/11
253,10010,57.0,2015/5/11
254,10010,62.0,2015/5/11
205,10009,48.0,2015/5/11
255,10020,54.0,2015/5/11
256,67000,62.0,2015/5/11
257,67000,58.0,2015/5/11
258,67000,68.0,2015/5/11
259,67000,54.0,2015/5/11
260,64000,45.0,2015/5/11
206,64000,58.0,2015/5/11
261,64000,72.0,2015/5/11
207,64000,65.0,2015/5/11
262,64000,58.0,2015/5/11
263,64000,62.0,2015/5/11
264,64000,68.0,2015/5/11
256,67000,58.0,2015/5/10
257,67000,62.0,2015/5/10
258,67000,60.0,2015/5/10
259,67000,49.0,2015/5/10
260,64000,43.0,2015/5/10
265,64000,62.0,2015/5/11
266,64000,62.0,2015/5/11
209,64000,54.0,2015/5/11
267,64000,58.0,2015/5/11
268,10013,51.0,2015/5/11
269,10013,52.0,2015/5/11
270,10013,29.0,2015/5/11
271,10014,18.0,2015/5/11
272,10015,23.0,2015/5/11
210,63000,13.0,2015/5/11
273,10002,30.0,2015/5/11
274,10002,24.0,2015/5/11
211,65000,60.0,2015/5/11
212,68000,56.0,2015/5/11
275,10008,48.0,2015/5/11
213,65000,50.0,2015/5/11
214,64000,54.0,2015/5/11
215,10008,34.0,2015/5/11
218,9007,40.0,2015/5/11
209,64000,42.0,2015/5/05
267,64000,44.0,2015/5/05
268,10013,40.0,2015/5/05
269,10013,45.0,2015/5/05
270,10013,45.0,2015/5/05
271,10014,34.0,2015/5/05
272,10015,28.0,2015/5/05
210,63000,36.0,2015/5/05
273,10002,38.0,2015/5/05
218,9007,56.0,2015/5/05
220,9020,58.0,2015/5/05
221,10016,50.0,2015/5/05
223,10014,24.0,2015/5/05
367625,10009,58.0,2015/5/05
276,10017,24.0,2015/5/05
277,65000,29.0,2015/5/05
278,65000,33.0,2015/5/05
279,65000,18.0,2015/5/05
280,65000,31.0,2015/5/05
281,65000,35.0,2015/5/05
282,65000,26.0,2015/5/05
