SITEID,COUNTYID,PSI,DATACREATIONDATE
247,66000,30.0,2015/8/13
248,10007,26.0,2015/8/13
204,10007,23.0,2015/8/13
249,10007,29.0,2015/8/13
250,10008,27.0,2015/8/13
251,10009,27.0,2015/8/13
252,10009,24.0,2015/8/13
253,10010,21.0,2015/8/13
254,10010,27.0,2015/8/13
205,10009,28.0,2015/8/13
255,10020,29.0,2015/8/13
256,67000,18.0,2015/8/13
257,67000,31.0,2015/8/13
258,67000,27.0,2015/8/13
259,67000,21.0,2015/8/13
260,64000,,2015/8/13
206,64000,22.0,2015/8/13
261,64000,33.0,2015/8/13
207,64000,33.0,2015/8/13
262,64000,36.0,2015/8/13
212,68000,38.0,2015/8/20
275,10008,41.0,2015/8/20
213,65000,17.0,2015/8/20
214,64000,25.0,2015/8/20
215,10008,34.0,2015/8/20
218,9007,38.0,2015/8/20
220,9020,50.0,2015/8/20
221,10016,30.0,2015/8/20
223,10014,23.0,2015/8/20
367625,10009,52.0,2015/8/20
276,10017,8.0,2015/8/20
277,65000,13.0,2015/8/20
278,65000,20.0,2015/8/20
279,65000,21.0,2015/8/20
280,65000,16.0,2015/8/20
281,65000,25.0,2015/8/20
282,65000,12.0,2015/8/20
283,65000,12.0,2015/8/20
284,65000,19.0,2015/8/20
285,65000,29.0,2015/8/20
286,63000,18.0,2015/8/20
287,63000,23.0,2015/8/20
288,63000,20.0,2015/8/20
289,63000,34.0,2015/8/20
290,63000,21.0,2015/8/20
201,63000,31.0,2015/8/20
291,68000,22.0,2015/8/20
292,68000,,2015/8/20
202,68000,40.0,2015/8/20
293,68000,28.0,2015/8/20
294,68000,35.0,2015/8/20
295,10004,37.0,2015/8/20
296,10004,40.0,2015/8/20
297,10018,29.0,2015/8/20
203,10005,44.0,2015/8/20
241,10005,47.0,2015/8/20
242,10005,37.0,2015/8/20
243,66000,53.0,2015/8/20
201,63000,50.0,2015/8/13
291,68000,30.0,2015/8/13
292,68000,32.0,2015/8/13
202,68000,41.0,2015/8/13
293,68000,34.0,2015/8/13
294,68000,,
295,10004,34.0,2015/8/13
296,10004,30.0,2015/8/13
297,10018,23.0,2015/8/13
203,10005,29.0,2015/8/13
241,10005,30.0,2015/8/13
242,10005,24.0,2015/8/13
243,66000,29.0,2015/8/13
244,66000,26.0,2015/8/13
245,66000,26.0,2015/8/13
246,66000,25.0,2015/8/13
263,64000,30.0,2015/8/13
282,65000,16.0,2015/8/13
273,10002,16.0,2015/8/31
274,10002,,2015/8/31
211,65000,40.0,2015/8/31
212,68000,28.0,2015/8/31
275,10008,26.0,2015/8/31
213,65000,27.0,2015/8/31
214,64000,20.0,2015/8/31
215,10008,19.0,2015/8/31
218,9007,47.0,2015/8/31
220,9020,41.0,2015/8/31
221,10016,18.0,2015/8/31
223,10014,28.0,2015/8/31
367625,10009,28.0,2015/8/31
276,10017,18.0,2015/8/31
277,65000,22.0,2015/8/31
278,65000,22.0,2015/8/31
279,65000,26.0,2015/8/31
280,65000,25.0,2015/8/31
281,65000,30.0,2015/8/31
282,65000,13.0,2015/8/31
283,65000,18.0,2015/8/31
284,65000,22.0,2015/8/31
285,65000,27.0,2015/8/31
286,63000,20.0,2015/8/31
287,63000,27.0,2015/8/31
288,63000,24.0,2015/8/31
289,63000,31.0,2015/8/31
290,63000,23.0,2015/8/31
201,63000,36.0,2015/8/31
291,68000,17.0,2015/8/31
292,68000,23.0,2015/8/31
202,68000,25.0,2015/8/31
293,68000,24.0,2015/8/31
294,68000,24.0,2015/8/31
295,10004,23.0,2015/8/31
296,10004,15.0,2015/8/31
297,10018,14.0,2015/8/31
203,10005,22.0,2015/8/31
268,10013,22.0,2015/8/31
269,10013,20.0,2015/8/31
270,10013,20.0,2015/8/31
271,10014,31.0,2015/8/31
272,10015,23.0,2015/8/31
210,63000,20.0,2015/8/31
295,10004,26.0,2015/8/22
296,10004,21.0,2015/8/22
297,10018,,2015/8/22
203,10005,30.0,2015/8/22
241,10005,48.0,2015/8/22
242,10005,70.0,2015/8/22
243,66000,75.0,2015/8/22
244,66000,74.0,2015/8/22
245,66000,74.0,2015/8/22
246,66000,64.0,2015/8/22
247,66000,72.0,2015/8/22
248,10007,64.0,2015/8/22
204,10007,61.0,2015/8/22
249,10007,60.0,2015/8/22
250,10008,72.0,2015/8/22
251,10009,52.0,2015/8/22
252,10009,56.0,2015/8/22
253,10010,56.0,2015/8/22
254,10010,57.0,2015/8/22
205,10009,56.0,2015/8/22
255,10020,44.0,2015/8/22
256,67000,50.0,2015/8/22
257,67000,51.0,2015/8/22
258,67000,48.0,2015/8/22
259,67000,41.0,2015/8/22
260,64000,45.0,2015/8/22
206,64000,32.0,2015/8/22
261,64000,52.0,2015/8/22
207,64000,57.0,2015/8/22
262,64000,,
263,64000,33.0,2015/8/22
264,64000,56.0,2015/8/22
265,64000,49.0,2015/8/22
266,64000,46.0,2015/8/22
209,64000,54.0,2015/8/22
267,64000,47.0,2015/8/22
206,64000,22.0,2015/8/26
261,64000,24.0,2015/8/26
207,64000,22.0,2015/8/26
263,64000,28.0,2015/8/26
264,64000,26.0,2015/8/26
265,64000,21.0,2015/8/26
266,64000,19.0,2015/8/26
209,64000,21.0,2015/8/26
267,64000,,2015/8/26
268,10013,27.0,2015/8/26
269,10013,22.0,2015/8/26
270,10013,26.0,2015/8/26
271,10014,21.0,2015/8/26
272,10015,44.0,2015/8/26
210,63000,37.0,2015/8/26
273,10002,36.0,2015/8/26
274,10002,36.0,2015/8/26
211,65000,48.0,2015/8/26
212,68000,60.0,2015/8/26
275,10008,28.0,2015/8/26
213,65000,37.0,2015/8/26
214,64000,8.0,2015/8/26
215,10008,22.0,2015/8/26
218,9007,58.0,2015/8/26
220,9020,62.0,2015/8/26
221,10016,30.0,2015/8/26
223,10014,36.0,2015/8/26
367625,10009,,2015/8/26
276,10017,36.0,2015/8/26
277,65000,33.0,2015/8/26
278,65000,47.0,2015/8/26
279,65000,41.0,2015/8/26
280,65000,43.0,2015/8/26
281,65000,49.0,2015/8/26
282,65000,36.0,2015/8/26
283,65000,29.0,2015/8/26
284,65000,52.0,2015/8/26
285,65000,41.0,2015/8/26
282,65000,38.0,2015/9/04
283,65000,36.0,2015/9/04
284,65000,44.0,2015/9/04
285,65000,46.0,2015/9/04
286,63000,43.0,2015/9/04
287,63000,43.0,2015/9/04
288,63000,37.0,2015/9/04
289,63000,50.0,2015/9/04
290,63000,49.0,2015/9/04
201,63000,52.0,2015/9/04
291,68000,32.0,2015/9/04
292,68000,37.0,2015/9/04
202,68000,40.0,2015/9/04
293,68000,48.0,2015/9/04
294,68000,46.0,2015/9/04
295,10004,44.0,2015/9/04
296,10004,35.0,2015/9/04
297,10018,27.0,2015/9/04
203,10005,41.0,2015/9/04
241,10005,40.0,2015/9/04
242,10005,30.0,2015/9/04
243,66000,33.0,2015/9/04
244,66000,37.0,2015/9/04
245,66000,34.0,2015/9/04
246,66000,29.0,2015/9/04
247,66000,35.0,2015/9/04
248,10007,43.0,2015/9/04
204,10007,26.0,2015/9/04
249,10007,41.0,2015/9/04
250,10008,41.0,2015/9/04
251,10009,33.0,2015/9/04
252,10009,26.0,2015/9/04
253,10010,29.0,2015/9/04
254,10010,36.0,2015/9/04
205,10009,24.0,2015/9/04
255,10020,29.0,2015/9/04
256,67000,28.0,2015/9/04
257,67000,30.0,2015/9/04
278,65000,,2015/8/13
279,65000,24.0,2015/8/14
280,65000,,2015/8/14
281,65000,35.0,2015/8/14
282,65000,24.0,2015/8/14
283,65000,20.0,2015/8/14
284,65000,20.0,2015/8/14
285,65000,31.0,2015/8/14
286,63000,21.0,2015/8/14
287,63000,18.0,2015/8/14
288,63000,19.0,2015/8/14
289,63000,31.0,2015/8/14
290,63000,18.0,2015/8/14
201,63000,36.0,2015/8/14
291,68000,39.0,2015/8/14
292,68000,22.0,2015/8/14
202,68000,28.0,2015/8/14
293,68000,26.0,2015/8/14
295,10004,27.0,2015/8/14
296,10004,23.0,2015/8/14
297,10018,8.0,2015/8/14
203,10005,23.0,2015/8/14
241,10005,17.0,2015/8/14
242,10005,16.0,2015/8/14
243,66000,13.0,2015/8/14
244,66000,23.0,2015/8/14
245,66000,11.0,2015/8/14
246,66000,7.0,2015/8/14
247,66000,27.0,2015/8/14
248,10007,23.0,2015/8/14
204,10007,,2015/8/14
249,10007,29.0,2015/8/14
250,10008,24.0,2015/8/14
251,10009,16.0,2015/8/14
252,10009,20.0,2015/8/14
214,64000,18.0,2015/8/16
215,10008,16.0,2015/8/16
291,68000,22.0,2015/8/17
292,68000,27.0,2015/8/17
202,68000,31.0,2015/8/17
293,68000,27.0,2015/8/17
294,68000,35.0,2015/8/17
295,10004,32.0,2015/8/17
296,10004,23.0,2015/8/17
297,10018,18.0,2015/8/17
203,10005,25.0,2015/8/17
241,10005,23.0,2015/8/17
242,10005,19.0,2015/8/17
243,66000,18.0,2015/8/17
244,66000,,2015/8/16
245,66000,13.0,2015/8/17
246,66000,11.0,2015/8/17
247,66000,29.0,2015/8/17
248,10007,28.0,2015/8/17
204,10007,23.0,2015/8/17
249,10007,30.0,2015/8/17
250,10008,27.0,2015/8/17
251,10009,19.0,2015/8/17
252,10009,24.0,2015/8/17
253,10010,30.0,2015/8/17
254,10010,37.0,2015/8/17
205,10009,28.0,2015/8/17
255,10020,27.0,2015/8/17
256,67000,31.0,2015/8/17
257,67000,25.0,2015/8/17
258,67000,32.0,2015/8/17
259,67000,23.0,2015/8/17
260,64000,7.0,2015/8/17
206,64000,39.0,2015/8/17
261,64000,,2015/8/17
207,64000,30.0,2015/8/17
262,64000,24.0,2015/8/17
263,64000,29.0,2015/8/17
206,64000,16.0,2015/8/12
261,64000,33.0,2015/8/12
207,64000,34.0,2015/8/12
262,64000,24.0,2015/8/12
263,64000,23.0,2015/8/12
264,64000,39.0,2015/8/12
265,64000,29.0,2015/8/12
266,64000,23.0,2015/8/12
209,64000,28.0,2015/8/12
267,64000,31.0,2015/8/12
268,10013,30.0,2015/8/12
269,10013,18.0,2015/8/12
270,10013,22.0,2015/8/12
271,10014,20.0,2015/8/12
272,10015,26.0,2015/8/12
210,63000,,
273,10002,40.0,2015/8/12
274,10002,30.0,2015/8/12
211,65000,54.0,2015/8/12
212,68000,42.0,2015/8/12
275,10008,28.0,2015/8/12
213,65000,43.0,2015/8/12
214,64000,18.0,2015/8/12
215,10008,29.0,2015/8/12
218,9007,30.0,2015/8/12
220,9020,28.0,2015/8/12
221,10016,19.0,2015/8/12
223,10014,19.0,2015/8/12
367625,10009,41.0,2015/8/12
264,64000,25.0,2015/8/13
265,64000,29.0,2015/8/13
266,64000,18.0,2015/8/13
209,64000,23.0,2015/8/13
267,64000,20.0,2015/8/13
253,10010,32.0,2015/8/14
254,10010,26.0,2015/8/14
205,10009,18.0,2015/8/14
255,10020,21.0,2015/8/14
256,67000,17.0,2015/8/14
257,67000,19.0,2015/8/14
258,67000,23.0,2015/8/14
259,67000,17.0,2015/8/14
260,64000,7.0,2015/8/14
206,64000,8.0,2015/8/14
261,64000,26.0,2015/8/14
207,64000,29.0,2015/8/14
262,64000,23.0,2015/8/14
263,64000,26.0,2015/8/14
264,64000,28.0,2015/8/14
265,64000,20.0,2015/8/14
268,10013,19.0,2015/8/13
269,10013,32.0,2015/8/13
264,64000,33.0,2015/8/17
265,64000,26.0,2015/8/17
266,64000,21.0,2015/8/17
209,64000,31.0,2015/8/17
267,64000,23.0,2015/8/17
268,10013,20.0,2015/8/17
269,10013,20.0,2015/8/17
270,10013,25.0,2015/8/17
271,10014,24.0,2015/8/17
272,10015,23.0,2015/8/17
210,63000,18.0,2015/8/17
273,10002,28.0,2015/8/17
283,65000,29.0,2015/8/13
284,65000,31.0,2015/8/13
285,65000,41.0,2015/8/13
286,63000,37.0,2015/8/13
287,63000,37.0,2015/8/13
288,63000,31.0,2015/8/13
289,63000,44.0,2015/8/13
290,63000,31.0,2015/8/13
221,10016,,2015/8/17
223,10014,18.0,2015/8/17
367625,10009,11.0,2015/8/17
270,10013,21.0,2015/8/13
271,10014,24.0,2015/8/13
272,10015,33.0,2015/8/13
210,63000,50.0,2015/8/13
244,66000,54.0,2015/8/20
245,66000,41.0,2015/8/20
246,66000,43.0,2015/8/20
247,66000,55.0,2015/8/20
