SITEID,COUNTYID,PSI,DATACREATIONDATE
245,66000,54.0,2015/3/10
246,66000,48.0,2015/3/10
247,66000,50.0,2015/3/10
248,10007,46.0,2015/3/10
204,10007,51.0,2015/3/10
249,10007,53.0,2015/3/10
250,10008,62.0,2015/3/10
251,10009,61.0,2015/3/10
252,10009,61.0,2015/3/10
253,10010,64.0,2015/3/10
254,10010,70.0,2015/3/10
205,10009,59.0,2015/3/10
255,10020,,
256,67000,64.0,2015/3/10
257,67000,63.0,2015/3/10
258,67000,73.0,2015/3/10
259,67000,64.0,2015/3/10
260,64000,64.0,2015/3/10
206,64000,72.0,2015/3/10
261,64000,90.0,2015/3/10
207,64000,93.0,2015/3/10
262,64000,82.0,2015/3/10
263,64000,58.0,2015/3/10
264,64000,82.0,2015/3/10
265,64000,74.0,2015/3/10
266,64000,90.0,2015/3/10
209,64000,74.0,2015/3/10
267,64000,84.0,2015/3/10
268,10013,76.0,2015/3/10
269,10013,92.0,2015/3/10
270,10013,47.0,2015/3/10
271,10014,33.0,2015/3/10
267,64000,81.0,2015/3/11
268,10013,74.0,2015/3/11
269,10013,88.0,2015/3/11
270,10013,43.0,2015/3/11
202,68000,33.0,2015/3/07
293,68000,26.0,2015/3/07
294,68000,25.0,2015/3/07
295,10004,30.0,2015/3/07
296,10004,24.0,2015/3/07
297,10018,28.0,2015/3/07
203,10005,33.0,2015/3/07
241,10005,33.0,2015/3/07
242,10005,30.0,2015/3/07
243,66000,36.0,2015/3/07
244,66000,42.0,2015/3/07
245,66000,28.0,2015/3/07
246,66000,31.0,2015/3/07
247,66000,43.0,2015/3/07
248,10007,38.0,2015/3/07
204,10007,41.0,2015/3/07
249,10007,49.0,2015/3/07
250,10008,59.0,2015/3/07
251,10009,58.0,2015/3/07
252,10009,54.0,2015/3/07
253,10010,56.0,2015/3/07
254,10010,56.0,2015/3/07
205,10009,38.0,2015/3/07
255,10020,58.0,2015/3/07
256,67000,54.0,2015/3/07
257,67000,58.0,2015/3/07
258,67000,58.0,2015/3/07
259,67000,53.0,2015/3/07
260,64000,62.0,2015/3/07
206,64000,64.0,2015/3/07
261,64000,78.0,2015/3/07
207,64000,82.0,2015/3/07
262,64000,69.0,2015/3/07
263,64000,57.0,2015/3/07
260,64000,62.0,2015/3/08
206,64000,61.0,2015/3/08
261,64000,74.0,2015/3/08
207,64000,80.0,2015/3/08
262,64000,68.0,2015/3/08
263,64000,60.0,2015/3/08
