SITEID,COUNTYID,PSI,DATACREATIONDATE
256,67000,62.0,2015/3/01
257,67000,58.0,2015/3/01
258,67000,63.0,2015/3/01
259,67000,61.0,2015/3/01
260,64000,49.0,2015/3/01
206,64000,57.0,2015/3/01
261,64000,70.0,2015/3/01
207,64000,67.0,2015/3/01
262,64000,59.0,2015/3/01
263,64000,47.0,2015/3/01
264,64000,72.0,2015/3/01
265,64000,58.0,2015/3/01
266,64000,65.0,2015/3/01
209,64000,60.0,2015/3/01
267,64000,60.0,2015/3/01
268,10013,50.0,2015/3/01
269,10013,52.0,2015/3/01
270,10013,40.0,2015/3/01
211,65000,45.0,2015/2/22
212,68000,56.0,2015/2/22
275,10008,58.0,2015/2/22
213,65000,32.0,2015/2/22
214,64000,46.0,2015/2/22
215,10008,45.0,2015/2/22
218,9007,55.0,2015/2/22
220,9020,48.0,2015/2/22
221,10016,47.0,2015/2/22
223,10014,36.0,2015/2/22
367625,10009,62.0,2015/2/22
276,10017,31.0,2015/2/22
247,66000,69.0,2015/3/03
248,10007,64.0,2015/3/03
204,10007,68.0,2015/3/03
249,10007,69.0,2015/3/03
250,10008,84.0,2015/3/03
251,10009,76.0,2015/3/03
252,10009,74.0,2015/3/03
289,63000,49.0,2015/3/03
290,63000,40.0,2015/3/03
201,63000,66.0,2015/3/03
291,68000,64.0,2015/3/03
292,68000,84.0,2015/3/03
202,68000,74.0,2015/3/03
293,68000,68.0,2015/3/03
294,68000,70.0,2015/3/03
295,10004,70.0,2015/3/03
296,10004,68.0,2015/3/03
297,10018,74.0,2015/3/03
203,10005,80.0,2015/3/03
241,10005,70.0,2015/3/03
242,10005,63.0,2015/3/03
243,66000,67.0,2015/3/03
244,66000,74.0,2015/3/03
245,66000,76.0,2015/3/03
246,66000,72.0,2015/3/03
253,10010,85.0,2015/3/03
254,10010,86.0,2015/3/03
205,10009,74.0,2015/3/03
255,10020,86.0,2015/3/03
241,10005,44.0,2015/3/02
242,10005,32.0,2015/3/02
243,66000,,2015/3/02
244,66000,42.0,2015/3/02
201,63000,59.0,2015/3/02
291,68000,50.0,2015/3/02
292,68000,54.0,2015/3/02
202,68000,54.0,2015/3/02
293,68000,48.0,2015/3/02
294,68000,52.0,2015/3/02
295,10004,53.0,2015/3/02
296,10004,47.0,2015/3/02
297,10018,52.0,2015/3/02
203,10005,52.0,2015/3/02
245,66000,50.0,2015/3/02
246,66000,56.0,2015/3/02
247,66000,56.0,2015/3/02
248,10007,53.0,2015/3/02
204,10007,60.0,2015/3/02
249,10007,58.0,2015/3/02
250,10008,63.0,2015/3/02
251,10009,56.0,2015/3/02
252,10009,59.0,2015/3/02
253,10010,68.0,2015/3/02
254,10010,64.0,2015/3/02
205,10009,54.0,2015/3/02
255,10020,57.0,2015/3/02
256,67000,62.0,2015/3/02
257,67000,62.0,2015/3/02
258,67000,58.0,2015/3/02
259,67000,53.0,2015/3/02
260,64000,62.0,2015/3/02
271,10014,28.0,2015/3/01
272,10015,25.0,2015/3/01
210,63000,29.0,2015/3/01
273,10002,26.0,2015/3/01
274,10002,29.0,2015/3/01
211,65000,25.0,2015/3/01
212,68000,33.0,2015/3/01
275,10008,58.0,2015/3/01
213,65000,23.0,2015/3/01
214,64000,54.0,2015/3/01
215,10008,38.0,2015/3/01
218,9007,24.0,2015/3/01
220,9020,32.0,2015/3/01
221,10016,30.0,2015/3/01
223,10014,23.0,2015/3/01
367625,10009,103.0,2015/3/01
276,10017,27.0,2015/3/01
277,65000,24.0,2015/3/01
278,65000,43.0,2015/3/01
279,65000,24.0,2015/3/01
280,65000,25.0,2015/3/01
281,65000,19.0,2015/3/01
293,68000,39.0,2015/2/28
294,68000,43.0,2015/2/28
295,10004,33.0,2015/2/28
296,10004,45.0,2015/2/28
297,10018,32.0,2015/2/28
