SITEID,COUNTYID,PSI,DATACREATIONDATE
259,67000,67.0,2015/12/05
260,64000,63.0,2015/12/05
263,64000,50.0,2015/12/12
264,64000,72.0,2015/12/12
265,64000,66.0,2015/12/12
266,64000,66.0,2015/12/12
209,64000,60.0,2015/12/12
267,64000,65.0,2015/12/12
268,10013,56.0,2015/12/12
269,10013,60.0,2015/12/12
270,10013,34.0,2015/12/12
271,10014,31.0,2015/12/12
272,10015,19.0,2015/12/12
210,63000,38.0,2015/12/12
273,10002,,2015/12/12
274,10002,24.0,2015/12/12
211,65000,41.0,2015/12/12
212,68000,37.0,2015/12/12
275,10008,51.0,2015/12/12
213,65000,23.0,2015/12/12
214,64000,64.0,2015/12/12
215,10008,41.0,2015/12/12
218,9007,57.0,2015/12/12
220,9020,,2015/12/12
221,10016,36.0,2015/12/12
223,10014,26.0,2015/12/12
367625,10009,53.0,2015/12/12
276,10017,32.0,2015/12/12
277,65000,31.0,2015/12/12
278,65000,57.0,2015/12/12
279,65000,23.0,2015/12/12
280,65000,26.0,2015/12/12
281,65000,36.0,2015/12/12
282,65000,25.0,2015/12/12
283,65000,30.0,2015/12/12
284,65000,28.0,2015/12/12
285,65000,25.0,2015/12/12
286,63000,33.0,2015/12/12
287,63000,23.0,2015/12/12
220,9020,48.0,2015/12/11
221,10016,,2015/12/11
223,10014,25.0,2015/12/11
367625,10009,52.0,2015/12/11
276,10017,28.0,2015/12/11
292,68000,42.0,2015/12/11
202,68000,,2015/12/11
293,68000,45.0,2015/12/11
294,68000,38.0,2015/12/11
295,10004,30.0,2015/12/11
296,10004,35.0,2015/12/11
297,10018,45.0,2015/12/11
203,10005,42.0,2015/12/11
241,10005,45.0,2015/12/11
242,10005,27.0,2015/12/11
243,66000,33.0,2015/12/11
244,66000,44.0,2015/12/11
245,66000,32.0,2015/12/11
246,66000,29.0,2015/12/11
247,66000,35.0,2015/12/11
248,10007,34.0,2015/12/11
204,10007,52.0,2015/12/11
249,10007,42.0,2015/12/11
250,10008,,2015/12/11
251,10009,45.0,2015/12/11
252,10009,44.0,2015/12/11
253,10010,52.0,2015/12/11
254,10010,50.0,2015/12/11
205,10009,48.0,2015/12/11
255,10020,51.0,2015/12/11
256,67000,52.0,2015/12/11
257,67000,50.0,2015/12/11
258,67000,51.0,2015/12/11
259,67000,51.0,2015/12/11
260,64000,50.0,2015/12/11
206,64000,52.0,2015/12/11
261,64000,59.0,2015/12/11
264,64000,78.0,2015/12/05
265,64000,67.0,2015/12/05
266,64000,68.0,2015/12/05
209,64000,62.0,2015/12/05
267,64000,87.0,2015/12/05
268,10013,75.0,2015/12/05
269,10013,86.0,2015/12/05
270,10013,,
271,10014,16.0,2015/12/05
272,10015,17.0,2015/12/05
210,63000,33.0,2015/12/05
273,10002,39.0,2015/12/05
285,65000,25.0,2015/12/11
286,63000,26.0,2015/12/11
287,63000,27.0,2015/12/11
288,63000,33.0,2015/12/11
289,63000,38.0,2015/12/11
290,63000,22.0,2015/12/11
201,63000,44.0,2015/12/11
291,68000,26.0,2015/12/11
295,10004,56.0,2015/12/04
296,10004,51.0,2015/12/04
297,10018,56.0,2015/12/04
203,10005,58.0,2015/12/04
241,10005,55.0,2015/12/04
242,10005,45.0,2015/12/04
243,66000,20.0,2015/12/04
244,66000,52.0,2015/12/04
245,66000,49.0,2015/12/04
246,66000,44.0,2015/12/04
247,66000,47.0,2015/12/04
248,10007,45.0,2015/12/04
204,10007,58.0,2015/12/04
249,10007,54.0,2015/12/04
265,64000,88.0,2015/12/04
266,64000,107.0,2015/12/04
209,64000,90.0,2015/12/04
267,64000,108.0,2015/12/04
268,10013,96.0,2015/12/04
269,10013,89.0,2015/12/04
270,10013,45.0,2015/12/04
271,10014,46.0,2015/12/04
272,10015,47.0,2015/12/04
210,63000,44.0,2015/12/04
273,10002,62.0,2015/12/04
274,10002,60.0,2015/12/04
211,65000,67.0,2015/12/04
212,68000,62.0,2015/12/04
275,10008,83.0,2015/12/04
213,65000,50.0,2015/12/04
214,64000,103.0,2015/12/04
215,10008,47.0,2015/12/04
218,9007,64.0,2015/12/04
220,9020,75.0,2015/12/04
221,10016,53.0,2015/12/04
223,10014,47.0,2015/12/04
206,64000,72.0,2015/12/05
261,64000,72.0,2015/12/05
207,64000,74.0,2015/12/05
262,64000,65.0,2015/12/05
263,64000,44.0,2015/12/05
276,10017,67.0,2015/12/04
277,65000,76.0,2015/12/04
278,65000,88.0,2015/12/04
279,65000,75.0,2015/12/04
280,65000,75.0,2015/12/04
281,65000,78.0,2015/12/04
282,65000,76.0,2015/12/04
283,65000,77.0,2015/12/04
284,65000,77.0,2015/12/04
285,65000,,2015/12/04
286,63000,73.0,2015/12/04
287,63000,82.0,2015/12/04
288,63000,82.0,2015/12/03
289,63000,78.0,2015/12/04
290,63000,78.0,2015/12/04
201,63000,90.0,2015/12/04
291,68000,76.0,2015/12/04
292,68000,82.0,2015/12/04
202,68000,85.0,2015/12/04
293,68000,78.0,2015/12/04
294,68000,75.0,2015/12/04
251,10009,56.0,2015/12/05
252,10009,54.0,2015/12/05
253,10010,60.0,2015/12/05
254,10010,61.0,2015/12/05
205,10009,50.0,2015/12/05
255,10020,68.0,2015/12/05
256,67000,62.0,2015/12/05
257,67000,62.0,2015/12/05
258,67000,,2015/12/05
274,10002,40.0,2015/12/05
211,65000,42.0,2015/12/05
212,68000,41.0,2015/12/05
275,10008,57.0,2015/12/05
213,65000,27.0,2015/12/05
214,64000,82.0,2015/12/05
215,10008,14.0,2015/12/05
218,9007,46.0,2015/12/05
220,9020,56.0,2015/12/05
264,64000,77.0,2015/12/11
265,64000,64.0,2015/12/11
266,64000,62.0,2015/12/11
209,64000,60.0,2015/12/11
267,64000,64.0,2015/12/11
268,10013,61.0,2015/12/11
269,10013,53.0,2015/12/11
270,10013,34.0,2015/12/11
271,10014,23.0,2015/12/11
272,10015,26.0,2015/12/11
210,63000,39.0,2015/12/11
273,10002,,2015/12/11
274,10002,32.0,2015/12/11
211,65000,54.0,2015/12/11
288,63000,27.0,2015/12/12
289,63000,42.0,2015/12/12
