SITEID,COUNTYID,PSI,DATACREATIONDATE
289,63000,45.0,2015/6/27
290,63000,43.0,2015/6/27
201,63000,51.0,2015/6/27
291,68000,36.0,2015/6/27
292,68000,47.0,2015/6/27
202,68000,50.0,2015/6/27
293,68000,41.0,2015/6/27
294,68000,42.0,2015/6/27
295,10004,43.0,2015/6/27
296,10004,38.0,2015/6/27
297,10018,34.0,2015/6/27
203,10005,43.0,2015/6/27
241,10005,38.0,2015/6/27
242,10005,35.0,2015/6/27
243,66000,33.0,2015/6/27
244,66000,42.0,2015/6/27
245,66000,40.0,2015/6/27
246,66000,35.0,2015/6/27
247,66000,39.0,2015/6/27
248,10007,43.0,2015/6/27
204,10007,36.0,2015/6/27
249,10007,42.0,2015/6/27
250,10008,35.0,2015/6/27
251,10009,37.0,2015/6/27
252,10009,31.0,2015/6/27
286,63000,43.0,2015/6/27
287,63000,53.0,2015/6/27
288,63000,44.0,2015/6/27
293,68000,,2015/6/26
253,10010,33.0,2015/6/27
254,10010,52.0,2015/6/27
205,10009,32.0,2015/6/27
255,10020,35.0,2015/6/27
256,67000,44.0,2015/6/27
257,67000,40.0,2015/6/27
258,67000,35.0,2015/6/27
259,67000,32.0,2015/6/27
260,64000,30.0,2015/6/27
291,68000,44.0,2015/7/03
292,68000,46.0,2015/7/03
202,68000,41.0,2015/7/03
293,68000,47.0,2015/7/03
294,68000,45.0,2015/7/03
295,10004,37.0,2015/7/03
296,10004,38.0,2015/7/03
297,10018,25.0,2015/7/03
203,10005,37.0,2015/7/03
241,10005,37.0,2015/7/03
242,10005,42.0,2015/7/03
243,66000,47.0,2015/7/03
244,66000,40.0,2015/7/03
245,66000,46.0,2015/7/03
246,66000,39.0,2015/7/03
247,66000,37.0,2015/7/03
248,10007,45.0,2015/7/03
204,10007,36.0,2015/7/03
249,10007,44.0,2015/7/03
250,10008,43.0,2015/7/03
251,10009,36.0,2015/7/03
252,10009,32.0,2015/7/03
253,10010,36.0,2015/7/03
254,10010,48.0,2015/7/03
205,10009,32.0,2015/7/03
255,10020,38.0,2015/7/03
256,67000,42.0,2015/7/03
257,67000,36.0,2015/7/03
258,67000,35.0,2015/7/03
259,67000,33.0,2015/7/03
260,64000,66.0,2015/7/03
206,64000,32.0,2015/7/03
261,64000,50.0,2015/7/03
207,64000,50.0,2015/7/03
262,64000,33.0,2015/7/03
263,64000,37.0,2015/7/03
264,64000,46.0,2015/7/03
295,10004,36.0,2015/7/02
205,10009,35.0,2015/7/02
255,10020,32.0,2015/7/02
256,67000,41.0,2015/7/02
257,67000,31.0,2015/7/02
258,67000,33.0,2015/7/02
259,67000,39.0,2015/7/02
260,64000,32.0,2015/7/02
206,64000,36.0,2015/7/02
261,64000,46.0,2015/7/02
207,64000,50.0,2015/7/02
262,64000,40.0,2015/7/02
263,64000,33.0,2015/7/02
264,64000,44.0,2015/7/02
265,64000,41.0,2015/7/02
266,64000,,
209,64000,42.0,2015/7/02
267,64000,64.0,2015/7/02
268,10013,43.0,2015/7/02
269,10013,34.0,2015/7/02
270,10013,30.0,2015/7/02
271,10014,35.0,2015/7/02
272,10015,45.0,2015/7/02
210,63000,45.0,2015/7/02
273,10002,50.0,2015/7/02
274,10002,43.0,2015/7/02
211,65000,52.0,2015/7/02
212,68000,51.0,2015/7/02
275,10008,37.0,2015/7/02
213,65000,31.0,2015/7/02
214,64000,28.0,2015/7/02
215,10008,46.0,2015/7/02
218,9007,50.0,2015/7/02
220,9020,44.0,2015/7/02
221,10016,25.0,2015/7/02
223,10014,36.0,2015/7/02
367625,10009,52.0,2015/7/02
276,10017,,2015/7/02
252,10009,25.0,2015/7/01
253,10010,28.0,2015/7/01
254,10010,41.0,2015/7/01
205,10009,31.0,2015/7/01
255,10020,33.0,2015/7/01
256,67000,39.0,2015/7/01
257,67000,28.0,2015/7/01
258,67000,34.0,2015/7/01
265,64000,34.0,2015/7/01
266,64000,,2015/7/01
209,64000,40.0,2015/7/01
267,64000,34.0,2015/7/01
268,10013,33.0,2015/7/01
269,10013,39.0,2015/7/01
270,10013,31.0,2015/7/01
271,10014,32.0,2015/7/01
272,10015,37.0,2015/7/01
210,63000,26.0,2015/7/01
273,10002,44.0,2015/7/01
274,10002,38.0,2015/7/01
211,65000,60.0,2015/7/01
212,68000,52.0,2015/7/01
275,10008,38.0,2015/7/01
213,65000,38.0,2015/7/01
214,64000,28.0,2015/7/01
215,10008,37.0,2015/7/01
218,9007,48.0,2015/7/01
220,9020,44.0,2015/7/01
221,10016,20.0,2015/7/01
223,10014,41.0,2015/7/01
367625,10009,48.0,2015/7/01
276,10017,31.0,2015/7/01
277,65000,47.0,2015/7/01
278,65000,49.0,2015/7/01
279,65000,33.0,2015/7/01
280,65000,46.0,2015/7/01
281,65000,47.0,2015/7/01
282,65000,36.0,2015/7/01
282,65000,38.0,2015/6/27
283,65000,47.0,2015/6/27
284,65000,48.0,2015/6/27
285,65000,52.0,2015/6/27
206,64000,32.0,2015/6/27
261,64000,45.0,2015/6/27
273,10002,44.0,2015/6/27
274,10002,33.0,2015/6/27
211,65000,56.0,2015/6/27
212,68000,49.0,2015/6/27
275,10008,39.0,2015/6/27
213,65000,56.0,2015/6/27
214,64000,31.0,2015/6/27
215,10008,26.0,2015/6/27
218,9007,39.0,2015/6/27
220,9020,33.0,2015/6/27
221,10016,15.0,2015/6/27
223,10014,40.0,2015/6/27
367625,10009,47.0,2015/6/27
276,10017,35.0,2015/6/27
277,65000,46.0,2015/6/27
278,65000,46.0,2015/6/27
279,65000,32.0,2015/6/27
256,67000,50.0,2015/7/06
257,67000,49.0,2015/7/06
258,67000,48.0,2015/7/06
259,67000,50.0,2015/7/06
260,64000,41.0,2015/7/06
206,64000,58.0,2015/7/06
261,64000,64.0,2015/7/06
207,64000,60.0,2015/7/06
262,64000,56.0,2015/7/06
263,64000,47.0,2015/7/06
264,64000,58.0,2015/7/06
265,64000,57.0,2015/7/06
266,64000,56.0,2015/7/06
209,64000,54.0,2015/7/06
267,64000,66.0,2015/7/06
268,10013,54.0,2015/7/06
269,10013,54.0,2015/7/06
270,10013,20.0,2015/7/06
271,10014,18.0,2015/7/06
272,10015,26.0,2015/7/06
210,63000,24.0,2015/7/06
273,10002,24.0,2015/7/06
274,10002,24.0,2015/7/06
211,65000,52.0,2015/7/06
212,68000,55.0,2015/7/06
275,10008,59.0,2015/7/06
213,65000,19.0,2015/7/06
214,64000,50.0,2015/7/06
215,10008,52.0,2015/7/06
218,9007,51.0,2015/7/06
220,9020,54.0,2015/7/06
221,10016,49.0,2015/7/06
223,10014,15.0,2015/7/06
367625,10009,62.0,2015/7/06
276,10017,16.0,2015/7/06
277,65000,,2015/7/06
278,65000,20.0,2015/7/06
282,65000,32.0,2015/6/29
283,65000,40.0,2015/6/29
284,65000,33.0,2015/6/29
285,65000,33.0,2015/6/29
286,63000,40.0,2015/6/29
287,63000,53.0,2015/6/29
288,63000,38.0,2015/6/29
289,63000,55.0,2015/6/29
290,63000,50.0,2015/6/29
201,63000,52.0,2015/6/29
291,68000,38.0,2015/6/29
292,68000,37.0,2015/6/29
202,68000,44.0,2015/6/29
293,68000,44.0,2015/6/29
294,68000,35.0,2015/6/29
295,10004,40.0,2015/6/29
296,10004,33.0,2015/6/29
297,10018,27.0,2015/6/29
203,10005,37.0,2015/6/29
241,10005,32.0,2015/6/29
242,10005,30.0,2015/6/29
243,66000,26.0,2015/6/29
244,66000,35.0,2015/6/29
245,66000,35.0,2015/6/29
246,66000,29.0,2015/6/29
247,66000,30.0,2015/6/29
248,10007,37.0,2015/6/29
204,10007,31.0,2015/6/29
249,10007,100.0,2015/6/29
250,10008,27.0,2015/6/29
251,10009,34.0,2015/6/29
252,10009,28.0,2015/6/29
253,10010,23.0,2015/6/29
254,10010,39.0,2015/6/29
205,10009,24.0,2015/6/29
255,10020,27.0,2015/6/29
256,67000,29.0,2015/6/29
277,65000,39.0,2015/7/02
278,65000,38.0,2015/7/02
279,65000,27.0,2015/7/02
280,65000,37.0,2015/7/02
281,65000,41.0,2015/7/02
282,65000,30.0,2015/7/02
283,65000,39.0,2015/7/02
284,65000,29.0,2015/7/02
285,65000,33.0,2015/7/02
286,63000,35.0,2015/7/02
287,63000,38.0,2015/7/02
288,63000,37.0,2015/7/02
289,63000,38.0,2015/7/02
290,63000,27.0,2015/7/02
201,63000,40.0,2015/7/02
291,68000,33.0,2015/7/02
292,68000,36.0,2015/7/02
270,10013,,
283,65000,46.0,2015/7/01
284,65000,42.0,2015/7/01
285,65000,39.0,2015/7/01
286,63000,52.0,2015/7/01
287,63000,50.0,2015/7/01
288,63000,43.0,2015/7/01
289,63000,52.0,2015/7/01
290,63000,42.0,2015/7/01
201,63000,51.0,2015/7/01
291,68000,38.0,2015/7/01
292,68000,42.0,2015/7/01
202,68000,48.0,2015/7/01
293,68000,45.0,2015/7/01
294,68000,37.0,2015/7/01
295,10004,35.0,2015/7/01
296,10004,36.0,2015/7/01
297,10018,29.0,2015/7/01
203,10005,38.0,2015/7/01
241,10005,,2015/7/01
242,10005,36.0,2015/7/01
243,66000,42.0,2015/7/01
244,66000,39.0,2015/7/01
245,66000,42.0,2015/7/01
246,66000,28.0,2015/7/01
247,66000,47.0,2015/7/01
248,10007,36.0,2015/7/01
204,10007,31.0,2015/7/01
249,10007,46.0,2015/7/01
250,10008,41.0,2015/7/01
251,10009,31.0,2015/7/01
270,10013,28.0,2015/6/27
271,10014,39.0,2015/6/27
272,10015,35.0,2015/6/27
210,63000,27.0,2015/6/27
280,65000,39.0,2015/6/27
281,65000,50.0,2015/6/27
207,64000,40.0,2015/6/27
262,64000,32.0,2015/6/27
263,64000,31.0,2015/6/27
264,64000,51.0,2015/6/27
265,64000,42.0,2015/6/27
266,64000,47.0,2015/6/27
209,64000,41.0,2015/6/27
267,64000,43.0,2015/6/27
268,10013,42.0,2015/6/27
269,10013,34.0,2015/6/27
220,9020,38.0,2015/6/26
221,10016,27.0,2015/6/26
223,10014,52.0,2015/6/26
367625,10009,49.0,2015/6/26
276,10017,29.0,2015/6/26
277,65000,48.0,2015/6/26
278,65000,45.0,2015/6/26
279,65000,32.0,2015/6/26
280,65000,37.0,2015/6/26
281,65000,46.0,2015/6/26
282,65000,33.0,2015/6/26
283,65000,44.0,2015/6/26
284,65000,36.0,2015/6/26
285,65000,42.0,2015/6/26
286,63000,44.0,2015/6/26
287,63000,52.0,2015/6/26
288,63000,42.0,2015/6/26
289,63000,48.0,2015/6/26
290,63000,46.0,2015/6/26
201,63000,50.0,2015/6/26
265,64000,39.0,2015/7/03
266,64000,43.0,2015/7/03
209,64000,38.0,2015/7/03
267,64000,42.0,2015/7/03
268,10013,40.0,2015/7/03
269,10013,33.0,2015/7/03
270,10013,30.0,2015/7/03
271,10014,34.0,2015/7/03
272,10015,36.0,2015/7/03
210,63000,32.0,2015/7/03
273,10002,41.0,2015/7/03
274,10002,32.0,2015/7/03
211,65000,52.0,2015/7/03
212,68000,52.0,2015/7/03
275,10008,32.0,2015/7/03
213,65000,36.0,2015/7/03
214,64000,28.0,2015/7/03
253,10010,27.0,2015/7/02
254,10010,48.0,2015/7/02
202,68000,47.0,2015/7/02
261,64000,44.0,2015/7/01
207,64000,39.0,2015/7/01
262,64000,23.0,2015/7/01
263,64000,21.0,2015/7/01
264,64000,38.0,2015/7/01
248,10007,43.0,2015/7/02
204,10007,39.0,2015/7/02
249,10007,48.0,2015/7/02
250,10008,37.0,2015/7/02
251,10009,33.0,2015/7/02
252,10009,37.0,2015/7/02
279,65000,37.0,2015/7/06
280,65000,28.0,2015/7/06
281,65000,30.0,2015/7/06
288,63000,24.0,2015/7/13
289,63000,35.0,2015/7/13
290,63000,28.0,2015/7/13
201,63000,46.0,2015/7/13
291,68000,38.0,2015/7/13
292,68000,45.0,2015/7/13
202,68000,41.0,2015/7/13
293,68000,49.0,2015/7/13
294,68000,50.0,2015/7/13
295,10004,46.0,2015/7/13
296,10004,40.0,2015/7/13
297,10018,,2015/7/13
203,10005,50.0,2015/7/13
241,10005,46.0,2015/7/13
242,10005,43.0,2015/7/13
243,66000,34.0,2015/7/13
244,66000,46.0,2015/7/13
245,66000,39.0,2015/7/13
246,66000,28.0,2015/7/13
247,66000,41.0,2015/7/13
248,10007,36.0,2015/7/13
204,10007,39.0,2015/7/13
249,10007,37.0,2015/7/13
250,10008,43.0,2015/7/13
251,10009,34.0,2015/7/13
252,10009,30.0,2015/7/13
253,10010,33.0,2015/7/13
254,10010,52.0,2015/7/13
205,10009,40.0,2015/7/13
255,10020,34.0,2015/7/13
256,67000,39.0,2015/7/13
257,67000,31.0,2015/7/13
258,67000,38.0,2015/7/13
259,67000,32.0,2015/7/13
260,64000,29.0,2015/7/13
257,67000,27.0,2015/6/29
258,67000,27.0,2015/6/29
259,67000,30.0,2015/6/29
260,64000,27.0,2015/6/29
206,64000,31.0,2015/6/29
261,64000,38.0,2015/6/29
207,64000,43.0,2015/6/29
262,64000,30.0,2015/6/29
268,10013,30.0,2015/6/29
269,10013,34.0,2015/6/29
270,10013,,2015/6/29
271,10014,36.0,2015/6/29
272,10015,38.0,2015/6/29
210,63000,21.0,2015/6/29
273,10002,44.0,2015/6/29
274,10002,38.0,2015/6/29
211,65000,50.0,2015/6/29
212,68000,49.0,2015/6/29
275,10008,27.0,2015/6/29
213,65000,31.0,2015/6/29
214,64000,26.0,2015/6/29
215,10008,22.0,2015/6/29
218,9007,44.0,2015/6/29
220,9020,39.0,2015/6/29
221,10016,16.0,2015/6/29
223,10014,46.0,2015/6/29
367625,10009,43.0,2015/6/29
276,10017,28.0,2015/6/29
277,65000,37.0,2015/6/29
278,65000,40.0,2015/6/29
279,65000,31.0,2015/6/29
280,65000,36.0,2015/6/29
281,65000,39.0,2015/6/29
293,68000,37.0,2015/7/02
294,68000,34.0,2015/7/02
296,10004,34.0,2015/7/02
297,10018,24.0,2015/7/02
203,10005,34.0,2015/7/02
241,10005,34.0,2015/7/02
242,10005,29.0,2015/7/02
259,67000,31.0,2015/7/01
260,64000,30.0,2015/7/01
206,64000,33.0,2015/7/01
215,10008,,2015/7/03
218,9007,27.0,2015/7/03
220,9020,38.0,2015/7/03
221,10016,20.0,2015/7/03
223,10014,38.0,2015/7/03
367625,10009,52.0,2015/7/03
276,10017,50.0,2015/7/03
277,65000,46.0,2015/7/03
278,65000,43.0,2015/7/03
279,65000,43.0,2015/7/03
280,65000,44.0,2015/7/03
281,65000,50.0,2015/7/03
282,65000,43.0,2015/7/03
283,65000,49.0,2015/7/03
284,65000,43.0,2015/7/03
285,65000,37.0,2015/7/03
286,63000,41.0,2015/7/03
287,63000,52.0,2015/7/03
288,63000,46.0,2015/7/03
289,63000,45.0,2015/7/03
290,63000,45.0,2015/7/03
201,63000,,2015/7/03
243,66000,44.0,2015/7/02
244,66000,42.0,2015/7/02
245,66000,41.0,2015/7/02
246,66000,38.0,2015/7/02
247,66000,44.0,2015/7/02
261,64000,43.0,2015/6/26
207,64000,45.0,2015/6/26
262,64000,40.0,2015/6/26
263,64000,33.0,2015/6/26
264,64000,50.0,2015/6/26
265,64000,42.0,2015/6/26
266,64000,39.0,2015/6/26
209,64000,44.0,2015/6/26
267,64000,41.0,2015/6/26
268,10013,44.0,2015/6/26
269,10013,41.0,2015/6/26
270,10013,33.0,2015/6/26
271,10014,32.0,2015/6/26
272,10015,40.0,2015/6/26
210,63000,18.0,2015/6/26
273,10002,44.0,2015/6/26
274,10002,34.0,2015/6/26
211,65000,58.0,2015/6/26
206,64000,37.0,2015/7/13
261,64000,39.0,2015/7/13
207,64000,40.0,2015/7/13
262,64000,26.0,2015/7/13
263,64000,28.0,2015/7/13
264,64000,,2015/7/13
265,64000,35.0,2015/7/13
266,64000,27.0,2015/7/13
209,64000,36.0,2015/7/13
